file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pool,n_gt_mitotic,n_tp_found,deep_recall,n_at_current_z,z_max,tp_score_min
013.tiff,human breast cancer,13,0,254,0,False,31,0.22632094805310524,5412,7215,33.13877952755905,22.09251968503937,15,-0.004795463755726814,0.1281829585701227,27785,17,17,1.0,15559,9.130783081054688,1.165615439414978
013.tiff,human breast cancer,13,1,246,0,False,39,0.22632094805310524,5412,7215,33.13877952755905,22.09251968503937,19,-0.018969278782606125,0.16185540482103825,28753,17,17,1.0,16523,12.876814842224121,2.0652127265930176
013.tiff,human breast cancer,13,2,258,0,False,43,0.22632094805310524,5412,7215,33.13877952755905,22.09251968503937,21,-0.024523194879293442,0.16934960964024065,26941,17,17,1.0,15755,11.005843162536621,1.8393120765686035
013.tiff,human breast cancer,13,3,263,0,False,29,0.22632094805310524,5412,7215,33.13877952755905,22.09251968503937,14,-0.009797520004212856,0.12575979110598565,32630,17,17,1.0,20491,14.329621315002441,1.7922927141189575
013.tiff,human breast cancer,13,4,242,0,False,35,0.22632094805310524,5412,7215,33.13877952755905,22.09251968503937,17,-0.011874871328473091,0.09497379123866558,31171,17,17,1.0,19828,15.516854286193848,1.4618195295333862
094.tiff,human breast cancer,94,0,2512,0,False,25,0.22984761284250915,5364,7103,32.63031496062992,21.753543307086613,12,-0.003239314304664731,0.0505320100620389,34573,81,81,1.0,26147,4.767851829528809,0.2376898229122162
094.tiff,human breast cancer,94,1,2534,0,False,37,0.22984761284250915,5364,7103,32.63031496062992,21.753543307086613,18,-0.009720981121063232,0.11340501276701688,28700,81,81,1.0,19923,3.6053645610809326,0.3991454243659973
094.tiff,human breast cancer,94,2,2494,0,False,35,0.22984761284250915,5364,7103,32.63031496062992,21.753543307086613,17,-0.00320444256067276,0.07754829588532447,33056,81,81,1.0,24752,3.995893955230713,0.30667033791542053
094.tiff,human breast cancer,94,3,2612,0,False,37,0.22984761284250915,5364,7103,32.63031496062992,21.753543307086613,18,-0.008004341274499893,0.10703577818423508,27735,81,81,1.0,18765,3.4876599311828613,0.3653000593185425
094.tiff,human breast cancer,94,4,2494,0,False,35,0.22984761284250915,5364,7103,32.63031496062992,21.753543307086613,17,-0.00320444256067276,0.07754829588532447,33056,81,81,1.0,24752,3.995893955230713,0.30667033791542053
201.tiff,canine lung cancer,201,0,4457,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.028425928205251694,0.6122996424436569,22631,17,17,1.0,16529,4.07609224319458,2.4673638343811035
201.tiff,canine lung cancer,201,1,4457,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.028425928205251694,0.6122996424436569,22631,17,17,1.0,16529,4.07609224319458,2.4673638343811035
201.tiff,canine lung cancer,201,2,4475,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.04185693338513374,0.866125324165821,17861,17,17,1.0,13407,2.9928243160247803,2.5503039360046387
201.tiff,canine lung cancer,201,3,4454,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,23,-0.032930951565504074,0.7091016953408718,23817,17,17,1.0,17772,3.464264154434204,2.4235846996307373
201.tiff,canine lung cancer,201,4,4479,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.04357011243700981,1.0104498967766762,16911,17,17,1.0,12807,3.027251720428467,3.0153160095214844
233.tiff,canine lung cancer,233,0,5761,0,False,25,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,12,-0.015832459554076195,0.14361153841316698,33221,17,17,1.0,25286,5.993628025054932,0.8449216485023499
233.tiff,canine lung cancer,233,1,5761,0,False,25,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,12,-0.015832459554076195,0.14361153841316698,33221,17,17,1.0,25286,5.993628025054932,0.8449216485023499
233.tiff,canine lung cancer,233,2,5770,0,False,43,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,21,-0.06977707892656326,0.4837387481331825,20836,17,17,1.0,14633,4.534766674041748,2.1238653659820557
233.tiff,canine lung cancer,233,3,5760,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.1060665100812912,0.5876196233868599,18082,17,17,1.0,13134,3.8979485034942627,2.1844444274902344
233.tiff,canine lung cancer,233,4,5761,0,False,25,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,12,-0.015832459554076195,0.14361153841316698,33221,17,17,1.0,25286,5.993628025054932,0.8449216485023499
245.tiff,canine lymphosarcoma,245,0,6274,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,23,-0.006506240926682949,0.214097073161602,38389,89,89,1.0,36284,2.2945878505706787,0.48475831747055054
245.tiff,canine lymphosarcoma,245,1,6243,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.003440076718106866,0.16965039850473404,40879,89,89,1.0,38876,1.527258276939392,0.25565990805625916
