file_name,ranker,n_gt_mitotic,n_captured,n_pool,ceiling,quantile,sens_of_captured,sens_of_all_gt,depth,frac_of_pool,fp_lookalike,fp_unannotated,fp_per_tp
245.tiff,blob_score,90,90,34910,1.0,0.99,1.0,1.0,17473,0.5005,66,17317,193.1
245.tiff,blob_score,90,90,34910,1.0,1.0,1.0,1.0,17473,0.5005,66,17317,193.1
245.tiff,chromatin_od,90,90,34910,1.0,0.5,0.5,0.5,742,0.0213,20,677,15.5
245.tiff,chromatin_od,90,90,34910,1.0,0.9,0.9,0.9,12183,0.349,60,12042,149.4
245.tiff,chromatin_od,90,90,34910,1.0,0.95,0.9556,0.9556,15458,0.4428,61,15311,178.7
245.tiff,chromatin_od,90,90,34910,1.0,0.98,0.9889,0.9889,19914,0.5704,64,19761,222.8
245.tiff,chromatin_od,90,90,34910,1.0,0.99,1.0,1.0,22845,0.6544,67,22688,252.8
245.tiff,chromatin_od,90,90,34910,1.0,1.0,1.0,1.0,22845,0.6544,67,22688,252.8
245.tiff,rankfuse,90,90,34910,1.0,0.5,0.5,0.5,505,0.0145,19,441,10.2
245.tiff,rankfuse,90,90,34910,1.0,0.9,0.9,0.9,8289,0.2374,56,8152,101.3
245.tiff,rankfuse,90,90,34910,1.0,0.95,0.9556,0.9556,13378,0.3832,63,13229,154.6
245.tiff,rankfuse,90,90,34910,1.0,0.98,0.9889,0.9889,17658,0.5058,64,17505,197.4
245.tiff,rankfuse,90,90,34910,1.0,0.99,1.0,1.0,17927,0.5135,64,17773,198.2
245.tiff,rankfuse,90,90,34910,1.0,1.0,1.0,1.0,17927,0.5135,64,17773,198.2
201.tiff,blob_score,18,16,12446,0.8889,0.5,0.5,0.4444,49,0.0039,6,35,5.1
201.tiff,blob_score,18,16,12446,0.8889,0.9,0.9375,0.8333,2712,0.2179,33,2664,179.8
201.tiff,blob_score,18,16,12446,0.8889,0.95,1.0,0.8889,4794,0.3852,37,4741,298.6
201.tiff,blob_score,18,16,12446,0.8889,0.98,1.0,0.8889,4794,0.3852,37,4741,298.6
201.tiff,blob_score,18,16,12446,0.8889,0.99,1.0,0.8889,4794,0.3852,37,4741,298.6
201.tiff,blob_score,18,16,12446,0.8889,1.0,1.0,0.8889,4794,0.3852,37,4741,298.6
201.tiff,chromatin_od,18,16,12446,0.8889,0.5,0.5,0.4444,17,0.0014,2,7,1.1
201.tiff,chromatin_od,18,16,12446,0.8889,0.9,0.9375,0.8333,351,0.0282,29,307,22.4
201.tiff,chromatin_od,18,16,12446,0.8889,0.95,1.0,0.8889,823,0.0661,33,774,50.4
201.tiff,chromatin_od,18,16,12446,0.8889,0.98,1.0,0.8889,823,0.0661,33,774,50.4
201.tiff,chromatin_od,18,16,12446,0.8889,0.99,1.0,0.8889,823,0.0661,33,774,50.4
201.tiff,chromatin_od,18,16,12446,0.8889,1.0,1.0,0.8889,823,0.0661,33,774,50.4
201.tiff,rankfuse,18,16,12446,0.8889,0.5,0.5,0.4444,23,0.0018,4,11,1.9
201.tiff,rankfuse,18,16,12446,0.8889,0.9,0.9375,0.8333,1124,0.0903,29,1080,73.9
201.tiff,rankfuse,18,16,12446,0.8889,0.95,1.0,0.8889,2193,0.1762,36,2141,136.1
201.tiff,rankfuse,18,16,12446,0.8889,0.98,1.0,0.8889,2193,0.1762,36,2141,136.1
201.tiff,rankfuse,18,16,12446,0.8889,0.99,1.0,0.8889,2193,0.1762,36,2141,136.1
201.tiff,rankfuse,18,16,12446,0.8889,1.0,1.0,0.8889,2193,0.1762,36,2141,136.1
202.tiff,blob_score,16,16,13440,1.0,0.5,0.5,0.5,27,0.002,4,15,2.4
202.tiff,blob_score,16,16,13440,1.0,0.9,0.9375,0.9375,1020,0.0759,22,983,67.0
202.tiff,blob_score,16,16,13440,1.0,0.95,1.0,1.0,2304,0.1714,26,2262,143.0
202.tiff,blob_score,16,16,13440,1.0,0.98,1.0,1.0,2304,0.1714,26,2262,143.0
202.tiff,blob_score,16,16,13440,1.0,0.99,1.0,1.0,2304,0.1714,26,2262,143.0
202.tiff,blob_score,16,16,13440,1.0,1.0,1.0,1.0,2304,0.1714,26,2262,143.0
202.tiff,chromatin_od,16,16,13440,1.0,0.5,0.5,0.5,12,0.0009,3,1,0.5
202.tiff,chromatin_od,16,16,13440,1.0,0.9,0.9375,0.9375,4638,0.3451,25,4598,308.2
202.tiff,chromatin_od,16,16,13440,1.0,0.95,1.0,1.0,5409,0.4025,25,5368,337.1
202.tiff,chromatin_od,16,16,13440,1.0,0.98,1.0,1.0,5409,0.4025,25,5368,337.1
