check,value,passed
n_code_cells,17,True
execution_count_contiguous_from_1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",True
n_unrun_code_cells,0,True
n_error_outputs,0,True
last_code_cell_run,17,True
vendored_exempt,False,True
