subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,default_51,chromatin_od,6,53,110,161,0.8833333333333333,0.9166666666666666,0.8944444444444445
original_14,canine cutaneous mast cell tumor,300.tiff,default_51,tm_score,6,55,103,150,0.9166666666666666,0.8583333333333333,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,hem_rect_fill,chromatin_od,6,54,109,159,0.9,0.9083333333333333,0.8833333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,hem_rect_fill,tm_score,6,56,107,158,0.9333333333333333,0.8916666666666667,0.8777777777777778
original_14,canine cutaneous mast cell tumor,300.tiff,hem_rect_fill_1um,chromatin_od,6,56,111,161,0.9333333333333333,0.925,0.8944444444444445
original_14,canine cutaneous mast cell tumor,300.tiff,hem_rect_fill_1um,tm_score,6,54,107,155,0.9,0.8916666666666667,0.8611111111111112
original_14,canine cutaneous mast cell tumor,300.tiff,hem_mask_fill_1um,chromatin_od,6,56,111,161,0.9333333333333333,0.925,0.8944444444444445
original_14,canine cutaneous mast cell tumor,300.tiff,hem_mask_fill_1um,tm_score,6,55,108,154,0.9166666666666666,0.9,0.8555555555555555
original_14,canine cutaneous mast cell tumor,301.tiff,default_51,chromatin_od,6,43,97,152,0.7166666666666667,0.8083333333333333,0.8444444444444444
original_14,canine cutaneous mast cell tumor,301.tiff,default_51,tm_score,6,45,95,146,0.75,0.7916666666666666,0.8111111111111111
original_14,canine cutaneous mast cell tumor,301.tiff,hem_rect_fill,chromatin_od,6,42,97,157,0.7,0.8083333333333333,0.8722222222222222
original_14,canine cutaneous mast cell tumor,301.tiff,hem_rect_fill,tm_score,6,49,105,163,0.8166666666666667,0.875,0.9055555555555556
original_14,canine cutaneous mast cell tumor,301.tiff,hem_rect_fill_1um,chromatin_od,6,43,99,158,0.7166666666666667,0.825,0.8777777777777778
