file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,92.0,606.0,1783.0,2110.0,2110.0,2110.0,30,30,4,4,0.23529411764705882,0.13333333333333333
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,92.0,606.0,1783.0,2110.0,2110.0,2110.0,50,50,6,6,0.35294117647058826,0.12
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,62.0,89.0,116.0,382.0,382.0,382.0,10,10,4,2,0.23529411764705882,0.4
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,62.0,89.0,116.0,382.0,382.0,382.0,20,20,4,5,0.23529411764705882,0.2
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,62.0,89.0,116.0,382.0,382.0,382.0,30,30,6,6,0.35294117647058826,0.2
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,62.0,89.0,116.0,382.0,382.0,382.0,50,50,8,10,0.47058823529411764,0.16
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,42.0,93.0,120.0,353.0,353.0,353.0,10,10,4,1,0.23529411764705882,0.4
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,42.0,93.0,120.0,353.0,353.0,353.0,20,20,7,3,0.4117647058823529,0.35
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,42.0,93.0,120.0,353.0,353.0,353.0,30,30,8,5,0.47058823529411764,0.26666666666666666
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,42.0,93.0,120.0,353.0,353.0,353.0,50,50,9,10,0.5294117647058824,0.18
