file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tumor_type
301.tiff,find_and_suppress,14969,hematoxylin,0.2533,51,binary,0,False,False,164,162,162,29.6,217,0.018433179723502304,2.0,0.0,0.0,0.0,0.0,0.0,0.009216589861751152,0.013824884792626729,217,4,5,208,109,0.045871559633027525,217,0.018433179723502304,0.06422018348623854,0.09216589861751152,755,163,0.024539877300613498,54,0.0,0.1165644171779141,0.018518518518518517,755,20,7,728,27,0.035761589403926146,0.026490066225130476,20,197,7,102,0.0653,29.61,1,2.01,756,0.9999997615814209,756,1,0.9999997615814209,755,0.6799611449241638,0.31,2.3,canine cutaneous mast cell tumor
201.tiff,find_and_suppress,4457,hematoxylin,0.2482,51,binary,0,False,False,7,7,7,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,17,0,0,17,49,0.0,17,0.0,0.3469387755102041,0.47058823529411764,907,6,0.0,11,0.0,0.3333333333333333,0.5454545454545454,907,8,17,882,25,0.027563395810333447,0.008820286659306703,8,9,17,32,0.079,30.22,1,2.11,920,0.9999999403953552,908,1,0.9999999403953552,907,0.6655367016792297,0.33,2.5,canine lung cancer
246.tiff,find_and_suppress,6548,hematoxylin,0.2482,51,binary,0,False,False,100,97,97,30.2,115,0.16521739130434782,2.0,0.034782608695652174,0.06086956521739131,0.09565217391304348,0.13043478260869565,0.16521739130434782,0.16521739130434782,0.16521739130434782,115,19,7,33,123,0.056910569105691054,115,0.16521739130434782,0.056910569105691054,0.16521739130434782,59,99,0.18181818181818182,16,0.0625,0.18181818181818182,0.0625,59,19,7,33,26,0.4406779660942258,0.3220338982996266,19,96,7,116,0.0051,30.22,1,2.14,60,1.0,60,1,1.0,59,0.6601596474647522,0.32,2.5,canine lymphosarcoma
405.tiff,find_and_suppress,20563,hematoxylin,0.2482,51,binary,0,False,False,10,10,10,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,13,19,0.0,13,0.0,0.6842105263157895,0.6153846153846154,3209,9,0.0,4,0.0,0.6666666666666666,0.5,3209,8,13,3188,21,0.006544094733559818,0.00249298846992755,8,5,13,6,0.2665,30.22,1,2.12,3683,1.0,3210,1,1.0,3209,0.840502142906189,0.33,2.5,canine soft tissue sarcoma
002.tiff,find_and_suppress,18,hematoxylin,0.2269,51,binary,0,False,False,7,7,7,33.1,8,0.0,2.01,0.0,0.0,0.0,0.125,0.25,0.25,0.5,8,0,0,8,7,0.0,8,0.0,0.8571428571428571,0.875,3638,6,0.0,2,0.0,1.0,0.5,3638,7,6,3625,13,0.0035733919736108924,0.0019241341396366344,7,1,6,1,0.2976,33.05,1,2.86,3733,0.9999999403953552,3639,1,0.9999999403953552,3638,0.8282373547554016,0.42,3.3,human breast cancer
506.tiff,find_and_suppress,24233,hematoxylin,0.2274,51,binary,0,False,False,8,8,8,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,11,0,0,11,12,0.0,11,0.0,0.4166666666666667,0.45454545454545453,2507,7,0.0,4,0.0,0.7142857142857143,0.0,2507,5,5,2497,10,0.0039888312724355845,0.0019944156362177922,5,6,5,7,0.204,32.98,1,2.6,2561,1.0,2508,1,1.0,2507,0.7541884779930115,0.39,3.0,human melanoma
350.tiff,find_and_suppress,18164,hematoxylin,0.2274,51,binary,0,False,True,4,4,4,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,0,0,3,16,0.0,3,0.0,0.5,0.6666666666666666,3002,0,,3,0.0,,0.6666666666666666,3002,2,8,2992,10,0.0033311125916044865,0.0006662225183208973,2,1,8,8,0.2467,32.98,1,2.47,3225,0.9999999403953552,3003,1,0.9999999403953552,3002,0.7951516509056091,0.38,2.9,human neuroendocrine tumor
