dataset,contrast,K,roi_mean,roi_lo,roi_hi,roi_p,n_roi,up,down,tie,wilcoxon_p,domain_mean,domain_lo,domain_hi,domain_p,n_domain
cap50,chromatin_od - tm_score,10,0.17142857142857146,0.09829452862360674,0.24456261423353617,0.00021704714102748255,14,12,1,1,0.000732421875,0.17142857142857143,0.10151680425300089,0.24134033860414197,0.0009645351944151314,7
cap50,chromatin_od - tm_score,20,0.10714285714285714,0.05183505615481701,0.16245065813089726,0.0010688629541218966,14,11,1,2,0.00244140625,0.10714285714285714,0.02849211907034027,0.185793595215374,0.015741410423123454,7
cap50,chromatin_od - tm_score,30,0.06904761904761904,0.03489812983440201,0.10319710826083606,0.0007611338803269054,14,9,0,5,0.00390625,0.06904761904761904,0.03297669011723072,0.10511854797800735,0.0033821171466586436,7
cap50,od_contrast - tm_score,10,0.13571428571428573,0.06927320664931884,0.2021553647792526,0.0007009143210502825,14,12,1,1,0.001220703125,0.13571428571428573,0.044337350537773934,0.22709122089079753,0.01091040041677878,7
cap50,od_contrast - tm_score,20,0.11071428571428572,0.062435420737265594,0.15899315069130585,0.0002634628341275108,14,12,1,1,0.001708984375,0.1107142857142857,0.052746510676272666,0.16868206075229872,0.003419222942821441,7
cap50,od_contrast - tm_score,30,0.06428571428571428,0.03365498310678782,0.09491644546464073,0.000561259313248484,14,10,0,4,0.001953125,0.0642857142857143,0.02505936773908681,0.10351206083234177,0.007037619074053102,7
cap50,od_contrast - chromatin_od,10,-0.03571428571428571,-0.08432399357810097,0.012895422149529538,0.13646977124812648,14,1,4,9,0.1875,-0.03571428571428571,-0.08716795316737135,0.01573938173879992,0.1403463008673793,7
cap50,od_contrast - chromatin_od,20,0.0035714285714285587,-0.031263995129724435,0.03840685227258155,0.828154204989159,14,5,3,6,1.0,0.0035714285714285587,-0.04534599695275259,0.05248885409560971,0.8640941349883793,7
cap50,od_contrast - chromatin_od,30,-0.004761904761904757,-0.024529667304617822,0.015005857780808306,0.6115222287644659,14,2,3,9,0.625,-0.004761904761904757,-0.019423634407814604,0.009899824884005088,0.4570516478374701,7
unbounded,chromatin_od - tm_score,10,0.12142857142857144,0.022250582257307763,0.22060656059983513,0.020201163080910942,14,9,1,4,0.064453125,0.12142857142857144,0.022044787394122772,0.2208123554630201,0.024330493571034516,7
unbounded,chromatin_od - tm_score,20,0.15714285714285717,0.08301374760768321,0.23127196667803113,0.0005164547475705867,14,13,1,0,0.001708984375,0.1571428571428571,0.06888357741294529,0.24540213687276893,0.004787871965724749,7
unbounded,chromatin_od - tm_score,30,0.13095238095238096,0.0806148885701472,0.18128987333461472,8.337139329733633e-05,14,13,1,0,0.0008544921875,0.13095238095238093,0.07097023950717513,0.19093452239758674,0.0017578148942848952,7
unbounded,chromatin_od - tm_score,50,0.11428571428571431,0.06396520609149811,0.1646062224799305,0.0002867434005076939,14,13,1,0,0.000244140625,0.1142857142857143,0.05159209912718592,0.17697932944424266,0.004280559705156027,7
unbounded,od_contrast - tm_score,10,0.13571428571428573,0.021113463446982644,0.25031510798158885,0.02381181857785788,14,10,1,3,0.0322265625,0.1357142857142857,-0.004835609547190256,0.27626418097576166,0.05607489664502465,7
unbounded,od_contrast - tm_score,20,0.16428571428571428,0.07553693591655472,0.2530344926548739,0.0015145647219137468,14,12,1,1,0.006103515625,0.16428571428571428,0.05034347410497751,0.27822795446645104,0.01239714194373996,7
unbounded,od_contrast - tm_score,30,0.12142857142857141,0.06564444404900027,0.17721269880814255,0.00041327232315679663,14,11,0,3,0.0009765625,0.12142857142857143,0.04348226338844598,0.19937487946869686,0.008843735204871833,7
unbounded,od_contrast - tm_score,50,0.10857142857142857,0.06005979269425679,0.15708306444860035,0.0003257633352202967,14,13,1,0,0.0003662109375,0.10857142857142857,0.04620349673356632,0.1709393604092908,0.005323372962969007,7
unbounded,od_contrast - chromatin_od,10,0.014285714285714292,-0.08141455461392377,0.10998598318535235,0.7522089872436561,14,5,4,5,0.734375,0.01428571428571429,-0.07709122089079752,0.1056626494622261,0.7152407778441923,7
unbounded,od_contrast - chromatin_od,20,0.00714285714285713,-0.033459328317328944,0.04774504260304321,0.7100388684917889,14,5,4,5,1.0,0.00714285714285713,-0.04045579654277088,0.05474151082848514,0.7260774510791714,7
unbounded,od_contrast - chromatin_od,30,-0.009523809523809516,-0.042797912093892776,0.02375029304627374,0.5470282358545153,14,5,7,2,0.7333984375,-0.009523809523809518,-0.04382625449253331,0.024778635444914272,0.5222364406374206,7
unbounded,od_contrast - chromatin_od,50,-0.005714285714285718,-0.04003854498341553,0.028609973554844095,0.7248786191660872,14,6,4,4,0.921875,-0.005714285714285718,-0.047025377086610545,0.035596805658039105,0.7465428208877234,7
