file_name,domain,ranker,n_pool,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
245.tiff,canine lymphosarcoma,blob_score,34910,0.99,17473,90,90,1.0,0.5005
245.tiff,canine lymphosarcoma,blob_score,34910,1.0,17473,90,90,1.0,0.5005
245.tiff,canine lymphosarcoma,chromatin_od51,34910,0.5,742,90,90,1.0,0.0213
245.tiff,canine lymphosarcoma,chromatin_od51,34910,0.9,12183,90,90,1.0,0.349
245.tiff,canine lymphosarcoma,chromatin_od51,34910,0.95,15458,90,90,1.0,0.4428
245.tiff,canine lymphosarcoma,chromatin_od51,34910,0.98,19914,90,90,1.0,0.5704
245.tiff,canine lymphosarcoma,chromatin_od51,34910,0.99,22845,90,90,1.0,0.6544
245.tiff,canine lymphosarcoma,chromatin_od51,34910,1.0,22845,90,90,1.0,0.6544
245.tiff,canine lymphosarcoma,logreg_loro,34910,0.5,408,90,90,1.0,0.0117
245.tiff,canine lymphosarcoma,logreg_loro,34910,0.9,4353,90,90,1.0,0.1247
245.tiff,canine lymphosarcoma,logreg_loro,34910,0.95,5677,90,90,1.0,0.1626
245.tiff,canine lymphosarcoma,logreg_loro,34910,0.98,7765,90,90,1.0,0.2224
245.tiff,canine lymphosarcoma,logreg_loro,34910,0.99,8426,90,90,1.0,0.2414
245.tiff,canine lymphosarcoma,logreg_loro,34910,1.0,8426,90,90,1.0,0.2414
245.tiff,canine lymphosarcoma,hgb_loro,34910,0.5,219,90,90,1.0,0.0063
245.tiff,canine lymphosarcoma,hgb_loro,34910,0.9,5854,90,90,1.0,0.1677
245.tiff,canine lymphosarcoma,hgb_loro,34910,0.95,8359,90,90,1.0,0.2394
245.tiff,canine lymphosarcoma,hgb_loro,34910,0.98,12377,90,90,1.0,0.3545
245.tiff,canine lymphosarcoma,hgb_loro,34910,0.99,16153,90,90,1.0,0.4627
245.tiff,canine lymphosarcoma,hgb_loro,34910,1.0,16153,90,90,1.0,0.4627
245.tiff,canine lymphosarcoma,logreg_lodo,34910,0.5,407,90,90,1.0,0.0117
245.tiff,canine lymphosarcoma,logreg_lodo,34910,0.9,5391,90,90,1.0,0.1544
245.tiff,canine lymphosarcoma,logreg_lodo,34910,0.95,6785,90,90,1.0,0.1944
245.tiff,canine lymphosarcoma,logreg_lodo,34910,0.98,10659,90,90,1.0,0.3053
245.tiff,canine lymphosarcoma,logreg_lodo,34910,0.99,15654,90,90,1.0,0.4484
245.tiff,canine lymphosarcoma,logreg_lodo,34910,1.0,15654,90,90,1.0,0.4484
245.tiff,canine lymphosarcoma,hgb_lodo,34910,0.5,569,90,90,1.0,0.0163
245.tiff,canine lymphosarcoma,hgb_lodo,34910,0.9,6203,90,90,1.0,0.1777
245.tiff,canine lymphosarcoma,hgb_lodo,34910,0.95,9358,90,90,1.0,0.2681
245.tiff,canine lymphosarcoma,hgb_lodo,34910,0.98,14234,90,90,1.0,0.4077
245.tiff,canine lymphosarcoma,hgb_lodo,34910,0.99,16627,90,90,1.0,0.4763
245.tiff,canine lymphosarcoma,hgb_lodo,34910,1.0,16627,90,90,1.0,0.4763
201.tiff,canine lung cancer,blob_score,12446,0.5,49,16,18,0.8889,0.0039
201.tiff,canine lung cancer,blob_score,12446,0.9,2712,16,18,0.8889,0.2179
201.tiff,canine lung cancer,blob_score,12446,0.95,4794,16,18,0.8889,0.3852
201.tiff,canine lung cancer,blob_score,12446,0.98,4794,16,18,0.8889,0.3852
201.tiff,canine lung cancer,blob_score,12446,0.99,4794,16,18,0.8889,0.3852
201.tiff,canine lung cancer,blob_score,12446,1.0,4794,16,18,0.8889,0.3852
201.tiff,canine lung cancer,chromatin_od51,12446,0.5,17,16,18,0.8889,0.0014
201.tiff,canine lung cancer,chromatin_od51,12446,0.9,351,16,18,0.8889,0.0282
201.tiff,canine lung cancer,chromatin_od51,12446,0.95,823,16,18,0.8889,0.0661
201.tiff,canine lung cancer,chromatin_od51,12446,0.98,823,16,18,0.8889,0.0661
201.tiff,canine lung cancer,chromatin_od51,12446,0.99,823,16,18,0.8889,0.0661
201.tiff,canine lung cancer,chromatin_od51,12446,1.0,823,16,18,0.8889,0.0661
201.tiff,canine lung cancer,logreg_loro,12446,0.5,20,16,18,0.8889,0.0016
201.tiff,canine lung cancer,logreg_loro,12446,0.9,2318,16,18,0.8889,0.1862
201.tiff,canine lung cancer,logreg_loro,12446,0.95,4550,16,18,0.8889,0.3656
201.tiff,canine lung cancer,logreg_loro,12446,0.98,4550,16,18,0.8889,0.3656
201.tiff,canine lung cancer,logreg_loro,12446,0.99,4550,16,18,0.8889,0.3656
201.tiff,canine lung cancer,logreg_loro,12446,1.0,4550,16,18,0.8889,0.3656
201.tiff,canine lung cancer,hgb_loro,12446,0.5,32,16,18,0.8889,0.0026
201.tiff,canine lung cancer,hgb_loro,12446,0.9,1837,16,18,0.8889,0.1476
201.tiff,canine lung cancer,hgb_loro,12446,0.95,2194,16,18,0.8889,0.1763
201.tiff,canine lung cancer,hgb_loro,12446,0.98,2194,16,18,0.8889,0.1763
201.tiff,canine lung cancer,hgb_loro,12446,0.99,2194,16,18,0.8889,0.1763
201.tiff,canine lung cancer,hgb_loro,12446,1.0,2194,16,18,0.8889,0.1763
201.tiff,canine lung cancer,logreg_lodo,12446,0.5,17,16,18,0.8889,0.0014
201.tiff,canine lung cancer,logreg_lodo,12446,0.9,1832,16,18,0.8889,0.1472
201.tiff,canine lung cancer,logreg_lodo,12446,0.95,5016,16,18,0.8889,0.403
201.tiff,canine lung cancer,logreg_lodo,12446,0.98,5016,16,18,0.8889,0.403
201.tiff,canine lung cancer,logreg_lodo,12446,0.99,5016,16,18,0.8889,0.403
201.tiff,canine lung cancer,logreg_lodo,12446,1.0,5016,16,18,0.8889,0.403
201.tiff,canine lung cancer,hgb_lodo,12446,0.5,24,16,18,0.8889,0.0019
201.tiff,canine lung cancer,hgb_lodo,12446,0.9,897,16,18,0.8889,0.0721
201.tiff,canine lung cancer,hgb_lodo,12446,0.95,1260,16,18,0.8889,0.1012
201.tiff,canine lung cancer,hgb_lodo,12446,0.98,1260,16,18,0.8889,0.1012
201.tiff,canine lung cancer,hgb_lodo,12446,0.99,1260,16,18,0.8889,0.1012
201.tiff,canine lung cancer,hgb_lodo,12446,1.0,1260,16,18,0.8889,0.1012
202.tiff,canine lung cancer,blob_score,13440,0.5,27,16,16,1.0,0.002
202.tiff,canine lung cancer,blob_score,13440,0.9,1020,16,16,1.0,0.0759
202.tiff,canine lung cancer,blob_score,13440,0.95,2304,16,16,1.0,0.1714
202.tiff,canine lung cancer,blob_score,13440,0.98,2304,16,16,1.0,0.1714
202.tiff,canine lung cancer,blob_score,13440,0.99,2304,16,16,1.0,0.1714
202.tiff,canine lung cancer,blob_score,13440,1.0,2304,16,16,1.0,0.1714
202.tiff,canine lung cancer,chromatin_od51,13440,0.5,12,16,16,1.0,0.0009
202.tiff,canine lung cancer,chromatin_od51,13440,0.9,4638,16,16,1.0,0.3451
202.tiff,canine lung cancer,chromatin_od51,13440,0.95,5409,16,16,1.0,0.4025
202.tiff,canine lung cancer,chromatin_od51,13440,0.98,5409,16,16,1.0,0.4025
202.tiff,canine lung cancer,chromatin_od51,13440,0.99,5409,16,16,1.0,0.4025
202.tiff,canine lung cancer,chromatin_od51,13440,1.0,5409,16,16,1.0,0.4025
202.tiff,canine lung cancer,logreg_loro,13440,0.5,13,16,16,1.0,0.001
202.tiff,canine lung cancer,logreg_loro,13440,0.9,658,16,16,1.0,0.049
202.tiff,canine lung cancer,logreg_loro,13440,0.95,1144,16,16,1.0,0.0851
202.tiff,canine lung cancer,logreg_loro,13440,0.98,1144,16,16,1.0,0.0851
202.tiff,canine lung cancer,logreg_loro,13440,0.99,1144,16,16,1.0,0.0851
202.tiff,canine lung cancer,logreg_loro,13440,1.0,1144,16,16,1.0,0.0851
202.tiff,canine lung cancer,hgb_loro,13440,0.5,29,16,16,1.0,0.0022
202.tiff,canine lung cancer,hgb_loro,13440,0.9,870,16,16,1.0,0.0647
202.tiff,canine lung cancer,hgb_loro,13440,0.95,1592,16,16,1.0,0.1185
202.tiff,canine lung cancer,hgb_loro,13440,0.98,1592,16,16,1.0,0.1185
202.tiff,canine lung cancer,hgb_loro,13440,0.99,1592,16,16,1.0,0.1185
202.tiff,canine lung cancer,hgb_loro,13440,1.0,1592,16,16,1.0,0.1185
202.tiff,canine lung cancer,logreg_lodo,13440,0.5,13,16,16,1.0,0.001
202.tiff,canine lung cancer,logreg_lodo,13440,0.9,729,16,16,1.0,0.0542
202.tiff,canine lung cancer,logreg_lodo,13440,0.95,1198,16,16,1.0,0.0891
202.tiff,canine lung cancer,logreg_lodo,13440,0.98,1198,16,16,1.0,0.0891
202.tiff,canine lung cancer,logreg_lodo,13440,0.99,1198,16,16,1.0,0.0891
202.tiff,canine lung cancer,logreg_lodo,13440,1.0,1198,16,16,1.0,0.0891
202.tiff,canine lung cancer,hgb_lodo,13440,0.5,10,16,16,1.0,0.0007
202.tiff,canine lung cancer,hgb_lodo,13440,0.9,2608,16,16,1.0,0.194
202.tiff,canine lung cancer,hgb_lodo,13440,0.95,2952,16,16,1.0,0.2196
202.tiff,canine lung cancer,hgb_lodo,13440,0.98,2952,16,16,1.0,0.2196
202.tiff,canine lung cancer,hgb_lodo,13440,0.99,2952,16,16,1.0,0.2196
202.tiff,canine lung cancer,hgb_lodo,13440,1.0,2952,16,16,1.0,0.2196
405.tiff,canine soft tissue sarcoma,blob_score,7577,0.5,796,14,14,1.0,0.1051
405.tiff,canine soft tissue sarcoma,blob_score,7577,0.9,2968,14,14,1.0,0.3917
405.tiff,canine soft tissue sarcoma,blob_score,7577,0.95,3630,14,14,1.0,0.4791
405.tiff,canine soft tissue sarcoma,blob_score,7577,0.98,3630,14,14,1.0,0.4791
405.tiff,canine soft tissue sarcoma,blob_score,7577,0.99,3630,14,14,1.0,0.4791
405.tiff,canine soft tissue sarcoma,blob_score,7577,1.0,3630,14,14,1.0,0.4791
405.tiff,canine soft tissue sarcoma,chromatin_od51,7577,0.5,13,14,14,1.0,0.0017
405.tiff,canine soft tissue sarcoma,chromatin_od51,7577,0.9,245,14,14,1.0,0.0323
405.tiff,canine soft tissue sarcoma,chromatin_od51,7577,0.95,1102,14,14,1.0,0.1454
405.tiff,canine soft tissue sarcoma,chromatin_od51,7577,0.98,1102,14,14,1.0,0.1454
405.tiff,canine soft tissue sarcoma,chromatin_od51,7577,0.99,1102,14,14,1.0,0.1454
405.tiff,canine soft tissue sarcoma,chromatin_od51,7577,1.0,1102,14,14,1.0,0.1454
405.tiff,canine soft tissue sarcoma,logreg_loro,7577,0.5,493,14,14,1.0,0.0651
405.tiff,canine soft tissue sarcoma,logreg_loro,7577,0.9,1334,14,14,1.0,0.1761
405.tiff,canine soft tissue sarcoma,logreg_loro,7577,0.95,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,logreg_loro,7577,0.98,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,logreg_loro,7577,0.99,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,logreg_loro,7577,1.0,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,hgb_loro,7577,0.5,846,14,14,1.0,0.1117
405.tiff,canine soft tissue sarcoma,hgb_loro,7577,0.9,1575,14,14,1.0,0.2079
405.tiff,canine soft tissue sarcoma,hgb_loro,7577,0.95,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,hgb_loro,7577,0.98,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,hgb_loro,7577,0.99,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,hgb_loro,7577,1.0,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,logreg_lodo,7577,0.5,493,14,14,1.0,0.0651
405.tiff,canine soft tissue sarcoma,logreg_lodo,7577,0.9,1334,14,14,1.0,0.1761
405.tiff,canine soft tissue sarcoma,logreg_lodo,7577,0.95,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,logreg_lodo,7577,0.98,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,logreg_lodo,7577,0.99,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,logreg_lodo,7577,1.0,1454,14,14,1.0,0.1919
405.tiff,canine soft tissue sarcoma,hgb_lodo,7577,0.5,846,14,14,1.0,0.1117
405.tiff,canine soft tissue sarcoma,hgb_lodo,7577,0.9,1575,14,14,1.0,0.2079
405.tiff,canine soft tissue sarcoma,hgb_lodo,7577,0.95,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,hgb_lodo,7577,0.98,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,hgb_lodo,7577,0.99,2063,14,14,1.0,0.2723
405.tiff,canine soft tissue sarcoma,hgb_lodo,7577,1.0,2063,14,14,1.0,0.2723
