file_name,image_id,tumor_type,mpp,seed_ann_id,map_median,mad_scale,deep_floor,n_pool,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,axis,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,25,25,17,2,0.07834101382488479
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,50,50,32,5,0.14746543778801843
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,100,100,57,9,0.2626728110599078
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,250,250,89,11,0.41013824884792627
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,500,500,107,19,0.4930875576036866
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,1000,1000,129,33,0.5944700460829493
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,2000,2000,152,52,0.7004608294930875
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.29702,5000,5000,182,78,0.8387096774193549
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,25,25,22,1,0.10138248847926268
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,50,50,43,1,0.19815668202764977
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,100,100,74,9,0.34101382488479265
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,250,250,118,23,0.543778801843318
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,500,500,136,36,0.6267281105990783
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,1000,1000,161,54,0.7419354838709677
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,2000,2000,180,77,0.8294930875576036
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-1.0,True,False,217,109,17316,0.9496,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4281.0,9756.0,,,chromatin_od,-0.29702,5000,5000,200,94,0.9216589861751152
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,25,25,17,2,0.07834101382488479
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,50,50,32,5,0.14746543778801843
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,100,100,57,9,0.2626728110599078
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,250,250,89,11,0.41013824884792627
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,500,500,107,19,0.4930875576036866
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,1000,1000,129,33,0.5944700460829493
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,2000,2000,152,52,0.7004608294930875
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,tm_score,score,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,526.0,4161.0,6763.0,10389.0,,,tm_score,-0.15729,5000,5000,182,78,0.8387096774193549
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,25,25,22,1,0.10138248847926268
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,50,50,43,1,0.19815668202764977
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,100,100,74,9,0.34101382488479265
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,250,250,118,23,0.543778801843318
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,500,500,136,36,0.6267281105990783
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,1000,1000,161,54,0.7419354838709677
301.tiff,301,canine cutaneous mast cell tumor,0.2533,14969,-0.01756,0.27946,-0.43675,17316,chromatin_od,od,True,-0.5,True,False,217,109,17307,0.9493,102,2,0.0,0.9723502304147466,29.609,203.0,1611.0,4280.0,9753.0,,,chromatin_od,-0.15729,2000,2000,180,77,0.8294930875576036
