tumor_type,file_name,seed_index,budget,recall_at_k
canine soft tissue sarcoma,460.tiff,3,1000,0.8
canine soft tissue sarcoma,460.tiff,3,2000,0.8571428571428571
canine soft tissue sarcoma,460.tiff,3,5000,0.9714285714285714
canine soft tissue sarcoma,460.tiff,4,25,0.22857142857142856
canine soft tissue sarcoma,460.tiff,4,50,0.34285714285714286
canine soft tissue sarcoma,460.tiff,4,100,0.4857142857142857
canine soft tissue sarcoma,460.tiff,4,250,0.6
canine soft tissue sarcoma,460.tiff,4,500,0.6285714285714286
canine soft tissue sarcoma,460.tiff,4,1000,0.7428571428571429
canine soft tissue sarcoma,460.tiff,4,2000,0.8571428571428571
canine soft tissue sarcoma,460.tiff,4,5000,0.9142857142857143
human melanoma,529.tiff,0,25,0.21052631578947367
human melanoma,529.tiff,0,50,0.3157894736842105
human melanoma,529.tiff,0,100,0.3684210526315789
human melanoma,529.tiff,0,250,0.6842105263157895
human melanoma,529.tiff,0,500,0.7894736842105263
human melanoma,529.tiff,0,1000,0.7894736842105263
human melanoma,529.tiff,0,2000,1.0
human melanoma,529.tiff,0,5000,1.0
human melanoma,529.tiff,1,25,0.42105263157894735
human melanoma,529.tiff,1,50,0.631578947368421
human melanoma,529.tiff,1,100,0.631578947368421
human melanoma,529.tiff,1,250,0.6842105263157895
human melanoma,529.tiff,1,500,0.7894736842105263
human melanoma,529.tiff,1,1000,0.8947368421052632
human melanoma,529.tiff,1,2000,0.8947368421052632
human melanoma,529.tiff,1,5000,1.0
human melanoma,529.tiff,2,25,0.15789473684210525
human melanoma,529.tiff,2,50,0.3157894736842105
human melanoma,529.tiff,2,100,0.47368421052631576
human melanoma,529.tiff,2,250,0.5789473684210527
human melanoma,529.tiff,2,500,0.6842105263157895
human melanoma,529.tiff,2,1000,0.8947368421052632
human melanoma,529.tiff,2,2000,0.8947368421052632
human melanoma,529.tiff,2,5000,0.9473684210526315
human melanoma,529.tiff,3,25,0.3684210526315789
human melanoma,529.tiff,3,50,0.42105263157894735
human melanoma,529.tiff,3,100,0.5789473684210527
human melanoma,529.tiff,3,250,0.5789473684210527
human melanoma,529.tiff,3,500,0.7894736842105263
human melanoma,529.tiff,3,1000,0.8421052631578947
human melanoma,529.tiff,3,2000,0.8947368421052632
human melanoma,529.tiff,3,5000,1.0
human melanoma,529.tiff,4,25,0.21052631578947367
human melanoma,529.tiff,4,50,0.3157894736842105
human melanoma,529.tiff,4,100,0.3684210526315789
human melanoma,529.tiff,4,250,0.6842105263157895
human melanoma,529.tiff,4,500,0.7894736842105263
human melanoma,529.tiff,4,1000,0.7894736842105263
human melanoma,529.tiff,4,2000,1.0
human melanoma,529.tiff,4,5000,1.0
human melanoma,548.tiff,0,25,0.058823529411764705
human melanoma,548.tiff,0,50,0.13025210084033614
human melanoma,548.tiff,0,100,0.2773109243697479
human melanoma,548.tiff,0,250,0.5798319327731093
human melanoma,548.tiff,0,500,0.7899159663865546
human melanoma,548.tiff,0,1000,0.9033613445378151
human melanoma,548.tiff,0,2000,0.9495798319327731
human melanoma,548.tiff,0,5000,0.9873949579831933
human melanoma,548.tiff,1,25,0.09243697478991597
human melanoma,548.tiff,1,50,0.16806722689075632
human melanoma,548.tiff,1,100,0.3067226890756303
human melanoma,548.tiff,1,250,0.5966386554621849
human melanoma,548.tiff,1,500,0.7773109243697479
human melanoma,548.tiff,1,1000,0.8739495798319328
human melanoma,548.tiff,1,2000,0.9327731092436975
human melanoma,548.tiff,1,5000,0.9747899159663865
human melanoma,548.tiff,2,25,0.07983193277310924
human melanoma,548.tiff,2,50,0.13445378151260504
human melanoma,548.tiff,2,100,0.29411764705882354
human melanoma,548.tiff,2,250,0.6134453781512605
human melanoma,548.tiff,2,500,0.8109243697478992
human melanoma,548.tiff,2,1000,0.8949579831932774
human melanoma,548.tiff,2,2000,0.9411764705882353
human melanoma,548.tiff,2,5000,0.9831932773109243
human melanoma,548.tiff,3,25,0.07983193277310924
human melanoma,548.tiff,3,50,0.14705882352941177
human melanoma,548.tiff,3,100,0.2773109243697479
human melanoma,548.tiff,3,250,0.5042016806722689
human melanoma,548.tiff,3,500,0.7436974789915967
human melanoma,548.tiff,3,1000,0.8571428571428571
human melanoma,548.tiff,3,2000,0.9369747899159664
human melanoma,548.tiff,3,5000,0.9831932773109243
human melanoma,548.tiff,4,25,0.08823529411764706
human melanoma,548.tiff,4,50,0.15546218487394958
human melanoma,548.tiff,4,100,0.27310924369747897
human melanoma,548.tiff,4,250,0.5546218487394958
human melanoma,548.tiff,4,500,0.7563025210084033
human melanoma,548.tiff,4,1000,0.9033613445378151
human melanoma,548.tiff,4,2000,0.9453781512605042
human melanoma,548.tiff,4,5000,0.9831932773109243
