roi,seed,budget,tm_tp_csv,tm_tp_recomputed,tm_tp_without_echo,od_tp_csv,od_tp_recomputed,od_tp_without_echo,tm_prec,od_prec,delta_with_echo,delta_without_echo,echo_bias_on_this_cell,echo_bias_on_seed1_pooled
301.tiff,1,10,9,9,9,8,8,8,0.9,0.8,-0.1,-0.1,0.0,0.0
301.tiff,1,20,18,18,18,17,17,17,0.9,0.85,-0.05,-0.05,0.0,0.0
301.tiff,1,30,25,25,25,26,26,26,0.8333333333333334,0.8666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0
