check,file_name,condition,passed
od_no_nan,529.tiff,gray_bbox,True
od_no_nan,529.tiff,hem_bbox,True
od_no_nan,548.tiff,default_51,True
od_no_nan,548.tiff,gray_bbox,True
od_no_nan,548.tiff,hem_bbox,True
od_descending,013.tiff,default_51,True
od_descending,013.tiff,gray_bbox,True
od_descending,013.tiff,hem_bbox,True
od_descending,094.tiff,default_51,True
od_descending,094.tiff,gray_bbox,True
od_descending,094.tiff,hem_bbox,True
od_descending,201.tiff,default_51,True
od_descending,201.tiff,gray_bbox,True
od_descending,201.tiff,hem_bbox,True
od_descending,233.tiff,default_51,True
od_descending,233.tiff,gray_bbox,True
od_descending,233.tiff,hem_bbox,True
od_descending,245.tiff,default_51,True
od_descending,245.tiff,gray_bbox,True
od_descending,245.tiff,hem_bbox,True
od_descending,246.tiff,default_51,True
od_descending,246.tiff,gray_bbox,True
od_descending,246.tiff,hem_bbox,True
od_descending,300.tiff,default_51,True
od_descending,300.tiff,gray_bbox,True
od_descending,300.tiff,hem_bbox,True
od_descending,301.tiff,default_51,True
od_descending,301.tiff,gray_bbox,True
od_descending,301.tiff,hem_bbox,True
od_descending,402.tiff,default_51,True
od_descending,402.tiff,gray_bbox,True
od_descending,402.tiff,hem_bbox,True
od_descending,403.tiff,default_51,True
od_descending,403.tiff,gray_bbox,True
od_descending,403.tiff,hem_bbox,True
od_descending,459.tiff,default_51,True
od_descending,459.tiff,gray_bbox,True
od_descending,459.tiff,hem_bbox,True
od_descending,460.tiff,default_51,True
od_descending,460.tiff,gray_bbox,True
od_descending,460.tiff,hem_bbox,True
od_descending,529.tiff,default_51,True
od_descending,529.tiff,gray_bbox,True
od_descending,529.tiff,hem_bbox,True
od_descending,548.tiff,default_51,True
od_descending,548.tiff,gray_bbox,True
od_descending,548.tiff,hem_bbox,True
seed_annulus_empty,013.tiff,default_51,True
seed_annulus_empty,013.tiff,gray_bbox,True
seed_annulus_empty,013.tiff,hem_bbox,True
seed_annulus_empty,094.tiff,default_51,True
seed_annulus_empty,094.tiff,gray_bbox,True
seed_annulus_empty,094.tiff,hem_bbox,True
seed_annulus_empty,201.tiff,default_51,True
seed_annulus_empty,201.tiff,gray_bbox,True
seed_annulus_empty,201.tiff,hem_bbox,True
seed_annulus_empty,233.tiff,default_51,True
seed_annulus_empty,233.tiff,gray_bbox,True
seed_annulus_empty,233.tiff,hem_bbox,True
seed_annulus_empty,245.tiff,default_51,True
seed_annulus_empty,245.tiff,gray_bbox,True
seed_annulus_empty,245.tiff,hem_bbox,True
seed_annulus_empty,246.tiff,default_51,True
seed_annulus_empty,246.tiff,gray_bbox,True
seed_annulus_empty,246.tiff,hem_bbox,True
seed_annulus_empty,300.tiff,default_51,True
seed_annulus_empty,300.tiff,gray_bbox,True
seed_annulus_empty,300.tiff,hem_bbox,True
seed_annulus_empty,301.tiff,default_51,True
seed_annulus_empty,301.tiff,gray_bbox,True
seed_annulus_empty,301.tiff,hem_bbox,True
seed_annulus_empty,402.tiff,default_51,True
seed_annulus_empty,402.tiff,gray_bbox,True
seed_annulus_empty,402.tiff,hem_bbox,True
seed_annulus_empty,403.tiff,default_51,True
seed_annulus_empty,403.tiff,gray_bbox,True
seed_annulus_empty,403.tiff,hem_bbox,True
seed_annulus_empty,459.tiff,default_51,True
seed_annulus_empty,459.tiff,gray_bbox,True
seed_annulus_empty,459.tiff,hem_bbox,True
seed_annulus_empty,460.tiff,default_51,True
seed_annulus_empty,460.tiff,gray_bbox,True
seed_annulus_empty,460.tiff,hem_bbox,True
seed_annulus_empty,529.tiff,default_51,True
seed_annulus_empty,529.tiff,gray_bbox,True
seed_annulus_empty,529.tiff,hem_bbox,True
seed_annulus_empty,548.tiff,default_51,True
seed_annulus_empty,548.tiff,gray_bbox,True
seed_annulus_empty,548.tiff,hem_bbox,True
one_click_per_roi,013.tiff,ALL,True
one_click_per_roi,094.tiff,ALL,True
one_click_per_roi,201.tiff,ALL,True
one_click_per_roi,233.tiff,ALL,True
one_click_per_roi,245.tiff,ALL,True
one_click_per_roi,246.tiff,ALL,True
one_click_per_roi,300.tiff,ALL,True
one_click_per_roi,301.tiff,ALL,True
one_click_per_roi,402.tiff,ALL,True
one_click_per_roi,403.tiff,ALL,True
one_click_per_roi,459.tiff,ALL,True
one_click_per_roi,460.tiff,ALL,True
one_click_per_roi,529.tiff,ALL,True
one_click_per_roi,548.tiff,ALL,True
gate1_click_reproduces,013.tiff,ALL,True
gate1_click_reproduces,094.tiff,ALL,True
gate1_click_reproduces,201.tiff,ALL,True
gate1_click_reproduces,233.tiff,ALL,True
gate1_click_reproduces,245.tiff,ALL,True
gate1_click_reproduces,246.tiff,ALL,True
gate1_click_reproduces,300.tiff,ALL,True
gate1_click_reproduces,301.tiff,ALL,True
gate1_click_reproduces,402.tiff,ALL,True
gate1_click_reproduces,403.tiff,ALL,True
gate1_click_reproduces,459.tiff,ALL,True
gate1_click_reproduces,460.tiff,ALL,True
gate1_click_reproduces,529.tiff,ALL,True
gate1_click_reproduces,548.tiff,ALL,True
gate2_reference_reproduces,013.tiff,gray_bbox,True
gate2_reference_reproduces,013.tiff,hem_bbox,True
gate2_reference_reproduces,094.tiff,gray_bbox,True
gate2_reference_reproduces,094.tiff,hem_bbox,True
gate2_reference_reproduces,201.tiff,gray_bbox,True
gate2_reference_reproduces,201.tiff,hem_bbox,True
gate2_reference_reproduces,233.tiff,gray_bbox,True
gate2_reference_reproduces,233.tiff,hem_bbox,True
gate2_reference_reproduces,245.tiff,gray_bbox,True
gate2_reference_reproduces,245.tiff,hem_bbox,True
gate2_reference_reproduces,246.tiff,gray_bbox,True
gate2_reference_reproduces,246.tiff,hem_bbox,True
gate2_reference_reproduces,300.tiff,gray_bbox,True
gate2_reference_reproduces,300.tiff,hem_bbox,True
gate2_reference_reproduces,301.tiff,gray_bbox,True
gate2_reference_reproduces,301.tiff,hem_bbox,True
gate2_reference_reproduces,402.tiff,gray_bbox,True
gate2_reference_reproduces,402.tiff,hem_bbox,True
gate2_reference_reproduces,403.tiff,gray_bbox,True
gate2_reference_reproduces,403.tiff,hem_bbox,True
gate2_reference_reproduces,459.tiff,gray_bbox,True
gate2_reference_reproduces,459.tiff,hem_bbox,True
gate2_reference_reproduces,460.tiff,gray_bbox,True
gate2_reference_reproduces,460.tiff,hem_bbox,True
gate2_reference_reproduces,529.tiff,gray_bbox,True
gate2_reference_reproduces,529.tiff,hem_bbox,True
gate2_reference_reproduces,548.tiff,gray_bbox,True
gate2_reference_reproduces,548.tiff,hem_bbox,True
gate3_identical_template,245.tiff,gray_bbox=default_51,True
