K,tm_withinroi_seed_sd,chrom_withinroi_seed_sd,tm_resid_var,chrom_resid_var,var_ratio,levene_p,tm_worstseed,chrom_worstseed,worstseed_delta,worstseed_lo,worstseed_hi,worstseed_p,worstseed_up,worstseed_down
10,0.10048474762370012,0.05399117701938768,0.00956521739130435,0.004347826086956521,0.4545454545454544,0.00015299985527012156,0.4928571428571429,0.5571428571428572,0.0642857142857143,-0.04805515157423916,0.17662658014566773,0.2382386391219959,9,3
25,0.07152866794268535,0.038733619370160906,0.004758260869565217,0.0022446376811594204,0.47173489278752445,0.0003707373497924214,0.46,0.5142857142857143,0.054285714285714284,-0.030502779687818365,0.13907420825924693,0.18990678299570954,9,4
50,0.05794534705309713,0.0294022058066854,0.0035292753623188404,0.0016973913043478264,0.4809461235216821,0.0007181047331702878,0.39714285714285713,0.44,0.042857142857142864,-0.007346747548340908,0.09306103326262663,0.0880541154845858,10,3
100,0.04354398991804388,0.02020363060225432,0.002584927536231884,0.0010684057971014492,0.41332137250504597,0.005270551383909706,0.3007142857142857,0.3507142857142857,0.049999999999999996,0.014335756856463835,0.08566424314353616,0.009687893200670894,11,2
