pair,K,clicks,clicks_worse,clicks_better,clicks_equal,mean_click_delta_tp,worst_click_delta_tp,best_click_delta_tp,clicks_losing_ge_5_tp,clicks_gaining_ge_5_tp,worst_of_3_clicks_mean_precision_a,worst_of_3_clicks_mean_precision_b,worst_of_3_delta_W_L_T,worst_of_3_exact_p,worst_of_3_min_p
gray_bbox - default_51,10,147,32,23,92,-0.08163265306122448,-3,4,0,0,0.5020408163265306,0.5244897959183674,5/13/31,0.08003997802734375,7.62939453125e-06
gray_bbox - default_51,20,147,57,20,70,-0.46938775510204084,-5,6,1,2,0.4204081632653061,0.45102040816326533,6/23/20,0.00855986401438713,3.725290298461914e-09
gray_bbox - default_51,30,147,64,26,57,-0.5850340136054422,-10,8,5,1,0.37006802721088433,0.39319727891156464,8/24/17,0.01537143625319004,4.656612873077393e-10
hem_bbox - default_51,10,147,51,23,73,-0.29931972789115646,-4,5,0,2,0.4714285714285714,0.5244897959183674,6/24/19,0.021185951307415962,1.862645149230957e-09
hem_bbox - default_51,20,147,85,23,39,-1.129251700680272,-12,6,5,3,0.38571428571428573,0.45102040816326533,7/33/9,0.00022902479213371407,1.8189894035458565e-12
hem_bbox - default_51,30,147,93,19,35,-1.598639455782313,-13,7,14,1,0.3306122448979592,0.39319727891156464,6/33/10,2.3298558517126366e-05,3.637978807091713e-12
hem_bbox - gray_bbox,10,147,37,14,96,-0.21768707482993196,-4,4,0,0,0.4714285714285714,0.5020408163265306,5/16/28,0.0915060043334961,9.5367431640625e-07
hem_bbox - gray_bbox,20,147,65,22,60,-0.6598639455782312,-12,5,2,2,0.38571428571428573,0.4204081632653061,8/25/16,0.012174761155620217,2.3283064365386963e-10
hem_bbox - gray_bbox,30,147,76,19,52,-1.0136054421768708,-13,5,10,1,0.3306122448979592,0.37006802721088433,4/29/16,7.884739898145199e-05,2.3283064365386963e-10
