file_name,seed_index,condition,base_size,n_detections,tp_at_10,tp_at_20,tp_at_30
301.tiff,2,gray_bbox,23,96,9,19,29
301.tiff,2,hem_bbox,19,95,9,19,28
211.tiff,0,hem_bbox,23,98,0,0,0
211.tiff,2,default_51,51,100,0,0,0
211.tiff,2,gray_bbox,51,100,0,0,0
211.tiff,2,hem_bbox,25,98,0,0,0
546.tiff,0,default_51,51,100,1,1,4
546.tiff,0,gray_bbox,29,100,1,2,3
546.tiff,0,hem_bbox,27,100,1,3,3
401.tiff,0,gray_bbox,29,95,6,7,7
401.tiff,0,hem_bbox,27,96,6,7,7
