file_name,K,n_gt_eval,hit_frac,null_precision,observed_default_51,observed_gray_bbox,observed_hem_bbox
249.tiff,20,111,0.009850127250447734,0.009841827728093971,0.7833333333333333,0.75,0.7666666666666667
249.tiff,30,111,0.009850127250447734,0.009837463303789618,0.7888888888888889,0.7555555555555555,0.7555555555555555
284.tiff,10,74,0.00663744619348352,0.006634767771829697,0.8,0.7666666666666667,0.6666666666666666
284.tiff,20,74,0.00663744619348352,0.006631793437817201,0.7833333333333333,0.7666666666666667,0.6333333333333333
284.tiff,30,74,0.00663744619348352,0.00662882088164379,0.6444444444444445,0.6444444444444445,0.5555555555555556
289.tiff,10,17,0.0015709931818895905,0.001570340043556484,0.4,0.26666666666666666,0.26666666666666666
289.tiff,20,17,0.0015709931818895905,0.0015696147588941333,0.26666666666666666,0.15,0.13333333333333333
289.tiff,30,17,0.0015709931818895905,0.001568889920876156,0.18888888888888888,0.14444444444444443,0.13333333333333333
291.tiff,10,86,0.007619316932164514,0.007616279940933057,0.26666666666666666,0.3333333333333333,0.4
291.tiff,20,86,0.007619316932164514,0.007612907399064705,0.31666666666666665,0.31666666666666665,0.31666666666666665
291.tiff,30,86,0.007619316932164514,0.0076095368483761455,0.36666666666666664,0.34444444444444444,0.32222222222222224
293.tiff,10,104,0.009143180318597417,0.009139563956306596,0.4666666666666667,0.6666666666666666,0.8666666666666667
293.tiff,20,104,0.009143180318597417,0.009135548012590044,0.6833333333333333,0.8166666666666667,0.8333333333333334
293.tiff,30,104,0.009143180318597417,0.009131534421691642,0.7222222222222222,0.7777777777777778,0.7777777777777778
300.tiff,10,180,0.015952960060274017,0.01594659914037666,0.9,0.9666666666666667,0.9333333333333333
300.tiff,20,180,0.015952960060274017,0.015939535417484052,0.9333333333333333,0.95,0.9
300.tiff,30,180,0.015952960060274017,0.015932475866530904,0.9,0.9333333333333333,0.8888888888888888
301.tiff,10,217,0.019155017238696573,0.019147410199584068,0.7333333333333333,0.8333333333333334,0.8333333333333334
301.tiff,20,217,0.019155017238696573,0.01913896265770907,0.8,0.9,0.8666666666666667
301.tiff,30,217,0.019155017238696573,0.019130520085068308,0.8111111111111111,0.9222222222222223,0.8888888888888888
322.tiff,10,22,0.0020227829234536355,0.0020219462000607537,0.8,0.8,0.8
322.tiff,20,22,0.0020227829234536355,0.002021017048598095,0.6833333333333333,0.65,0.5666666666666667
322.tiff,30,22,0.0020227829234536355,0.002020088466436694,0.5111111111111111,0.45555555555555555,0.3888888888888889
337.tiff,10,29,0.0026206094554864917,0.002619544051117262,0.8,0.8,0.7
337.tiff,20,29,0.0026206094554864917,0.002618360945766324,0.55,0.5666666666666667,0.43333333333333335
337.tiff,30,29,0.0026206094554864917,0.0026171785528743847,0.4222222222222222,0.4222222222222222,0.3
339.tiff,10,14,0.0013676305595820128,0.0013670295118786812,0.43333333333333335,0.43333333333333335,0.3333333333333333
339.tiff,20,14,0.0013676305595820128,0.0013663620941334886,0.26666666666666666,0.3,0.23333333333333334
339.tiff,30,14,0.0013676305595820128,0.0013656951108549364,0.2,0.2,0.15555555555555556
343.tiff,10,36,0.0033003300330033004,0.003298968843508243,0.7,0.5666666666666667,0.5
343.tiff,20,36,0.0033003300330033004,0.0032974572885872133,0.43333333333333335,0.35,0.26666666666666666
343.tiff,30,36,0.0033003300330033004,0.003295946657105775,0.35555555555555557,0.28888888888888886,0.2111111111111111
344.tiff,10,43,0.00385720954229418,0.003855652907831286,0.6,0.6666666666666666,0.6333333333333333
344.tiff,20,43,0.00385720954229418,0.003853924296279454,0.6833333333333333,0.7,0.6
344.tiff,30,43,0.00385720954229418,0.0038521967180496163,0.6555555555555556,0.6666666666666666,0.45555555555555555
353.tiff,10,62,0.005435315817357691,0.005433172093370508,0.9,0.8333333333333334,0.8333333333333334
353.tiff,20,62,0.005435315817357691,0.005430791499903187,0.7333333333333333,0.6833333333333333,0.6833333333333333
353.tiff,30,62,0.005435315817357691,0.00542841229720729,0.6111111111111112,0.5777777777777777,0.5777777777777777
364.tiff,10,22,0.002060318270117536,0.0020594502095946598,0.5333333333333333,0.4666666666666667,0.36666666666666664
364.tiff,20,22,0.002060318270117536,0.0020584862697843875,0.26666666666666666,0.25,0.2
364.tiff,30,22,0.002060318270117536,0.0020575229315454783,0.17777777777777778,0.17777777777777778,0.13333333333333333
400.tiff,10,103,0.009117725931885224,0.009114094768070902,0.9,0.8666666666666667,0.8666666666666667
400.tiff,20,103,0.009117725931885224,0.009110062402854746,0.85,0.8166666666666667,0.8
400.tiff,30,103,0.009117725931885224,0.009106032416367937,0.8777777777777778,0.8111111111111111,0.7444444444444445
401.tiff,10,18,0.0016744173877780613,0.0016737166432241324,0.7,0.5666666666666667,0.5666666666666667
401.tiff,20,18,0.0016744173877780613,0.001672938496723697,0.43333333333333335,0.35,0.3333333333333333
401.tiff,30,18,0.0016744173877780613,0.00167216083259234,0.3111111111111111,0.24444444444444444,0.23333333333333334
402.tiff,10,104,0.009202754939858329,0.009199091303054897,0.7666666666666667,0.7,0.6666666666666666
402.tiff,20,104,0.009202754939858329,0.00919502287609344,0.6833333333333333,0.6333333333333333,0.5833333333333334
402.tiff,30,104,0.009202754939858329,0.009190956848223545,0.6111111111111112,0.5555555555555556,0.5333333333333333
403.tiff,10,52,0.004650432666836725,0.0046485615869840125,0.5333333333333333,0.5333333333333333,0.5333333333333333
403.tiff,20,52,0.004650432666836725,0.004646483786519417,0.5,0.48333333333333334,0.4166666666666667
403.tiff,30,52,0.004650432666836725,0.004644407224360828,0.45555555555555555,0.45555555555555555,0.3888888888888889
404.tiff,10,60,0.0053568275023055945,0.005354675844549961,0.43333333333333335,0.4,0.36666666666666664
404.tiff,20,60,0.0053568275023055945,0.005352286465099665,0.38333333333333336,0.36666666666666664,0.35
404.tiff,30,60,0.0053568275023055945,0.005349898507244433,0.35555555555555557,0.34444444444444444,0.34444444444444444
410.tiff,10,16,0.0014610236591573193,0.0014604234518476034,0.3333333333333333,0.26666666666666666,0.2
410.tiff,20,16,0.0014610236591573193,0.0014597569403917098,0.21666666666666667,0.15,0.11666666666666667
410.tiff,30,16,0.0014610236591573193,0.0014590908345145574,0.14444444444444443,0.1,0.07777777777777778
425.tiff,10,16,0.001500298488704559,0.0014996655826006843,0.9,0.9,0.9333333333333333
425.tiff,20,16,0.001500298488704559,0.0014989627710821018,0.7,0.6833333333333333,0.6833333333333333
425.tiff,30,16,0.001500298488704559,0.0014982603987227468,0.4666666666666667,0.4666666666666667,0.4666666666666667
435.tiff,10,52,0.004705124579759324,0.004703209236412054,0.6,0.6333333333333333,0.43333333333333335
435.tiff,20,52,0.004705124579759324,0.004701082296303926,0.4166666666666667,0.38333333333333336,0.3333333333333333
435.tiff,30,52,0.004705124579759324,0.004698956638688993,0.35555555555555557,0.34444444444444444,0.32222222222222224
459.tiff,10,130,0.011593929682345178,0.011589277816260846,0.9333333333333333,0.9666666666666667,0.9333333333333333
459.tiff,20,130,0.011593929682345178,0.011584111994711432,0.8666666666666667,0.8833333333333333,0.8166666666666667
459.tiff,30,130,0.011593929682345178,0.011578949243322109,0.8777777777777778,0.8555555555555555,0.7777777777777778
460.tiff,10,35,0.003110566500141389,0.0031093227861249684,0.8,0.8,0.5333333333333333
460.tiff,20,35,0.003110566500141389,0.0031079416592409703,0.8166666666666667,0.7666666666666667,0.4166666666666667
460.tiff,30,35,0.003110566500141389,0.003106561350332049,0.5888888888888889,0.5666666666666667,0.3
462.tiff,10,14,0.0013117793068778082,0.0013112263420357539,0.1,0.16666666666666666,0.16666666666666666
462.tiff,20,14,0.0013117793068778082,0.0013106123011357496,0.11666666666666667,0.11666666666666667,0.11666666666666667
462.tiff,30,14,0.0013117793068778082,0.0013099986436388767,0.1,0.1,0.1
499.tiff,10,61,0.005435636409337983,0.0054334572936755475,0.7333333333333333,0.7666666666666667,0.7333333333333333
499.tiff,20,61,0.005435636409337983,0.005431037420055962,0.7333333333333333,0.7,0.7
499.tiff,30,61,0.005435636409337983,0.005428618983406426,0.6666666666666666,0.6777777777777778,0.6888888888888889
509.tiff,10,17,0.0015763069939629404,0.001575649430285131,0.16666666666666666,0.16666666666666666,0.16666666666666666
509.tiff,20,17,0.0015763069939629404,0.0015749192328948169,0.26666666666666666,0.25,0.26666666666666666
509.tiff,30,17,0.0015763069939629404,0.0015741894866946919,0.28888888888888886,0.26666666666666666,0.26666666666666666
524.tiff,10,14,0.0013015978912806023,0.001301053475778291,0.2,0.13333333333333333,0.13333333333333333
524.tiff,20,14,0.0013015978912806023,0.0013004489257259278,0.11666666666666667,0.06666666666666667,0.06666666666666667
524.tiff,30,14,0.0013015978912806023,0.0012998447502220382,0.08888888888888889,0.06666666666666667,0.044444444444444446
527.tiff,10,42,0.00382630535878971,0.0038247371027386513,0.3333333333333333,0.3,0.23333333333333334
527.tiff,20,42,0.00382630535878971,0.0038229956010832344,0.26666666666666666,0.2,0.15
527.tiff,30,42,0.00382630535878971,0.0038212551566954023,0.2111111111111111,0.17777777777777778,0.13333333333333333
529.tiff,10,19,0.0017202022382251175,0.0017195015689379979,0.7,0.6333333333333333,0.6
529.tiff,20,19,0.0017202022382251175,0.001718723493768104,0.48333333333333334,0.38333333333333336,0.4
529.tiff,30,19,0.0017202022382251175,0.0017179458880373162,0.35555555555555557,0.2777777777777778,0.2777777777777778
546.tiff,10,27,0.0025050853887460837,0.0025040397386779656,0.1,0.1,0.06666666666666667
546.tiff,20,27,0.0025050853887460837,0.0025028785877497573,0.06666666666666667,0.11666666666666667,0.1
546.tiff,30,27,0.0025050853887460837,0.002501718154739474,0.1111111111111111,0.1111111111111111,0.06666666666666667
548.tiff,10,238,0.020596642008254354,0.020588622861194318,0.9666666666666667,0.8666666666666667,0.8666666666666667
548.tiff,20,238,0.020596642008254354,0.0205797175798641,0.7666666666666667,0.6833333333333333,0.6666666666666666
548.tiff,30,238,0.020596642008254354,0.020570817434317754,0.7888888888888889,0.7333333333333333,0.7222222222222222
549.tiff,10,27,0.0025181667745881,0.00251711017674503,0.8,0.8,0.7666666666666667
549.tiff,20,27,0.0025181667745881,0.002515936872366775,0.5166666666666667,0.45,0.43333333333333335
549.tiff,30,27,0.0025181667745881,0.0025147642972075056,0.3888888888888889,0.34444444444444444,0.34444444444444444
