file_name,K,n_gt_eval,hit_frac,null_precision,observed_default_51,observed_gray_bbox,observed_hem_bbox
007.tiff,10,21,0.0019752892621444315,0.0019744533787563467,0.6,0.6,0.6
007.tiff,20,21,0.0019752892621444315,0.0019735251725312318,0.35,0.36666666666666664,0.36666666666666664
007.tiff,30,21,0.0019752892621444315,0.0019725975481158066,0.24444444444444444,0.24444444444444444,0.25555555555555554
013.tiff,10,17,0.0015959290727259646,0.0015952550383484532,0.5666666666666667,0.5,0.5333333333333333
013.tiff,20,17,0.0015959290727259646,0.0015945065563962967,0.4166666666666667,0.3333333333333333,0.38333333333333336
013.tiff,30,17,0.0015959290727259646,0.0015937585426871145,0.3,0.26666666666666666,0.3
072.tiff,10,48,0.004311628536618384,0.004309886128335094,0.6,0.5333333333333333,0.5
072.tiff,20,48,0.004311628536618384,0.004307951220164341,0.5833333333333334,0.43333333333333335,0.38333333333333336
072.tiff,30,48,0.004311628536618384,0.0043060174702205245,0.5333333333333333,0.35555555555555557,0.3111111111111111
094.tiff,10,81,0.007132132132132132,0.00712930683397317,0.5,0.5,0.5666666666666667
094.tiff,20,81,0.007132132132132132,0.007126169363854312,0.7333333333333333,0.7166666666666667,0.7166666666666667
094.tiff,30,81,0.007132132132132132,0.007123033734721518,0.6888888888888889,0.7,0.6888888888888889
100.tiff,10,43,0.003936740188745955,0.003935118708951679,0.9,0.9,0.9
100.tiff,20,43,0.003936740188745955,0.0039333181090385584,0.85,0.8333333333333334,0.7666666666666667
100.tiff,30,43,0.003936740188745955,0.003931518607664009,0.7111111111111111,0.6666666666666666,0.6444444444444445
123.tiff,10,35,0.0031559152971956505,0.0031546350591673544,0.5333333333333333,0.5333333333333333,0.5333333333333333
123.tiff,20,35,0.0031559152971956505,0.0031532133845449117,0.4666666666666667,0.4,0.36666666666666664
123.tiff,30,35,0.0031559152971956505,0.0031517925641824465,0.3888888888888889,0.3111111111111111,0.28888888888888886
128.tiff,10,29,0.0026206094554864917,0.002619544051117262,0.7,0.7333333333333333,0.6666666666666666
128.tiff,20,29,0.0026206094554864917,0.002618360945766324,0.6,0.5333333333333333,0.43333333333333335
128.tiff,30,29,0.0026206094554864917,0.0026171785528743847,0.4111111111111111,0.36666666666666664,0.3111111111111111
201.tiff,10,17,0.001516008420523455,0.0015154001965337004,0.36666666666666664,0.3333333333333333,0.36666666666666664
201.tiff,20,17,0.001516008420523455,0.0015147247736643998,0.35,0.3333333333333333,0.31666666666666665
201.tiff,30,17,0.001516008420523455,0.0015140497521816934,0.28888888888888886,0.2777777777777778,0.23333333333333334
211.tiff,10,19,0.0017830772614446852,0.0017823244424722607,0.0,0.0,0.0
211.tiff,20,19,0.0017830772614446852,0.0017814884739410842,0.0,0.0,0.0
211.tiff,30,19,0.0017830772614446852,0.001780653028205481,0.0,0.0,0.0
220.tiff,10,76,0.006684575988940208,0.006681930872516517,0.43333333333333335,0.4666666666666667,0.5666666666666667
220.tiff,20,76,0.006684575988940208,0.0066789934909258445,0.4166666666666667,0.43333333333333335,0.5
220.tiff,30,76,0.006684575988940208,0.006676057831034739,0.3888888888888889,0.4,0.3888888888888889
230.tiff,10,17,0.0015945580796179345,0.0015938852026664784,0.6,0.6,0.6
230.tiff,20,17,0.0015945580796179345,0.0015931380055960842,0.5666666666666667,0.5666666666666667,0.6166666666666667
230.tiff,30,17,0.0015945580796179345,0.0015923912755635094,0.4111111111111111,0.4,0.45555555555555555
233.tiff,10,17,0.0016024130455273824,0.0016017335237540453,0.6333333333333333,0.6666666666666666,0.6666666666666666
233.tiff,20,17,0.0016024130455273824,0.0016009789501419847,0.4,0.4,0.4166666666666667
233.tiff,30,17,0.0016024130455273824,0.001600224850500779,0.3,0.32222222222222224,0.35555555555555557
235.tiff,10,21,0.0019323216137241965,0.0019315216957026648,0.3333333333333333,0.36666666666666664,0.3
235.tiff,20,21,0.0019323216137241965,0.0019306334156881876,0.18333333333333332,0.2,0.15
235.tiff,30,21,0.0019323216137241965,0.0019297456803505698,0.18888888888888888,0.18888888888888888,0.13333333333333333
242.tiff,10,26,0.002332924875106042,0.0023319831226488617,0.03333333333333333,0.06666666666666667,0.03333333333333333
242.tiff,20,26,0.002332924875106042,0.0023309373254789658,0.05,0.03333333333333333,0.03333333333333333
242.tiff,30,26,0.002332924875106042,0.002329892153637429,0.03333333333333333,0.022222222222222223,0.022222222222222223
245.tiff,10,89,0.007847110943538505,0.007843998224045056,0.06666666666666667,0.1,0.1
245.tiff,20,89,0.007847110943538505,0.007840541577519811,0.08333333333333333,0.11666666666666667,0.1
245.tiff,30,89,0.007847110943538505,0.007837086962001371,0.1,0.12222222222222222,0.1111111111111111
246.tiff,10,115,0.010109341125459515,0.010105342980162746,1.0,1.0,1.0
246.tiff,20,115,0.010109341125459515,0.010100903068999523,0.9166666666666666,0.8666666666666667,0.85
246.tiff,30,115,0.010109341125459515,0.010096465758811827,0.8333333333333334,0.8111111111111111,0.7333333333333333
249.tiff,10,111,0.009850127250447734,0.009846194734884506,0.7,0.6333333333333333,0.6
