tumor_type,budget,worst,best,roi_med_lo,roi_med_hi,cell_spread,max_click_spread,roi_gap
canine cutaneous mast cell tumor,25,0.06912442396313365,0.11666666666666667,0.088,0.1,0.048,0.033,0.012
canine cutaneous mast cell tumor,50,0.13333333333333333,0.23333333333333334,0.175,0.181,0.1,0.1,0.005
canine cutaneous mast cell tumor,100,0.2350230414746544,0.40555555555555556,0.278,0.327,0.171,0.167,0.049
canine cutaneous mast cell tumor,250,0.3888888888888889,0.6555555555555556,0.431,0.475,0.267,0.267,0.044
canine cutaneous mast cell tumor,500,0.5444444444444444,0.7649769585253456,0.586,0.627,0.221,0.207,0.041
canine cutaneous mast cell tumor,1000,0.6497695852534562,0.8709677419354839,0.739,0.756,0.221,0.221,0.017
canine cutaneous mast cell tumor,2000,0.7788018433179723,0.9447004608294931,0.834,0.847,0.166,0.166,0.013
canine cutaneous mast cell tumor,5000,0.9032258064516129,0.9769585253456221,0.928,0.94,0.074,0.074,0.012
canine lung cancer,25,0.17647058823529413,0.47058823529411764,0.235,0.471,0.294,0.176,0.235
canine lung cancer,50,0.29411764705882354,0.6470588235294118,0.471,0.529,0.353,0.353,0.059
canine lung cancer,100,0.35294117647058826,0.7058823529411765,0.588,0.588,0.353,0.353,0.0
canine lung cancer,250,0.5294117647058824,0.8235294117647058,0.676,0.706,0.294,0.294,0.029
canine lung cancer,500,0.6470588235294118,0.9411764705882353,0.765,0.824,0.294,0.294,0.059
canine lung cancer,1000,0.8235294117647058,1.0,0.824,0.853,0.176,0.176,0.029
canine lung cancer,2000,0.8823529411764706,1.0,0.941,1.0,0.118,0.118,0.059
canine lung cancer,5000,1.0,1.0,1.0,1.0,0.0,0.0,0.0
canine lymphosarcoma,25,0.0,0.2,0.034,0.191,0.2,0.09,0.158
canine lymphosarcoma,50,0.0,0.3130434782608696,0.09,0.287,0.313,0.146,0.197
canine lymphosarcoma,100,0.02247191011235955,0.45217391304347826,0.135,0.426,0.43,0.18,0.291
canine lymphosarcoma,250,0.07865168539325842,0.6521739130434783,0.18,0.617,0.574,0.213,0.438
canine lymphosarcoma,500,0.16853932584269662,0.7739130434782608,0.258,0.757,0.605,0.213,0.498
canine lymphosarcoma,1000,0.23595505617977527,0.8869565217391304,0.371,0.852,0.651,0.202,0.481
canine lymphosarcoma,2000,0.3595505617977528,0.9565217391304348,0.506,0.922,0.597,0.213,0.416
canine lymphosarcoma,5000,0.651685393258427,0.991304347826087,0.685,0.974,0.34,0.067,0.289
canine soft tissue sarcoma,25,0.09230769230769231,0.5142857142857142,0.138,0.371,0.422,0.343,0.233
canine soft tissue sarcoma,50,0.16923076923076924,0.5714285714285714,0.246,0.429,0.402,0.286,0.182
canine soft tissue sarcoma,100,0.2846153846153846,0.6285714285714286,0.408,0.514,0.344,0.177,0.107
canine soft tissue sarcoma,250,0.4153846153846154,0.7428571428571429,0.569,0.629,0.327,0.185,0.059
canine soft tissue sarcoma,500,0.5153846153846153,0.7714285714285715,0.662,0.743,0.256,0.192,0.081
canine soft tissue sarcoma,1000,0.6615384615384615,0.8285714285714286,0.754,0.8,0.167,0.146,0.046
canine soft tissue sarcoma,2000,0.7615384615384615,0.9142857142857143,0.8,0.857,0.153,0.086,0.057
canine soft tissue sarcoma,5000,0.8769230769230769,0.9714285714285714,0.9,0.943,0.095,0.069,0.043
human breast cancer,25,0.16049382716049382,0.47058823529411764,0.21,0.353,0.31,0.235,0.143
human breast cancer,50,0.29411764705882354,0.5882352941176471,0.383,0.471,0.294,0.294,0.088
human breast cancer,100,0.4567901234567901,0.7647058823529411,0.537,0.706,0.308,0.185,0.169
human breast cancer,250,0.5308641975308642,0.9411764705882353,0.66,0.941,0.41,0.294,0.281
human breast cancer,500,0.6790123456790124,1.0,0.784,1.0,0.321,0.185,0.216
human breast cancer,1000,0.8148148148148148,1.0,0.901,1.0,0.185,0.111,0.099
human breast cancer,2000,0.9629629629629629,1.0,0.963,1.0,0.037,0.012,0.037
human breast cancer,5000,1.0,1.0,1.0,1.0,0.0,0.0,0.0
human melanoma,25,0.058823529411764705,0.42105263157894735,0.08,0.289,0.362,0.263,0.21
human melanoma,50,0.13025210084033614,0.631578947368421,0.147,0.368,0.501,0.316,0.221
human melanoma,100,0.27310924369747897,0.631578947368421,0.277,0.526,0.358,0.263,0.249
human melanoma,250,0.5042016806722689,0.6842105263157895,0.58,0.632,0.18,0.109,0.052
human melanoma,500,0.6842105263157895,0.8109243697478992,0.777,0.789,0.127,0.105,0.012
human melanoma,1000,0.7894736842105263,0.9033613445378151,0.868,0.895,0.114,0.105,0.027
human melanoma,2000,0.8947368421052632,1.0,0.895,0.941,0.105,0.105,0.046
human melanoma,5000,0.9473684210526315,1.0,0.983,1.0,0.053,0.053,0.017
human neuroendocrine tumor,25,0.0673076923076923,0.18269230769230768,0.125,0.125,0.115,0.115,0.0
human neuroendocrine tumor,50,0.14423076923076922,0.3076923076923077,0.212,0.221,0.163,0.163,0.01
human neuroendocrine tumor,100,0.23076923076923078,0.4807692307692308,0.308,0.423,0.25,0.212,0.115
human neuroendocrine tumor,250,0.38461538461538464,0.7403846153846154,0.51,0.683,0.356,0.25,0.173
human neuroendocrine tumor,500,0.46153846153846156,0.875,0.625,0.837,0.413,0.308,0.212
human neuroendocrine tumor,1000,0.7115384615384616,0.9423076923076923,0.731,0.875,0.231,0.154,0.144
human neuroendocrine tumor,2000,0.8269230769230769,0.9807692307692307,0.856,0.962,0.154,0.096,0.106
human neuroendocrine tumor,5000,0.9711538461538461,1.0,0.981,0.99,0.029,0.019,0.01
