file_name,tumor_type,seed_index,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,axis,cutoff_rule,z_used,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@current,od,True,1.0,True,False,217,109,29010,0.9883,109,3,0.0,1.0,29.609,307.0,1612.0,3956.0,6640.0,11343.0,20899.0,chromatin_od,current,1.0,2000,2000,177,81,0.815668202764977
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@current,od,True,1.0,True,False,217,109,29010,0.9883,109,3,0.0,1.0,29.609,307.0,1612.0,3956.0,6640.0,11343.0,20899.0,chromatin_od,current,1.0,5000,5000,201,98,0.9262672811059908
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,25,25,19,1,0.08755760368663594
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,50,50,31,4,0.14285714285714285
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,100,100,52,11,0.23963133640552994
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,250,250,89,29,0.41013824884792627
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,500,500,134,47,0.6175115207373272
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,1000,1000,157,59,0.7235023041474654
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,2000,2000,181,86,0.8341013824884793
301.tiff,canine cutaneous mast cell tumor,1,tm_score@global,score,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,global,1.30788,5000,5000,207,97,0.9539170506912442
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,25,25,16,2,0.07373271889400922
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,50,50,26,3,0.11981566820276497
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,100,100,49,3,0.22580645161290322
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,250,250,97,18,0.4470046082949309
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,500,500,134,32,0.6175115207373272
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,1000,1000,155,51,0.7142857142857143
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,2000,2000,178,82,0.8202764976958525
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@global,od,True,1.30788,True,False,217,109,26330,0.9738,109,2,0.0,1.0,29.609,305.0,1584.0,3859.0,6446.0,10915.0,19697.0,chromatin_od,global,1.30788,5000,5000,203,98,0.9354838709677419
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,25,25,19,1,0.08755760368663594
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,50,50,31,4,0.14285714285714285
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,100,100,52,11,0.23963133640552994
