rank_key,subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
chromatin_od,testing_35,canine lymphosarcoma,249.tiff,mass_only - fill_alpha_1,30,0,0,0,0
chromatin_od,testing_35,canine lymphosarcoma,284.tiff,mass_only - fill_alpha_1,10,0,1,1,2
chromatin_od,testing_35,canine lymphosarcoma,284.tiff,mass_only - fill_alpha_1,20,0,0,0,0
chromatin_od,testing_35,canine lymphosarcoma,284.tiff,mass_only - fill_alpha_1,30,-1,0,-1,-2
chromatin_od,testing_35,canine lymphosarcoma,289.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,canine lymphosarcoma,289.tiff,mass_only - fill_alpha_1,20,-1,-2,-1,-4
chromatin_od,testing_35,canine lymphosarcoma,289.tiff,mass_only - fill_alpha_1,30,-1,-3,0,-4
chromatin_od,testing_35,canine lymphosarcoma,291.tiff,mass_only - fill_alpha_1,10,0,-1,-1,-2
chromatin_od,testing_35,canine lymphosarcoma,291.tiff,mass_only - fill_alpha_1,20,0,-1,-1,-2
chromatin_od,testing_35,canine lymphosarcoma,291.tiff,mass_only - fill_alpha_1,30,-4,0,1,-3
chromatin_od,testing_35,canine lymphosarcoma,293.tiff,mass_only - fill_alpha_1,10,-2,-2,-3,-7
chromatin_od,testing_35,canine lymphosarcoma,293.tiff,mass_only - fill_alpha_1,20,-4,-8,-4,-16
chromatin_od,testing_35,canine lymphosarcoma,293.tiff,mass_only - fill_alpha_1,30,-3,-10,-3,-16
chromatin_od,original_14,canine soft tissue sarcoma,459.tiff,mass_only - fill_alpha_1,10,0,0,-1,-1
chromatin_od,original_14,canine soft tissue sarcoma,459.tiff,mass_only - fill_alpha_1,20,0,-1,1,0
chromatin_od,original_14,canine soft tissue sarcoma,459.tiff,mass_only - fill_alpha_1,30,0,0,1,1
chromatin_od,original_14,canine soft tissue sarcoma,460.tiff,mass_only - fill_alpha_1,10,1,0,0,1
chromatin_od,original_14,canine soft tissue sarcoma,460.tiff,mass_only - fill_alpha_1,20,0,1,0,1
chromatin_od,original_14,canine soft tissue sarcoma,460.tiff,mass_only - fill_alpha_1,30,-2,2,1,1
chromatin_od,testing_35,canine soft tissue sarcoma,410.tiff,mass_only - fill_alpha_1,10,0,-1,2,1
chromatin_od,testing_35,canine soft tissue sarcoma,410.tiff,mass_only - fill_alpha_1,20,1,0,0,1
chromatin_od,testing_35,canine soft tissue sarcoma,410.tiff,mass_only - fill_alpha_1,30,1,0,0,1
chromatin_od,testing_35,canine soft tissue sarcoma,425.tiff,mass_only - fill_alpha_1,10,0,-3,0,-3
chromatin_od,testing_35,canine soft tissue sarcoma,425.tiff,mass_only - fill_alpha_1,20,-5,-6,2,-9
chromatin_od,testing_35,canine soft tissue sarcoma,425.tiff,mass_only - fill_alpha_1,30,-5,-6,2,-9
chromatin_od,testing_35,canine soft tissue sarcoma,435.tiff,mass_only - fill_alpha_1,10,-1,-1,0,-2
chromatin_od,testing_35,canine soft tissue sarcoma,435.tiff,mass_only - fill_alpha_1,20,0,0,1,1
chromatin_od,testing_35,canine soft tissue sarcoma,435.tiff,mass_only - fill_alpha_1,30,-2,0,1,-1
chromatin_od,testing_35,canine soft tissue sarcoma,462.tiff,mass_only - fill_alpha_1,10,1,0,0,1
chromatin_od,testing_35,canine soft tissue sarcoma,462.tiff,mass_only - fill_alpha_1,20,0,-1,0,-1
chromatin_od,testing_35,canine soft tissue sarcoma,462.tiff,mass_only - fill_alpha_1,30,0,0,0,0
chromatin_od,testing_35,canine soft tissue sarcoma,499.tiff,mass_only - fill_alpha_1,10,0,0,-1,-1
chromatin_od,testing_35,canine soft tissue sarcoma,499.tiff,mass_only - fill_alpha_1,20,0,1,1,2
chromatin_od,testing_35,canine soft tissue sarcoma,499.tiff,mass_only - fill_alpha_1,30,0,1,0,1
chromatin_od,original_14,human breast cancer,013.tiff,mass_only - fill_alpha_1,10,0,0,-1,-1
chromatin_od,original_14,human breast cancer,013.tiff,mass_only - fill_alpha_1,20,-1,1,1,1
chromatin_od,original_14,human breast cancer,013.tiff,mass_only - fill_alpha_1,30,-1,1,2,2
chromatin_od,original_14,human breast cancer,094.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,original_14,human breast cancer,094.tiff,mass_only - fill_alpha_1,20,0,-1,0,-1
chromatin_od,original_14,human breast cancer,094.tiff,mass_only - fill_alpha_1,30,0,1,0,1
chromatin_od,testing_35,human breast cancer,007.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human breast cancer,007.tiff,mass_only - fill_alpha_1,20,0,0,0,0
chromatin_od,testing_35,human breast cancer,007.tiff,mass_only - fill_alpha_1,30,0,0,0,0
chromatin_od,testing_35,human breast cancer,072.tiff,mass_only - fill_alpha_1,10,0,-1,0,-1
chromatin_od,testing_35,human breast cancer,072.tiff,mass_only - fill_alpha_1,20,0,1,0,1
chromatin_od,testing_35,human breast cancer,072.tiff,mass_only - fill_alpha_1,30,-2,2,-1,-1
chromatin_od,testing_35,human breast cancer,100.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human breast cancer,100.tiff,mass_only - fill_alpha_1,20,-1,0,0,-1
chromatin_od,testing_35,human breast cancer,100.tiff,mass_only - fill_alpha_1,30,0,0,-1,-1
chromatin_od,testing_35,human breast cancer,123.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human breast cancer,123.tiff,mass_only - fill_alpha_1,20,1,0,1,2
chromatin_od,testing_35,human breast cancer,123.tiff,mass_only - fill_alpha_1,30,1,-1,1,1
chromatin_od,testing_35,human breast cancer,128.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human breast cancer,128.tiff,mass_only - fill_alpha_1,20,-1,3,1,3
chromatin_od,testing_35,human breast cancer,128.tiff,mass_only - fill_alpha_1,30,-2,5,1,4
chromatin_od,original_14,human melanoma,529.tiff,mass_only - fill_alpha_1,10,1,0,0,1
chromatin_od,original_14,human melanoma,529.tiff,mass_only - fill_alpha_1,20,1,0,1,2
chromatin_od,original_14,human melanoma,529.tiff,mass_only - fill_alpha_1,30,0,0,0,0
chromatin_od,original_14,human melanoma,548.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,original_14,human melanoma,548.tiff,mass_only - fill_alpha_1,20,1,1,2,4
chromatin_od,original_14,human melanoma,548.tiff,mass_only - fill_alpha_1,30,3,2,3,8
chromatin_od,testing_35,human melanoma,509.tiff,mass_only - fill_alpha_1,10,2,1,0,3
chromatin_od,testing_35,human melanoma,509.tiff,mass_only - fill_alpha_1,20,1,2,1,4
chromatin_od,testing_35,human melanoma,509.tiff,mass_only - fill_alpha_1,30,1,-2,2,1
chromatin_od,testing_35,human melanoma,524.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human melanoma,524.tiff,mass_only - fill_alpha_1,20,-1,0,-1,-2
chromatin_od,testing_35,human melanoma,524.tiff,mass_only - fill_alpha_1,30,-1,0,-1,-2
chromatin_od,testing_35,human melanoma,527.tiff,mass_only - fill_alpha_1,10,-1,1,-1,-1
chromatin_od,testing_35,human melanoma,527.tiff,mass_only - fill_alpha_1,20,0,-1,-2,-3
chromatin_od,testing_35,human melanoma,527.tiff,mass_only - fill_alpha_1,30,0,-1,-3,-4
chromatin_od,testing_35,human melanoma,546.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human melanoma,546.tiff,mass_only - fill_alpha_1,20,0,-1,0,-1
chromatin_od,testing_35,human melanoma,546.tiff,mass_only - fill_alpha_1,30,0,-1,1,0
chromatin_od,testing_35,human melanoma,549.tiff,mass_only - fill_alpha_1,10,1,-1,-1,-1
chromatin_od,testing_35,human melanoma,549.tiff,mass_only - fill_alpha_1,20,0,-3,-2,-5
