file_name,seed_index,n_peaks_uncapped,n_peaks_in_csv,cap_binds,n_detections_recomputed,n_detections_in_csv,seed_ann_id_recomputed,seed_ann_id_in_csv,base_size_recomputed,base_size_in_csv,map_median_recomputed,map_median_in_csv,elapsed_s
301.tiff,1,45816,100,True,100,100,14742,14742,23,23,-0.01422,-0.01422,3.3
013.tiff,0,56733,100,True,97,97,254,254,31,31,-0.00395,-0.00395,4.0
