file_name,budget,capped_tm_tp,unbounded_tm_tp,equal
013.tiff,10,3,3,True
013.tiff,20,4,4,True
013.tiff,30,6,6,True
094.tiff,10,4,4,True
094.tiff,20,10,10,True
094.tiff,30,16,16,True
201.tiff,10,3,3,True
201.tiff,20,5,5,True
201.tiff,30,6,6,True
233.tiff,10,3,3,True
233.tiff,20,5,5,True
233.tiff,30,8,8,True
245.tiff,10,1,1,True
245.tiff,20,2,2,True
245.tiff,30,3,3,True
246.tiff,10,10,10,True
246.tiff,20,18,18,True
246.tiff,30,24,24,True
300.tiff,10,7,7,True
300.tiff,20,14,14,True
300.tiff,30,20,20,True
301.tiff,10,9,9,True
301.tiff,20,18,18,True
301.tiff,30,24,24,True
402.tiff,10,4,4,True
402.tiff,20,9,9,True
402.tiff,30,14,14,True
403.tiff,10,5,5,True
403.tiff,20,7,7,True
403.tiff,30,8,8,True
459.tiff,10,6,6,True
459.tiff,20,11,11,True
459.tiff,30,19,19,True
460.tiff,10,7,7,True
460.tiff,20,10,10,True
460.tiff,30,12,12,True
529.tiff,10,3,3,True
529.tiff,20,4,4,True
529.tiff,30,4,4,True
548.tiff,10,5,5,True
548.tiff,20,10,10,True
548.tiff,30,16,16,True
