file_name,n_mit,match_r,median_px,q90_px,frac_over_20px
301.tiff,217,29.6,6.1,18.0,0.074
201.tiff,17,30.2,3.0,5.2,0.0
246.tiff,115,30.2,4.5,11.7,0.009
459.tiff,130,30.2,5.4,9.5,0.008
094.tiff,81,32.6,5.1,12.2,0.012
548.tiff,238,33.0,5.4,12.1,0.025
402.tiff,104,33.1,4.1,9.2,0.0
