arm,K,pooled_precision,vs_tm_mean,vs_tm_lo,vs_tm_hi,vs_tm_p,vs_od51_mean,vs_od51_lo,vs_od51_hi,vs_od51_p
chromatin_od,10,0.6214285714285714,0.12142857142857144,0.022250582257307763,0.22060656059983513,0.020201163080910942,0.0,0.0,0.0,
chromatin_od,20,0.6107142857142858,0.15714285714285717,0.08301374760768321,0.23127196667803113,0.0005164547475705867,0.0,0.0,0.0,
chromatin_od,30,0.5595238095238095,0.13095238095238096,0.0806148885701472,0.18128987333461472,8.337139329733633e-05,0.0,0.0,0.0,
chromatin_od,50,0.48857142857142855,0.11428571428571431,0.06396520609149811,0.1646062224799305,0.0002867434005076939,0.0,0.0,0.0,
od31,10,0.5642857142857143,0.0642857142857143,-0.038519717737366774,0.16709114630879535,0.1997694986228301,-0.05714285714285715,-0.14401424581133382,0.029728531525619536,0.17884018397715276
od31,20,0.55,0.09642857142857142,0.015989093889476017,0.17686804896766684,0.022436367477147223,-0.06071428571428571,-0.125938073641978,0.004509502213406583,0.06553527075610864
od31,30,0.5238095238095238,0.0952380952380952,0.02210405243313049,0.16837213804305992,0.014651316128125279,-0.03571428571428574,-0.09771873865838696,0.026290167229815475,0.23533449142420562
od31,50,0.4657142857142857,0.09142857142857144,0.04125387782137301,0.14160326503576987,0.0017040009762366894,-0.022857142857142854,-0.07603756787568314,0.030323282161397423,0.37005074615302525
od_falloff,10,0.34285714285714286,-0.1571428571428571,-0.3016470942634887,-0.012638620022225516,0.03527084233717042,-0.2785714285714286,-0.458579538699512,-0.09856331844334515,0.005288636516780132
od_falloff,20,0.3464285714285714,-0.10714285714285714,-0.20379539097830446,-0.010490323307409816,0.03239589859421376,-0.2642857142857143,-0.39409987491594745,-0.1344715536554811,0.0007199834518447017
od_falloff,30,0.3333333333333333,-0.09523809523809526,-0.1984288452087379,0.007952654732547387,0.06757723764329408,-0.22619047619047622,-0.34171109138020006,-0.1106698610007524,0.000983042580605027
od_falloff,50,0.3142857142857143,-0.060000000000000005,-0.16397824306801287,0.04397824306801285,0.23452928214091484,-0.1742857142857143,-0.2988579128794189,-0.04971351569200974,0.009804970289629436
mask_od_mean,10,0.40714285714285714,-0.09285714285714287,-0.28828262205399896,0.10256833633971323,0.32337472069835793,-0.21428571428571433,-0.3880284916226677,-0.04054293694876096,0.019467423977831234
mask_od_mean,20,0.4,-0.05357142857142857,-0.18872582530662552,0.08158296816376837,0.40733397732377163,-0.21071428571428566,-0.3327649624712321,-0.08866360895733924,0.0025228116072603525
mask_od_mean,30,0.4119047619047619,-0.016666666666666673,-0.12174345071950107,0.08841011738616772,0.737327655379168,-0.1476190476190476,-0.23620715303900347,-0.05903094219909173,0.0032322510262853036
mask_od_mean,50,0.3842857142857143,0.01,-0.060859570801141134,0.08085957080114113,0.7652835462676753,-0.10428571428571429,-0.1892856565965902,-0.01928577197483837,0.019991277778505862
od_contrast,10,0.6357142857142857,0.13571428571428573,0.021113463446982644,0.25031510798158885,0.02381181857785788,0.014285714285714292,-0.08141455461392377,0.10998598318535235,0.7522089872436561
od_contrast,20,0.6178571428571429,0.16428571428571428,0.07553693591655472,0.2530344926548739,0.0015145647219137468,0.00714285714285713,-0.033459328317328944,0.04774504260304321,0.7100388684917889
od_contrast,30,0.55,0.12142857142857141,0.06564444404900027,0.17721269880814255,0.00041327232315679663,-0.009523809523809516,-0.042797912093892776,0.02375029304627374,0.5470282358545153
od_contrast,50,0.4828571428571429,0.10857142857142857,0.06005979269425679,0.15708306444860035,0.0003257633352202967,-0.005714285714285718,-0.04003854498341553,0.028609973554844095,0.7248786191660872
