file_name,domain,arm,n_gt_mitotic,n_detections,precision_at_10_old,precision_at_20_old,precision_at_30_old,precision_at_50_old,precision_at_10_new,precision_at_20_new,precision_at_30_new,precision_at_50_new,delta_precision_at_10,delta_precision_at_20,delta_precision_at_30,delta_precision_at_50
300.tiff,canine cutaneous mast cell tumor,tm_score,180,17940,0.7,0.75,0.6667,0.66,0.7,0.7,0.6667,0.64,0.0,-0.05,0.0,-0.02
300.tiff,canine cutaneous mast cell tumor,chromatin_od,180,17940,0.9,0.9,0.9,0.92,0.9,0.9,0.9,0.86,0.0,0.0,0.0,-0.06
300.tiff,canine cutaneous mast cell tumor,od31,180,17940,1.0,0.95,0.9333,0.92,1.0,0.95,0.9333,0.92,0.0,0.0,0.0,0.0
300.tiff,canine cutaneous mast cell tumor,od_falloff,180,17940,1.0,0.95,0.9,0.88,1.0,0.95,0.9,0.88,0.0,0.0,0.0,0.0
300.tiff,canine cutaneous mast cell tumor,mask_od_mean,180,17940,1.0,0.9,0.9,0.88,0.9,0.85,0.8667,0.84,-0.1,-0.05,-0.0333,-0.04
300.tiff,canine cutaneous mast cell tumor,od_contrast,180,17940,0.9,0.9,0.8667,0.86,0.9,0.9,0.8667,0.88,0.0,0.0,0.0,0.02
301.tiff,canine cutaneous mast cell tumor,tm_score,217,17710,0.9,0.8,0.7333,0.64,0.9,0.9,0.8,0.74,0.0,0.1,0.0667,0.1
301.tiff,canine cutaneous mast cell tumor,chromatin_od,217,17710,0.5,0.7,0.8,0.8,0.6,0.75,0.8333,0.82,0.1,0.05,0.0333,0.02
301.tiff,canine cutaneous mast cell tumor,od31,217,17710,0.6,0.8,0.8333,0.86,0.6,0.8,0.8333,0.86,0.0,0.0,0.0,0.0
301.tiff,canine cutaneous mast cell tumor,od_falloff,217,17710,1.0,0.9,0.9,0.88,1.0,0.9,0.9,0.88,0.0,0.0,0.0,0.0
301.tiff,canine cutaneous mast cell tumor,mask_od_mean,217,17710,0.4,0.6,0.6667,0.66,0.4,0.55,0.6333,0.64,0.0,-0.05,-0.0334,-0.02
