file_name,chromatin_od,tm_score,budget
013.tiff,0.0069999999999999975,0.016999999999999994,10
094.tiff,0.0,0.011999999999999997,10
201.tiff,0.0,0.0019999999999999987,10
233.tiff,0.0019999999999999996,0.038,10
245.tiff,0.023,0.05499999999999999,10
246.tiff,0.0,0.007999999999999993,10
300.tiff,0.0030000000000000005,0.017000000000000015,10
301.tiff,0.0019999999999999996,0.006999999999999996,10
402.tiff,0.0050000000000000044,0.014999999999999989,10
403.tiff,0.0049999999999999975,0.016999999999999998,10
459.tiff,0.002999999999999998,0.03200000000000001,10
460.tiff,0.005000000000000002,0.07200000000000001,10
529.tiff,0.019999999999999997,0.06,10
548.tiff,0.002999999999999996,0.017,10
013.tiff,0.007000000000000003,0.0029999999999999983,20
094.tiff,0.0007500000000000007,0.010500000000000002,20
201.tiff,0.003000000000000004,0.004500000000000001,20
233.tiff,0.0,0.005,20
245.tiff,0.014499999999999999,0.030000000000000006,20
246.tiff,0.00925,0.005749999999999999,20
300.tiff,0.0007499999999999974,0.007000000000000012,20
301.tiff,0.0032499999999999972,0.0017499999999999985,20
402.tiff,0.00675,0.01925,20
403.tiff,0.0017499999999999994,0.0007499999999999989,20
459.tiff,0.003,0.03549999999999999,20
460.tiff,0.017000000000000008,0.04825,20
529.tiff,0.013000000000000006,0.015749999999999997,20
548.tiff,0.001249999999999998,0.024499999999999994,20
013.tiff,0.00188888888888889,0.003666666666666667,30
094.tiff,0.000222222222222221,0.011333333333333329,30
201.tiff,0.0007777777777777789,0.0025555555555555566,30
233.tiff,0.00022222222222222204,0.0003333333333333343,30
245.tiff,0.012444444444444449,0.014777777777777775,30
246.tiff,0.004444444444444449,0.011444444444444452,30
300.tiff,0.0020000000000000026,0.010555555555555554,30
301.tiff,0.002555555555555556,0.0007777777777777791,30
402.tiff,0.007222222222222219,0.01633333333333334,30
403.tiff,0.0007777777777777775,0.00577777777777778,30
459.tiff,0.00366666666666666,0.03300000000000002,30
460.tiff,0.007777777777777774,0.021444444444444447,30
529.tiff,0.007777777777777782,0.014666666666666665,30
548.tiff,0.0005555555555555562,0.015333333333333345,30
