subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,default_51,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,4,22,270970a472f29471b5c475feec5a0e3cf3e118a2,100,98,1,0,,0,True,4.037,8,13,15,30.0,0.8,0.65,0.5
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,hem_rect_fill,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,4,22,666973bded1fad7844877c0bb35f4ee09e521369,100,99,1,0,,0,True,4.251,8,14,16,30.0,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,hem_rect_fill_1um,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,4,22,bc11ca9e9cc3d238f0af97c3c36fe982ac564d35,100,98,1,0,,0,True,6.396,8,14,16,,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,default_51,16265,1155.0,2592.0,0.2533008895448562,29.609055118110238,4,22,b50d97a204611772e6fcbd5dda16f08406a02e91,100,99,1,0,,0,True,5.538,8,14,15,30.0,0.8,0.7,0.5
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,hem_rect_fill,16265,1155.0,2592.0,0.2533008895448562,29.609055118110238,4,22,6161efce771a77bf44e5ff8a2e2bad44eb110175,100,99,1,0,,0,True,5.568,8,14,16,30.0,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,hem_rect_fill_1um,16265,1155.0,2592.0,0.2533008895448562,29.609055118110238,4,22,341d2c7cf4aeb70ae9a7a29957a1b1ecddbea4c1,100,99,1,0,,0,True,4.623,8,14,15,,0.8,0.7,0.5
testing_35,canine cutaneous mast cell tumor,337.tiff,337,0,default_51,17124,5800.0,1938.0,0.2533008895448562,29.609055118110238,4,29,e0a54924c6e475d75dfa8f644a8b0866d76cf759,100,99,1,0,,0,True,6.876,8,11,12,30.0,0.8,0.55,0.4
testing_35,canine cutaneous mast cell tumor,337.tiff,337,0,hem_rect_fill,17124,5800.0,1938.0,0.2533008895448562,29.609055118110238,4,29,1e5b43386b6c38805bc33724e331ba01b439927d,100,99,1,0,,0,True,7.448,8,11,13,30.0,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,337.tiff,337,0,hem_rect_fill_1um,17124,5800.0,1938.0,0.2533008895448562,29.609055118110238,4,29,f586f24d98a60591130f27e81820862f804178d9,100,98,1,0,,0,True,8.259,8,11,14,,0.8,0.55,0.4666666666666667
testing_35,canine cutaneous mast cell tumor,337.tiff,337,1,default_51,17129,1345.0,3796.0,0.2533008895448562,29.609055118110238,4,29,762dbb4ecf240b07be6ff242198f7a8622abb274,100,99,1,0,,0,True,8.517,8,11,13,30.0,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,337.tiff,337,1,hem_rect_fill,17129,1345.0,3796.0,0.2533008895448562,29.609055118110238,4,29,4bf2f606df3c5d7045e909c0937547ebe732eb6c,100,100,0,0,,0,True,8.62,8,11,12,30.0,0.8,0.55,0.4
testing_35,canine cutaneous mast cell tumor,337.tiff,337,1,hem_rect_fill_1um,17129,1345.0,3796.0,0.2533008895448562,29.609055118110238,4,29,39261dd94b483a0b596c8cd733b0d2d447477f29,100,100,0,0,,0,True,7.172,8,11,12,,0.8,0.55,0.4
