seed_index,budget,arm,pooled_recomputed,pooled_notebook,abs_diff
0,10,tm_score,0.5,0.5,0.0
0,10,chromatin_od,0.6642857142857143,0.6642857142857143,0.0
0,20,tm_score,0.45357142857142857,0.4535714285714285,5.551115123125783e-17
0,20,chromatin_od,0.5964285714285714,0.5964285714285714,0.0
0,30,tm_score,0.42857142857142855,0.4285714285714285,5.551115123125783e-17
0,30,chromatin_od,0.5357142857142857,0.5357142857142857,0.0
1,10,tm_score,0.55,0.55,0.0
1,10,chromatin_od,0.6714285714285714,0.6714285714285714,0.0
1,20,tm_score,0.5142857142857142,0.5142857142857142,0.0
1,20,chromatin_od,0.6107142857142858,0.6107142857142858,0.0
1,30,tm_score,0.47619047619047616,0.4761904761904761,5.551115123125783e-17
1,30,chromatin_od,0.5666666666666667,0.5666666666666667,0.0
2,10,tm_score,0.5714285714285714,0.5714285714285714,0.0
2,10,chromatin_od,0.6857142857142857,0.6857142857142857,0.0
2,20,tm_score,0.5107142857142857,0.5107142857142857,0.0
2,20,chromatin_od,0.6214285714285714,0.6214285714285714,0.0
2,30,tm_score,0.45714285714285713,0.4571428571428571,5.551115123125783e-17
2,30,chromatin_od,0.5547619047619048,0.5547619047619048,0.0
3,10,tm_score,0.6714285714285714,0.6714285714285714,0.0
3,10,chromatin_od,0.6571428571428571,0.6571428571428571,0.0
3,20,tm_score,0.5642857142857143,0.5642857142857143,0.0
3,20,chromatin_od,0.6035714285714285,0.6035714285714285,0.0
3,30,tm_score,0.5238095238095238,0.5238095238095238,0.0
3,30,chromatin_od,0.5619047619047619,0.5619047619047619,0.0
4,10,tm_score,0.6,0.6,0.0
4,10,chromatin_od,0.6928571428571428,0.6928571428571428,0.0
4,20,tm_score,0.5464285714285714,0.5464285714285714,0.0
4,20,chromatin_od,0.5857142857142857,0.5857142857142857,0.0
4,30,tm_score,0.5047619047619047,0.5047619047619047,0.0
4,30,chromatin_od,0.5357142857142857,0.5357142857142857,0.0
