file_name,image_id,tumor_type,seed_index,seed_ann_id,arm_tag,arm,axis,z,roi_h,roi_w,pad_px,match_radius_px,map_median,mad_scale,deep_floor,z_cut,n_peaks_deep,n_pool,n_detections,n_gt_mitotic,n_found,n_gained_vs_pad_off,n_lost_vs_pad_off,n_gained_in_band,n_lost_in_band,gained_ann_ids,gained_edge_dists_px,lost_ann_ids,lost_edge_dists_px,n_band_candidates_pool,n_band_candidates_h,n_within_match_radius,n_dup_fp,dup_fp_frac,band_in_top50,margin_tp_density_k50,band_in_top250,margin_tp_density_k250,band_in_top1000,margin_tp_density_k1000,interior_lost_prenms,interior_gained_prenms,interior_lost_total_h,interior_lost_dilation_h,interior_lost_postnms_z
013.tiff,13,human breast cancer,0,254,pad_off,tm_score@pad_off,tm_score,1.0,5412,7215,25,33.139,-0.043116,0.240649,-0.40409,0.197532,35964,16107,9921,17,17,0,0,0,0,,,,,0,0,35,3,0.000302,0,1,0,0,0,0,258,2,85,72,13
013.tiff,13,human breast cancer,0,254,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5412,7215,25,33.139,-0.043006,0.240572,-0.403863,0.197566,36626,15963,9844,17,17,0,0,0,0,,,,,0,0,35,3,0.000305,0,1,0,0,0,0,258,2,85,72,13
013.tiff,13,human breast cancer,0,254,pad_on,tm_score@pad_on,tm_score,1.0,5412,7215,25,33.139,-0.043006,0.240572,-0.403863,0.197566,36626,16408,10108,17,17,0,0,0,0,,,,,445,264,35,3,0.000297,3,1,5,0,14,0,258,2,85,72,13
013.tiff,13,human breast cancer,0,254,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5412,7215,25,33.139,-0.043116,0.240649,-0.40409,0.197532,35964,16107,9921,17,17,0,0,0,0,,,,,0,0,35,3,0.000302,0,2,0,0,0,0,258,2,85,72,13
013.tiff,13,human breast cancer,0,254,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5412,7215,25,33.139,-0.043006,0.240572,-0.403863,0.197566,36626,15963,9844,17,17,0,0,0,0,,,,,0,0,35,3,0.000305,0,2,0,0,0,0,258,2,85,72,13
013.tiff,13,human breast cancer,0,254,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5412,7215,25,33.139,-0.043006,0.240572,-0.403863,0.197566,36626,16408,10108,17,17,0,0,0,0,,,,,445,264,35,3,0.000297,3,2,8,0,23,0,258,2,85,72,13
013.tiff,13,human breast cancer,1,243,pad_off,tm_score@pad_off,tm_score,1.0,5412,7215,25,33.139,-0.029306,0.190286,-0.314735,0.160979,42253,16098,11019,17,17,0,0,0,0,,,,,0,0,44,12,0.001089,0,4,0,0,0,0,302,3,121,83,38
013.tiff,13,human breast cancer,1,243,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5412,7215,25,33.139,-0.029256,0.190341,-0.314768,0.161086,42985,15935,10915,17,16,0,1,0,0,,,262,34.0,0,0,43,12,0.001099,0,4,0,0,0,0,302,3,121,83,38
013.tiff,13,human breast cancer,1,243,pad_on,tm_score@pad_on,tm_score,1.0,5412,7215,25,33.139,-0.029256,0.190341,-0.314768,0.161086,42985,16363,11187,17,17,0,0,0,0,,,,,428,272,44,12,0.001073,2,4,12,0,27,0,302,3,121,83,38
013.tiff,13,human breast cancer,1,243,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5412,7215,25,33.139,-0.029306,0.190286,-0.314735,0.160979,42253,16098,11019,17,17,0,0,0,0,,,,,0,0,44,12,0.001089,0,3,0,0,0,0,302,3,121,83,38
