subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,337.tiff,337,2,default_51,17118,5688.0,3403.0,0.2533008895448562,29.609055118110238,29,2bcfdb350d19012a13d821c9fbaec76f88bd57b0,100,99,1,0,,0,True,1.88,8,11,13,30.0,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,337.tiff,337,2,hem_rect_fill,17118,5688.0,3403.0,0.2533008895448562,29.609055118110238,29,f639dd346001779587d679b6dea38f8b9f45bb2f,100,99,1,0,,0,True,1.648,8,11,13,,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,339.tiff,339,0,default_51,17152,587.0,1289.0,0.2533008895448562,29.609055118110238,14,16ad063e052f9384fcfe7853f9ae7193697ef1ce,100,98,1,0,,0,True,1.716,4,5,7,30.0,0.4,0.25,0.23333333333333334
testing_35,canine cutaneous mast cell tumor,339.tiff,339,0,hem_rect_fill,17152,587.0,1289.0,0.2533008895448562,29.609055118110238,14,3654e1ea061efa92eaae0fad9414bcb2dbefa797,100,98,1,0,,0,True,1.738,4,5,7,,0.4,0.25,0.23333333333333334
testing_35,canine cutaneous mast cell tumor,339.tiff,339,1,default_51,17149,1659.0,41.0,0.2533008895448562,29.609055118110238,14,38beb41eb8ec6e2a146b623b80157d7ed89ed0f0,100,99,1,0,,0,True,1.836,4,5,5,30.0,0.4,0.25,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,339.tiff,339,1,hem_rect_fill,17149,1659.0,41.0,0.2533008895448562,29.609055118110238,14,f496b3496fb602287a408ebdafb57e77346f1318,100,99,1,0,,0,True,1.739,5,5,5,,0.5,0.25,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,339.tiff,339,2,default_51,17151,4409.0,140.0,0.2533008895448562,29.609055118110238,14,d0b63c871f08a1d8deded9e96de17d1e1e7bcd10,100,98,1,0,,0,True,1.723,5,6,6,30.0,0.5,0.3,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,339,2,hem_rect_fill,17151,4409.0,140.0,0.2533008895448562,29.609055118110238,14,fafa6f80857d1eeae39318b58d7ac6d7a58dd7bc,100,98,1,0,,0,True,1.715,5,6,6,,0.5,0.3,0.2
testing_35,canine cutaneous mast cell tumor,343.tiff,343,0,default_51,17382,5675.0,4651.0,0.2533008895448562,29.609055118110238,36,b774afe99b8c4f96ce18b56d8dea55e11395d6f6,100,95,1,0,,0,True,1.804,6,9,9,30.0,0.6,0.45,0.3
testing_35,canine cutaneous mast cell tumor,343.tiff,343,0,hem_rect_fill,17382,5675.0,4651.0,0.2533008895448562,29.609055118110238,36,993e97288ccf2160805601bc0b5841397c59ef86,100,99,0,0,,0,True,1.95,7,7,11,,0.7,0.35,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,343.tiff,343,1,default_51,17363,489.0,4565.0,0.2533008895448562,29.609055118110238,36,6ece88324204eb4bf947a1e6e2d193312caddd58,100,99,1,0,,0,True,1.809,7,8,11,30.0,0.7,0.4,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,343.tiff,343,1,hem_rect_fill,17363,489.0,4565.0,0.2533008895448562,29.609055118110238,36,4b502ac39ae5424bf6558e46548c6ab9216126d7,100,99,0,0,,0,True,1.871,7,8,9,,0.7,0.4,0.3
testing_35,canine cutaneous mast cell tumor,343.tiff,343,2,default_51,17368,2083.0,2749.0,0.2533008895448562,29.609055118110238,36,74ac1062665f7ba02c13de668f7facc9a3d70f60,100,99,1,0,,0,True,1.874,8,9,12,30.0,0.8,0.45,0.4
testing_35,canine cutaneous mast cell tumor,343.tiff,343,2,hem_rect_fill,17368,2083.0,2749.0,0.2533008895448562,29.609055118110238,36,fc0718adae5b0c252a278153541986a2c2a360e3,100,99,1,0,,0,True,1.897,8,9,12,,0.8,0.45,0.4
testing_35,canine cutaneous mast cell tumor,344.tiff,344,0,default_51,17457,1797.0,3481.0,0.2533008895448562,29.609055118110238,43,8a5236e8821278f3c63e7cfc2a07b82597ed3e28,100,99,1,0,,0,True,1.96,6,12,19,30.0,0.6,0.6,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,0,hem_rect_fill,17457,1797.0,3481.0,0.2533008895448562,29.609055118110238,43,b78a85bb02ac6cca3d2712c126f393a262a3572b,100,99,1,0,,0,True,2.199,6,12,19,,0.6,0.6,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,1,default_51,17469,4351.0,1782.0,0.2533008895448562,29.609055118110238,43,90f14f7f33a951d6bb335b2f8cf871a54ded930e,100,98,1,0,,0,True,2.027,6,15,20,30.0,0.6,0.75,0.6666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,344,1,hem_rect_fill,17469,4351.0,1782.0,0.2533008895448562,29.609055118110238,43,8436d17061392762f6f872bb7b78044a0d6916e5,100,99,1,0,,0,True,2.012,6,14,19,,0.6,0.7,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,2,default_51,17460,2486.0,4123.0,0.2533008895448562,29.609055118110238,43,44e5c3f4a0cbdac0ce2bcf54b904482c38e0091c,100,98,1,0,,0,True,1.981,6,14,20,30.0,0.6,0.7,0.6666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,344,2,hem_rect_fill,17460,2486.0,4123.0,0.2533008895448562,29.609055118110238,43,abf9196e1fddf483ac347bd6e17845d683908e22,100,98,1,0,,0,True,2.036,6,14,20,,0.6,0.7,0.6666666666666666
original_14,canine lung cancer,201.tiff,201,0,default_51,4457,4097.0,1978.0,0.24816562612969095,30.221751968503938,17,dc31b3172070f5ffdc292ab322a31903f7836050,100,98,1,0,,0,True,2.702,4,8,9,30.0,0.4,0.4,0.3
original_14,canine lung cancer,201.tiff,201,0,hem_rect_fill,4457,4097.0,1978.0,0.24816562612969095,30.221751968503938,17,e1b4d97ec6fd2dbad95b97e2f9e2c95292f64f6a,100,97,1,0,,0,True,2.298,3,7,9,,0.3,0.35,0.3
original_14,canine lung cancer,201.tiff,201,1,default_51,4469,6265.0,3299.0,0.24816562612969095,30.221751968503938,17,b0fb00fb617ddc39a18881027a185e52b1677859,100,99,1,0,,0,True,2.181,4,8,10,30.0,0.4,0.4,0.3333333333333333
original_14,canine lung cancer,201.tiff,201,1,hem_rect_fill,4469,6265.0,3299.0,0.24816562612969095,30.221751968503938,17,3a97f4a7f30873a7bdb6296a5c761e15f7056926,100,98,1,0,,0,True,2.543,3,8,9,,0.3,0.4,0.3
original_14,canine lung cancer,201.tiff,201,2,default_51,4476,2859.0,4239.0,0.24816562612969095,30.221751968503938,17,154edfbb1045a8ec6390b1149d2826c7ec6169e6,100,99,1,0,,0,True,2.31,3,5,7,30.0,0.3,0.25,0.23333333333333334
original_14,canine lung cancer,201.tiff,201,2,hem_rect_fill,4476,2859.0,4239.0,0.24816562612969095,30.221751968503938,17,14fee8366a9c53cb0be24ffc842a78e1d3ec1405,100,98,1,0,,0,True,2.273,3,5,7,,0.3,0.25,0.23333333333333334
original_14,canine lung cancer,233.tiff,233,0,default_51,5761,4419.0,2138.0,0.24816562612969095,30.221751968503938,17,063f798be41263e5f4710f762858fc2ad25fc61a,100,99,1,0,,0,True,2.362,6,8,9,30.0,0.6,0.4,0.3
original_14,canine lung cancer,233.tiff,233,0,hem_rect_fill,5761,4419.0,2138.0,0.24816562612969095,30.221751968503938,17,96051db23981462005f2a7636d95a467763edb64,100,99,1,0,,0,True,2.52,6,8,10,,0.6,0.4,0.3333333333333333
original_14,canine lung cancer,233.tiff,233,1,default_51,5760,3570.0,1962.0,0.24816562612969095,30.221751968503938,17,fd9cdb60da83936e38d5a7409cfa20907b0a4ff7,100,99,1,0,,0,True,2.267,6,8,9,30.0,0.6,0.4,0.3
original_14,canine lung cancer,233.tiff,233,1,hem_rect_fill,5760,3570.0,1962.0,0.24816562612969095,30.221751968503938,17,d896705bec4df248bc6ed20bf146d49da1a12cda,100,99,1,0,,0,True,2.288,7,8,9,,0.7,0.4,0.3
original_14,canine lung cancer,233.tiff,233,2,default_51,5770,2081.0,3653.0,0.24816562612969095,30.221751968503938,17,6544f4315b685f4ee35429723a871a0c2338faa1,100,99,1,0,,0,True,2.443,7,8,9,30.0,0.7,0.4,0.3
original_14,canine lung cancer,233.tiff,233,2,hem_rect_fill,5770,2081.0,3653.0,0.24816562612969095,30.221751968503938,17,33829e48f3ba9ebc4763dd43758e0a1c82479f82,100,99,1,0,,0,True,2.35,7,8,10,,0.7,0.4,0.3333333333333333
testing_35,canine lung cancer,211.tiff,211,0,default_51,4916,5027.0,1377.0,0.24816562612969095,30.221751968503938,19,8087e4a07329c48e942fae3217ab307e930a0f66,100,99,1,0,,0,True,2.42,0,0,0,30.0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,0,hem_rect_fill,4916,5027.0,1377.0,0.24816562612969095,30.221751968503938,19,a71b7e0fd8c0cacd1fc278d6fed1466bc30d635e,100,100,0,0,,0,True,2.152,0,0,0,,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,1,default_51,4919,2856.0,2567.0,0.24816562612969095,30.221751968503938,19,43775fae15e408e914b405eaf6c434be382a9d49,100,98,1,0,,0,True,2.148,0,0,0,30.0,0.0,0.0,0.0
