file_name,n_mit,gb_read_95,z_read_95,ratio_gb_over_z,gb_read_100,z_read_100,gb_rec_at_1000,z_rec_at_1000
301.tiff,217,1449,9433,0.15,14228,15929,0.922,0.65
201.tiff,17,735,665,1.11,735,665,1.0,1.0
246.tiff,115,753,1912,0.39,1948,6268,0.974,0.852
459.tiff,130,3408,8853,0.38,12573,15466,0.815,0.669
094.tiff,81,1451,1630,0.89,2366,4052,0.901,0.815
548.tiff,238,734,2075,0.35,3585,7949,0.979,0.903
402.tiff,104,646,1102,0.59,926,5457,1.0,0.942
