file_name,image_id,tumor_type,decision_grade,mpp,channel,base_size,n_angles,n_flips,n_seeds_delivered,seed_agreement_flagged,n_gt_mitotic_total,n_mitotic_crowded,geometric_ceiling,seed_index,seed_ann_id,seed_cx,seed_cy,n_matched_pool,map_median,mad_scale,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,method,pool_scope,generator,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,extract_floor,n_peaks,tie_frac,tail_arbitrary
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,25,25,17,3,0.09444444444444444,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,50,50,33,5,0.18333333333333332,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,100,100,56,10,0.3111111111111111,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,250,250,87,15,0.48333333333333334,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,500,500,108,26,0.6,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,1000,1000,129,34,0.7166666666666667,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,2000,2000,147,46,0.8166666666666667,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff,score,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,273.0,1383.0,3389.0,5701.0,10178.0,,ccoeff,full,tm_ccoeff,5000,5000,169,64,0.9388888888888889,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,25,25,23,1,0.12777777777777777,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,50,50,45,3,0.25,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,100,100,77,8,0.42777777777777776,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,250,250,112,24,0.6222222222222222,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,500,500,137,31,0.7611111111111111,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,1000,1000,152,50,0.8444444444444444,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,2000,2000,162,59,0.9,0.473462,22501.0,0.0001,False
300.tiff,300,canine cutaneous mast cell tumor,True,0.2533,hematoxylin_od,51,4,2,5,False,181,0,1.0,0,14581,4286.0,2527.0,9901,0.249795,0.447335,tm_ccoeff_od,od,True,,False,False,180,85,15363,0.9116,83,2,0.0,0.9944444444444445,29.609,135.0,650.0,1920.0,3961.0,12793.0,,ccoeff,full,tm_ccoeff,5000,5000,175,72,0.9722222222222222,0.473462,22501.0,0.0001,False
