file_name,n_mitotic,n_nuclei_all_blobs,n_nuclei,mitotic_base_rate_pct,seed_self_score,median_score_mitotic,median_score_lookalike,median_score_nucleus,median_score_random,p90_mitotic,p99.9_nucleus,auc_mitosis_vs_nucleus,auc_lookalike_vs_nucleus,discrimination,mean_mitosis_rank,median_mitosis_rank,K
002.tiff,8,8814,8796,0.091,1.0,0.6036,0.5372,0.4143,0.3393,0.664,0.6514,0.953,0.863,0.089,418,85,8
246.tiff,115,21059,20609,0.546,1.0,0.4511,0.4113,0.3121,0.2767,0.5168,0.556,0.879,0.799,0.08,2496,1103,115
