pair,K,mean,wins,losses,ties,n_nonzero,p,min_p,holm,p_float,holm_float
gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,5/8,1/8,3/4,0.625,0.75
gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,1/8,1/8,69/128,0.125,0.5390625
gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,19/64,1/128,3/4,0.296875,0.75
hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,1/16,1/16,7/16,0.0625,0.4375
hem_bbox - default_51,20,-0.06785714285714285,1,11,2,12,3/1024,1/2048,27/1024,0.0029296875,0.0263671875
hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,7/1024,1/1024,7/128,0.0068359375,0.0546875
hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,1/4,1/4,3/4,0.25,0.75
hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,23/256,1/2048,69/128,0.08984375,0.5390625
hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,25/256,1/512,69/128,0.09765625,0.5390625
