roi,fp_q0,fp_q1,fp_q2,fp_q3,tp_shallow,tp_deep
548.tiff,0.8466800819567607,0.8291141035216743,0.8208785125571749,0.8164099016636265,0.9042580896650535,0.8749484128419119
301.tiff,0.5317859173162232,0.5135548478545936,0.5019314502312024,0.48904057424517955,0.6021103639107364,0.5309271929291548
094.tiff,0.4721236601496338,0.43501419756507786,0.40524961988471075,0.393103001057103,0.48766083026960355,0.4725995990469737
245.tiff,0.2859127907671227,0.2869039903048809,0.2892034643968105,0.2886775502871509,0.2940614933899157,0.2892230987935796
402.tiff,0.9243684231082647,0.9057695410281801,0.8924079059278145,0.8862928879562137,0.9618512134270968,0.938004696565418
459.tiff,0.5150057766163192,0.5298930976364362,0.5340576376454952,0.5336531115799796,0.4571920902916665,0.5222768905379693
246.tiff,0.3770591857450452,0.3758230935305322,0.37751400561157206,0.38020740352142923,0.3784631372162518,0.3824727356964688
