file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,0,5.3,187
301.tiff,canine cutaneous mast cell tumor,0,5.35,179
301.tiff,canine cutaneous mast cell tumor,0,5.4,166
301.tiff,canine cutaneous mast cell tumor,0,5.45,157
301.tiff,canine cutaneous mast cell tumor,0,5.5,146
301.tiff,canine cutaneous mast cell tumor,0,5.55,137
301.tiff,canine cutaneous mast cell tumor,0,5.6,131
301.tiff,canine cutaneous mast cell tumor,0,5.65,125
301.tiff,canine cutaneous mast cell tumor,0,5.7,122
301.tiff,canine cutaneous mast cell tumor,0,5.75,114
301.tiff,canine cutaneous mast cell tumor,0,5.8,106
301.tiff,canine cutaneous mast cell tumor,0,5.85,98
301.tiff,canine cutaneous mast cell tumor,0,5.9,90
301.tiff,canine cutaneous mast cell tumor,0,5.95,85
301.tiff,canine cutaneous mast cell tumor,0,6.0,83
301.tiff,canine cutaneous mast cell tumor,1,0.0,32141
301.tiff,canine cutaneous mast cell tumor,1,0.05,32117
301.tiff,canine cutaneous mast cell tumor,1,0.1,32073
301.tiff,canine cutaneous mast cell tumor,1,0.15,32033
301.tiff,canine cutaneous mast cell tumor,1,0.2,31999
301.tiff,canine cutaneous mast cell tumor,1,0.25,31934
301.tiff,canine cutaneous mast cell tumor,1,0.3,31858
301.tiff,canine cutaneous mast cell tumor,1,0.35,31769
301.tiff,canine cutaneous mast cell tumor,1,0.4,31684
301.tiff,canine cutaneous mast cell tumor,1,0.45,31571
301.tiff,canine cutaneous mast cell tumor,1,0.5,31452
301.tiff,canine cutaneous mast cell tumor,1,0.55,31276
301.tiff,canine cutaneous mast cell tumor,1,0.6,31115
301.tiff,canine cutaneous mast cell tumor,1,0.65,30916
301.tiff,canine cutaneous mast cell tumor,1,0.7,30698
301.tiff,canine cutaneous mast cell tumor,1,0.75,30478
301.tiff,canine cutaneous mast cell tumor,1,0.8,30247
301.tiff,canine cutaneous mast cell tumor,1,0.85,29980
301.tiff,canine cutaneous mast cell tumor,1,0.9,29689
