check,severity,subset,file_name,seed_index,condition,passed,detail
budget_delivered,halt,original_14,300.tiff,0,default_51,True,99
budget_delivered,halt,original_14,300.tiff,0,gray_bbox,True,99
budget_delivered,halt,original_14,300.tiff,0,hem_bbox,True,99
budget_delivered,halt,original_14,300.tiff,1,default_51,True,99
budget_delivered,halt,original_14,300.tiff,1,gray_bbox,True,97
budget_delivered,halt,original_14,300.tiff,1,hem_bbox,True,95
budget_delivered,halt,original_14,300.tiff,2,default_51,True,99
budget_delivered,halt,original_14,300.tiff,2,gray_bbox,True,99
budget_delivered,halt,original_14,300.tiff,2,hem_bbox,True,99
budget_delivered,halt,original_14,301.tiff,0,default_51,True,99
budget_delivered,halt,original_14,301.tiff,0,gray_bbox,True,98
budget_delivered,halt,original_14,301.tiff,0,hem_bbox,True,99
budget_delivered,halt,original_14,301.tiff,1,default_51,True,99
budget_delivered,halt,original_14,301.tiff,1,gray_bbox,True,99
budget_delivered,halt,original_14,301.tiff,1,hem_bbox,True,98
budget_delivered,halt,original_14,301.tiff,2,default_51,True,93
budget_delivered,halt,original_14,301.tiff,2,gray_bbox,True,96
budget_delivered,halt,original_14,301.tiff,2,hem_bbox,True,95
budget_delivered,halt,testing_35,322.tiff,0,default_51,True,99
budget_delivered,halt,testing_35,322.tiff,0,gray_bbox,True,98
budget_delivered,halt,testing_35,322.tiff,0,hem_bbox,True,99
budget_delivered,halt,testing_35,322.tiff,1,default_51,True,98
budget_delivered,halt,testing_35,322.tiff,1,gray_bbox,True,98
budget_delivered,halt,testing_35,322.tiff,1,hem_bbox,True,98
budget_delivered,halt,testing_35,322.tiff,2,default_51,True,99
budget_delivered,halt,testing_35,322.tiff,2,gray_bbox,True,99
budget_delivered,halt,testing_35,322.tiff,2,hem_bbox,True,99
budget_delivered,halt,testing_35,337.tiff,0,default_51,True,99
budget_delivered,halt,testing_35,337.tiff,0,gray_bbox,True,99
budget_delivered,halt,testing_35,337.tiff,0,hem_bbox,True,99
budget_delivered,halt,testing_35,337.tiff,1,default_51,True,99
budget_delivered,halt,testing_35,337.tiff,1,gray_bbox,True,99
budget_delivered,halt,testing_35,337.tiff,1,hem_bbox,True,95
budget_delivered,halt,testing_35,337.tiff,2,default_51,True,99
budget_delivered,halt,testing_35,337.tiff,2,gray_bbox,True,98
budget_delivered,halt,testing_35,337.tiff,2,hem_bbox,True,99
budget_delivered,halt,testing_35,339.tiff,0,default_51,True,98
budget_delivered,halt,testing_35,339.tiff,0,gray_bbox,True,97
budget_delivered,halt,testing_35,339.tiff,0,hem_bbox,True,97
budget_delivered,halt,testing_35,339.tiff,1,default_51,True,99
budget_delivered,halt,testing_35,339.tiff,1,gray_bbox,True,98
budget_delivered,halt,testing_35,339.tiff,1,hem_bbox,True,97
budget_delivered,halt,testing_35,339.tiff,2,default_51,True,98
budget_delivered,halt,testing_35,339.tiff,2,gray_bbox,True,98
budget_delivered,halt,testing_35,339.tiff,2,hem_bbox,True,98
budget_delivered,halt,testing_35,343.tiff,0,default_51,True,95
budget_delivered,halt,testing_35,343.tiff,0,gray_bbox,True,93
budget_delivered,halt,testing_35,343.tiff,0,hem_bbox,True,97
budget_delivered,halt,testing_35,343.tiff,1,default_51,True,99
budget_delivered,halt,testing_35,343.tiff,1,gray_bbox,True,98
budget_delivered,halt,testing_35,343.tiff,1,hem_bbox,True,97
budget_delivered,halt,testing_35,343.tiff,2,default_51,True,99
budget_delivered,halt,testing_35,343.tiff,2,gray_bbox,True,97
budget_delivered,halt,testing_35,343.tiff,2,hem_bbox,True,98
budget_delivered,halt,testing_35,344.tiff,0,default_51,True,99
budget_delivered,halt,testing_35,344.tiff,0,gray_bbox,True,99
budget_delivered,halt,testing_35,344.tiff,0,hem_bbox,True,98
budget_delivered,halt,testing_35,344.tiff,1,default_51,True,98
budget_delivered,halt,testing_35,344.tiff,1,gray_bbox,True,97
budget_delivered,halt,testing_35,344.tiff,1,hem_bbox,True,98
budget_delivered,halt,testing_35,344.tiff,2,default_51,True,98
budget_delivered,halt,testing_35,344.tiff,2,gray_bbox,True,97
budget_delivered,halt,testing_35,344.tiff,2,hem_bbox,True,97
budget_delivered,halt,original_14,201.tiff,0,default_51,True,98
budget_delivered,halt,original_14,201.tiff,0,gray_bbox,True,98
budget_delivered,halt,original_14,201.tiff,0,hem_bbox,True,97
budget_delivered,halt,original_14,201.tiff,1,default_51,True,99
budget_delivered,halt,original_14,201.tiff,1,gray_bbox,True,99
budget_delivered,halt,original_14,201.tiff,1,hem_bbox,True,98
budget_delivered,halt,original_14,201.tiff,2,default_51,True,99
budget_delivered,halt,original_14,201.tiff,2,gray_bbox,True,99
budget_delivered,halt,original_14,201.tiff,2,hem_bbox,True,98
budget_delivered,halt,original_14,233.tiff,0,default_51,True,99
budget_delivered,halt,original_14,233.tiff,0,gray_bbox,True,97
budget_delivered,halt,original_14,233.tiff,0,hem_bbox,True,96
budget_delivered,halt,original_14,233.tiff,1,default_51,True,99
budget_delivered,halt,original_14,233.tiff,1,gray_bbox,True,99
budget_delivered,halt,original_14,233.tiff,1,hem_bbox,True,99
budget_delivered,halt,original_14,233.tiff,2,default_51,True,99
budget_delivered,halt,original_14,233.tiff,2,gray_bbox,True,98
budget_delivered,halt,original_14,233.tiff,2,hem_bbox,True,99
budget_delivered,halt,testing_35,211.tiff,0,default_51,True,99
budget_delivered,halt,testing_35,211.tiff,0,gray_bbox,True,99
budget_delivered,halt,testing_35,211.tiff,0,hem_bbox,True,98
budget_delivered,halt,testing_35,211.tiff,1,default_51,True,98
budget_delivered,halt,testing_35,211.tiff,1,gray_bbox,True,99
budget_delivered,halt,testing_35,211.tiff,1,hem_bbox,True,97
budget_delivered,halt,testing_35,211.tiff,2,default_51,True,100
