file_name,domain,arm,precision_at_10_hem,precision_at_20_hem,precision_at_30_hem,precision_at_50_hem,precision_at_10_gray,precision_at_20_gray,precision_at_30_gray,precision_at_50_gray,delta_precision_at_10,delta_precision_at_20,delta_precision_at_30,delta_precision_at_50,delta_exact_at_10,delta_exact_at_20,delta_exact_at_30,delta_exact_at_50
094.tiff,human breast cancer,tm_score,0.5,0.45,0.5,0.42,0.4,0.5,0.5333,0.44,0.09999999999999998,-0.04999999999999999,-0.033299999999999996,-0.020000000000000018,0.1,-0.05,-0.03333333333333333,-0.02
094.tiff,human breast cancer,chromatin_od,0.5,0.7,0.6667,0.48,0.5,0.75,0.7333,0.54,0.0,-0.050000000000000044,-0.06659999999999999,-0.06000000000000005,0.0,-0.05,-0.06666666666666667,-0.06
094.tiff,human breast cancer,od_contrast,0.6,0.75,0.6333,0.44,0.5,0.75,0.7,0.5,0.09999999999999998,0.0,-0.06669999999999998,-0.06,0.1,0.0,-0.06666666666666667,-0.06
529.tiff,human melanoma,tm_score,0.2,0.2,0.1667,0.12,0.3,0.2,0.1333,0.12,-0.09999999999999998,0.0,0.033399999999999985,0.0,-0.1,0.0,0.03333333333333333,0.0
529.tiff,human melanoma,chromatin_od,0.6,0.4,0.2667,0.16,0.6,0.35,0.2333,0.14,0.0,0.050000000000000044,0.033399999999999985,0.01999999999999999,0.0,0.05,0.03333333333333333,0.02
529.tiff,human melanoma,od_contrast,0.6,0.4,0.2667,0.16,0.6,0.35,0.2333,0.14,0.0,0.050000000000000044,0.033399999999999985,0.01999999999999999,0.0,0.05,0.03333333333333333,0.02
548.tiff,human melanoma,tm_score,0.4,0.45,0.5,0.6,0.5,0.5,0.5333,0.56,-0.09999999999999998,-0.04999999999999999,-0.033299999999999996,0.039999999999999925,-0.1,-0.05,-0.03333333333333333,0.04
548.tiff,human melanoma,chromatin_od,0.8,0.65,0.7,0.7,0.8,0.65,0.7,0.72,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,-0.02
548.tiff,human melanoma,od_contrast,0.9,0.8,0.8,0.7,0.8,0.75,0.8,0.7,0.09999999999999998,0.050000000000000044,0.0,0.0,0.1,0.05,0.0,0.0
402.tiff,human neuroendocrine tumor,tm_score,0.3,0.35,0.3,0.36,0.4,0.45,0.4667,0.44,-0.10000000000000003,-0.10000000000000003,-0.16670000000000001,-0.08000000000000002,-0.1,-0.1,-0.16666666666666666,-0.08
402.tiff,human neuroendocrine tumor,chromatin_od,0.7,0.55,0.5,0.54,0.7,0.6,0.5,0.5,0.0,-0.04999999999999993,0.0,0.040000000000000036,0.0,-0.05,0.0,0.04
402.tiff,human neuroendocrine tumor,od_contrast,0.4,0.55,0.5667,0.52,0.4,0.45,0.5333,0.52,0.0,0.10000000000000003,0.033399999999999985,0.0,0.0,0.1,0.03333333333333333,0.0
403.tiff,human neuroendocrine tumor,tm_score,0.4,0.25,0.2667,0.28,0.5,0.35,0.2667,0.3,-0.09999999999999998,-0.09999999999999998,0.0,-0.019999999999999962,-0.1,-0.1,0.0,-0.02
403.tiff,human neuroendocrine tumor,chromatin_od,0.4,0.35,0.3333,0.26,0.5,0.5,0.4667,0.34,-0.09999999999999998,-0.15000000000000002,-0.13340000000000002,-0.08000000000000002,-0.1,-0.15,-0.13333333333333333,-0.08
403.tiff,human neuroendocrine tumor,od_contrast,0.6,0.45,0.3667,0.24,0.6,0.6,0.4667,0.36,0.0,-0.14999999999999997,-0.09999999999999998,-0.12,0.0,-0.15,-0.1,-0.12
