domain,condition,n_roi,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
canine cutaneous mast cell tumor,default_51,7,149,261,347,0.7095238095238096,0.6214285714285714,0.5507936507936508
canine cutaneous mast cell tumor,hem_rect_fill,7,151,259,353,0.719047619047619,0.6166666666666667,0.5603174603174603
canine lung cancer,default_51,7,72,118,145,0.34285714285714286,0.28095238095238095,0.23015873015873015
canine lung cancer,hem_rect_fill,7,75,123,157,0.35714285714285715,0.29285714285714287,0.2492063492063492
canine lymphosarcoma,default_51,7,111,230,328,0.5285714285714286,0.5476190476190477,0.5206349206349207
canine lymphosarcoma,hem_rect_fill,7,113,242,350,0.5380952380952381,0.5761904761904761,0.5555555555555556
canine soft tissue sarcoma,default_51,7,132,232,288,0.6285714285714286,0.5523809523809524,0.45714285714285713
canine soft tissue sarcoma,hem_rect_fill,7,131,231,290,0.6238095238095238,0.55,0.4603174603174603
human breast cancer,default_51,7,132,240,295,0.6285714285714286,0.5714285714285714,0.46825396825396826
human breast cancer,hem_rect_fill,7,132,241,296,0.6285714285714286,0.5738095238095238,0.46984126984126984
human melanoma,default_51,7,98,149,201,0.4666666666666667,0.3547619047619048,0.319047619047619
human melanoma,hem_rect_fill,7,98,155,207,0.4666666666666667,0.36904761904761907,0.32857142857142857
human neuroendocrine tumor,default_51,7,143,231,306,0.680952380952381,0.55,0.4857142857142857
human neuroendocrine tumor,hem_rect_fill,7,140,224,298,0.6666666666666666,0.5333333333333333,0.473015873015873
