tumor_type,precision_delta_K10,precision_delta_K20,precision_delta_K30
canine cutaneous mast cell tumor,0.020000000000000018,0.06499999999999999,0.12
canine lung cancer,0.18,0.13,0.08666666666666666
canine lymphosarcoma,0.009999999999999992,-0.010000000000000009,-0.02000000000000004
canine soft tissue sarcoma,0.19,0.185,0.15000000000000002
human breast cancer,0.010000000000000009,0.09,0.04666666666666665
human melanoma,0.17,0.044999999999999984,0.04666666666666667
human neuroendocrine tumor,0.09,0.095,0.07999999999999999
