path,mtime,git_status,last_commit
production_hematoxylin_only/production_seed_precision_at_k_chromatin_hem_bbox.ipynb,2026-09-16 13:24:05,?? production_hematoxylin_only/production_seed_precision_at_k_chromatin_hem_bbox.ipynb,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_raw.csv,2026-09-16 13:24:00,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_raw.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_per_roi.csv,2026-09-16 13:24:00,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_per_roi.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_by_domain.csv,2026-09-16 13:24:00,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_by_domain.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_verification.csv,2026-09-16 13:24:00,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_verification.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_stat_context.csv,2026-09-16 13:24:01,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_stat_context.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_vs_halfpixfix_per_roi.csv,2026-09-16 13:24:00,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_vs_halfpixfix_per_roi.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_hembbox_vs_halfpixfix_by_domain.csv,2026-09-16 13:24:00,?? results/precision_at_k_14roi_prodseed_chromatin_hembbox_vs_halfpixfix_by_domain.csv,NEVER COMMITTED
results/precision_at_k_14roi_prodseed_chromatin_halfpixfix_raw.csv,2026-09-10 15:51:56,clean,fa94b90 2026-09-11 mohini-anand
results/precision_at_k_14roi_prodseed_chromatin_halfpixfix_per_roi.csv,2026-09-10 15:51:56,clean,fa94b90 2026-09-11 mohini-anand
midog_utils/channels.py,2026-09-14 18:47:55,clean,f9b4a63 2026-09-14 mohini-anand
midog_utils/chromatin.py,2026-09-14 18:48:09,clean,f9b4a63 2026-09-14 mohini-anand
midog_utils/compare.py,2026-09-01 19:11:16,clean,eb34505 2026-09-04 mohini-anand
midog_utils/dataset.py,2026-09-15 12:18:09,clean,bf532d1 2026-09-15 mohini-anand
midog_utils/evaluate.py,2026-09-14 18:48:46,clean,f9b4a63 2026-09-14 mohini-anand
midog_utils/find_and_suppress.py,2026-09-16 10:14:46,clean,74fbea0 2026-09-16 mohini-anand
midog_utils/invariants.py,2026-09-14 18:49:12,clean,f9b4a63 2026-09-14 mohini-anand
midog_utils/nms.py,2026-09-14 18:47:47,clean,f9b4a63 2026-09-14 mohini-anand
midog_utils/seed_selection.py,2026-09-15 12:08:45,clean,7f1bdb6 2026-09-15 mohini-anand
midog_utils/template_match.py,2026-09-15 12:09:18,clean,7f1bdb6 2026-09-15 mohini-anand
