family,pair,K,mean_roi_recall_delta_per_click,recall_mc_p_1e6,wlt,recall_holm_p,precision_holm_p,verdict_same_at_0.05
all_49,gray_bbox - default_51,10,-0.005811253751109419,0.07447892552107448,15/18/16,0.07447892552107448,0.4042282998561859,True
all_49,gray_bbox - default_51,20,-0.01893906974859442,0.000332999667000333,12/32/5,0.001997998002001998,0.009980493829061743,True
all_49,gray_bbox - default_51,30,-0.0217255863523502,2.1999978000022e-05,9/29/11,0.00015399984600015398,0.006838962581241503,True
all_49,hem_bbox - default_51,10,-0.013837790546274152,0.00207999792000208,11/25/13,0.0062399937600062395,0.10424903873354197,False
all_49,hem_bbox - default_51,20,-0.036585441162424084,2.999997000003e-06,8/37/4,2.6999973000027e-05,3.8542500021776505e-05,True
all_49,hem_bbox - default_51,30,-0.04719040752860571,3.999996000004e-06,7/36/6,3.1999968000032e-05,4.468585757422261e-06,True
all_49,hem_bbox - gray_bbox,10,-0.008026536795164732,0.00494999505000495,7/23/19,0.0098999901000099,0.10195506736636162,False
all_49,hem_bbox - gray_bbox,20,-0.017646371413829666,0.001195998804001196,8/31/10,0.004783995216004784,0.00030825119029032066,True
all_49,hem_bbox - gray_bbox,30,-0.025464821176255516,0.000461999538000462,5/33/11,0.00230999769000231,1.7378770280629396e-05,True
testing_35,gray_bbox - default_51,10,-0.006127357448566359,0.15480784519215482,10/13/12,0.15480784519215482,0.44310808181762695,True
testing_35,gray_bbox - default_51,20,-0.01890904664902304,0.003701996298003702,8/23/4,0.011815988184011816,0.032480571419000626,True
testing_35,gray_bbox - default_51,30,-0.025201487467875552,1.8999981000019e-05,4/21/10,0.000151999848000152,0.0013768672943115234,True
testing_35,hem_bbox - default_51,10,-0.01582424383290343,0.005907994092005908,6/20/9,0.011815988184011816,0.1904340386390686,False
testing_35,hem_bbox - default_51,20,-0.038304891973274295,4.0999959000041e-05,5/26/4,0.000286999713000287,0.0013768672943115234,True
testing_35,hem_bbox - default_51,30,-0.05245958233058252,8.999991000009e-06,4/27/4,8.099991900008099e-05,2.8070993721485138e-05,True
testing_35,hem_bbox - gray_bbox,10,-0.009696886384337064,0.002953997046002954,4/18/13,0.011815988184011816,0.1732006072998047,False
testing_35,hem_bbox - gray_bbox,20,-0.019395845324251263,0.00067999932000068,5/21/9,0.0033999966000034,0.003670603036880493,True
testing_35,hem_bbox - gray_bbox,30,-0.02725809486270696,0.000551999448000552,3/22/10,0.0033119966880033117,0.0005354881286621094,True
