file_name,tumor_type,image_id,roi_h,roi_w,mpp,match_radius_px,nms_radius_px,seed_ann_id,n_retries,template_size,pad_px,map_median,mad_scale,n_candidates,n_gt_mitotic,n_tp,n_lookalike,n_unannotated,full_list_recall,shape_fail_rate,t_search_s,t_od_s,t_shape_s
301.tiff,canine cutaneous mast cell tumor,301,4835,6447,0.2533,29.61,19.74,14969,0,41,20,-0.022474,0.203591,25447,217,217,109,25121,1.0,0.0,4.8,6.7,34.8
201.tiff,canine lung cancer,201,4933,6577,0.2482,30.22,20.15,4457,0,51,25,-0.028426,0.6123,22631,17,17,49,22565,1.0,0.0,4.6,6.3,42.1
246.tiff,canine lymphosarcoma,246,4933,6577,0.2482,30.22,20.15,6548,0,41,20,-0.006128,0.171306,30343,115,115,123,30105,1.0,0.0,5.4,12.6,183.4
459.tiff,canine soft tissue sarcoma,459,4933,6577,0.2482,30.22,20.15,22441,0,33,16,-0.050765,0.50321,26152,130,130,90,25932,1.0,0.0,6.6,9.3,82.2
094.tiff,human breast cancer,94,5364,7103,0.2298,32.63,21.75,2512,0,25,12,-0.003239,0.050532,34573,81,81,102,34390,1.0,0.0,12.0,14.6,85.3
548.tiff,human melanoma,548,5412,7215,0.2274,32.98,21.98,25804,0,29,14,-0.055091,0.61393,29162,238,238,118,28806,1.0,0.0,20.6,18.0,100.8
402.tiff,human neuroendocrine tumor,402,5412,7215,0.2263,33.14,22.09,20254,0,29,14,-0.055744,0.92052,32553,104,104,79,32370,1.0,0.0,6.8,11.8,86.1
