domain,arm,K,n_roi,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file,worst_roi_is_tied
canine cutaneous mast cell tumor,chromatin_od,10,2,16,20,0.8,0.6,301.tiff,False
canine cutaneous mast cell tumor,chromatin_od,20,2,33,40,0.825,0.75,301.tiff,False
canine cutaneous mast cell tumor,chromatin_od,30,2,50,60,0.8333,0.8,301.tiff,False
canine cutaneous mast cell tumor,chromatin_od,50,2,84,100,0.84,0.82,301.tiff,False
canine cutaneous mast cell tumor,tm_score,10,2,19,20,0.95,0.9,301.tiff,False
canine cutaneous mast cell tumor,tm_score,20,2,34,40,0.85,0.8,300.tiff,False
canine cutaneous mast cell tumor,tm_score,30,2,49,60,0.8167,0.7667,300.tiff,False
canine cutaneous mast cell tumor,tm_score,50,2,75,100,0.75,0.68,300.tiff,False
canine lung cancer,chromatin_od,10,2,8,20,0.4,0.3,201.tiff,False
canine lung cancer,chromatin_od,20,2,16,40,0.4,0.3,201.tiff,False
canine lung cancer,chromatin_od,30,2,19,60,0.3167,0.3,201.tiff,False
canine lung cancer,chromatin_od,50,2,21,100,0.21,0.2,233.tiff,False
canine lung cancer,tm_score,10,2,8,20,0.4,0.4,201.tiff,True
canine lung cancer,tm_score,20,2,11,40,0.275,0.25,201.tiff,False
canine lung cancer,tm_score,30,2,12,60,0.2,0.1667,201.tiff,False
canine lung cancer,tm_score,50,2,13,100,0.13,0.12,201.tiff,False
canine lymphosarcoma,chromatin_od,10,2,12,20,0.6,0.2,245.tiff,False
canine lymphosarcoma,chromatin_od,20,2,23,40,0.575,0.15,245.tiff,False
canine lymphosarcoma,chromatin_od,30,2,28,60,0.4667,0.1333,245.tiff,False
canine lymphosarcoma,chromatin_od,50,2,42,100,0.42,0.14,245.tiff,False
canine lymphosarcoma,tm_score,10,2,11,20,0.55,0.3,245.tiff,False
canine lymphosarcoma,tm_score,20,2,21,40,0.525,0.35,245.tiff,False
canine lymphosarcoma,tm_score,30,2,25,60,0.4167,0.3,245.tiff,False
canine lymphosarcoma,tm_score,50,2,34,100,0.34,0.24,245.tiff,False
canine soft tissue sarcoma,chromatin_od,10,2,16,20,0.8,0.7,460.tiff,False
canine soft tissue sarcoma,chromatin_od,20,2,29,40,0.725,0.6,460.tiff,False
canine soft tissue sarcoma,chromatin_od,30,2,41,60,0.6833,0.5333,460.tiff,False
canine soft tissue sarcoma,chromatin_od,50,2,60,100,0.6,0.4,460.tiff,False
canine soft tissue sarcoma,tm_score,10,2,11,20,0.55,0.4,459.tiff,False
canine soft tissue sarcoma,tm_score,20,2,18,40,0.45,0.45,459.tiff,True
canine soft tissue sarcoma,tm_score,30,2,26,60,0.4333,0.3667,460.tiff,False
canine soft tissue sarcoma,tm_score,50,2,36,100,0.36,0.26,460.tiff,False
human breast cancer,chromatin_od,10,2,10,20,0.5,0.5,013.tiff,True
human breast cancer,chromatin_od,20,2,23,40,0.575,0.4,013.tiff,False
human breast cancer,chromatin_od,30,2,30,60,0.5,0.3667,013.tiff,False
human breast cancer,chromatin_od,50,2,45,100,0.45,0.26,013.tiff,False
human breast cancer,tm_score,10,2,11,20,0.55,0.5,094.tiff,False
human breast cancer,tm_score,20,2,15,40,0.375,0.3,013.tiff,False
human breast cancer,tm_score,30,2,22,60,0.3667,0.2333,013.tiff,False
human breast cancer,tm_score,50,2,28,100,0.28,0.14,013.tiff,False
human melanoma,chromatin_od,10,2,14,20,0.7,0.6,529.tiff,False
human melanoma,chromatin_od,20,2,25,40,0.625,0.45,529.tiff,False
human melanoma,chromatin_od,30,2,33,60,0.55,0.3667,529.tiff,False
human melanoma,chromatin_od,50,2,49,100,0.49,0.22,529.tiff,False
human melanoma,tm_score,10,2,6,20,0.3,0.2,529.tiff,False
human melanoma,tm_score,20,2,13,40,0.325,0.2,529.tiff,False
human melanoma,tm_score,30,2,20,60,0.3333,0.1667,529.tiff,False
human melanoma,tm_score,50,2,36,100,0.36,0.12,529.tiff,False
human neuroendocrine tumor,chromatin_od,10,2,11,20,0.55,0.4,403.tiff,False
human neuroendocrine tumor,chromatin_od,20,2,21,40,0.525,0.5,403.tiff,False
human neuroendocrine tumor,chromatin_od,30,2,29,60,0.4833,0.4333,403.tiff,False
human neuroendocrine tumor,chromatin_od,50,2,45,100,0.45,0.44,403.tiff,False
human neuroendocrine tumor,tm_score,10,2,7,20,0.35,0.3,402.tiff,False
human neuroendocrine tumor,tm_score,20,2,12,40,0.3,0.25,403.tiff,False
human neuroendocrine tumor,tm_score,30,2,17,60,0.2833,0.2667,403.tiff,False
human neuroendocrine tumor,tm_score,50,2,32,100,0.32,0.28,403.tiff,False
