subset,domain,file_name,image_id,seed_index,condition,keep_region,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,is_recorded_seed,n_gt_mitotic,tpl_sha1,n_kept_px,n_filled_px,fill_value,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,rank_key_descending,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,default_51,the whole window,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,7707a565945709dcb6075d4dca17c2b287cc266b,2601,0,,100,True,100,2601,0,,0,True,1.206,9,17,24,,0.9,0.85,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill,the Otsu rectangle,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,525,2076,0.015333840623497963,100,True,99,2601,0,,0,True,1.213,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill,the Otsu rectangle,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,525,2076,0.015333840623497963,100,True,99,2601,0,,0,True,1.213,8,17,25,,0.8,0.85,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3abefe6648e74574a14bd902d79867e9366d6bc4,957,1644,0.012965726666152477,100,True,100,2601,0,,0,True,1.215,10,19,28,,1.0,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3abefe6648e74574a14bd902d79867e9366d6bc4,957,1644,0.012965726666152477,100,True,100,2601,0,,0,True,1.215,8,18,25,,0.8,0.9,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,35a47272267e4cfa0df5ec21b7453d044662f241,753,1848,0.014309147372841835,100,True,100,2601,0,,0,True,1.208,10,19,28,,1.0,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,35a47272267e4cfa0df5ec21b7453d044662f241,753,1848,0.014309147372841835,100,True,100,2601,0,,0,True,1.208,8,18,24,,0.8,0.9,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,default_51,the whole window,chromatin_od,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,72623f6c08e1b9280627e00e266299bff15b824d,2601,0,,100,True,100,2601,0,,0,True,1.201,9,18,27,,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,default_51,the whole window,tm_score,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,72623f6c08e1b9280627e00e266299bff15b824d,2601,0,,100,True,100,2601,0,,0,True,1.201,8,15,24,,0.8,0.75,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,hem_rect_fill,the Otsu rectangle,chromatin_od,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,aa026386daae5e3302832c2de11be0022a4f4679,572,2029,0.02158256247639656,100,True,100,2601,0,,0,True,1.205,9,18,27,,0.9,0.9,0.9
