file_name,tumor_type,decision_grade,seed_index,read_100_delta,read_95_delta,read_50_delta,full_list_recall_delta,n_detections_delta,recall_at_250_delta,arm_a,arm_b
300.tiff,canine cutaneous mast cell tumor,True,0,,-3780.0,-3125.0,0.0,-538,0.31666666666666665,tm_ccoeff,tm_ccoeff_normed
300.tiff,canine cutaneous mast cell tumor,True,1,,-3167.0,-1470.0,0.0,-574,0.38888888888888895,tm_ccoeff,tm_ccoeff_normed
300.tiff,canine cutaneous mast cell tumor,True,2,,-2819.0,-813.0,-0.005555555555555647,-555,0.37222222222222223,tm_ccoeff,tm_ccoeff_normed
300.tiff,canine cutaneous mast cell tumor,True,3,,-4640.0,-1816.0,0.011111111111111183,-513,0.38333333333333336,tm_ccoeff,tm_ccoeff_normed
300.tiff,canine cutaneous mast cell tumor,True,4,,-4070.0,-1401.0,-0.005555555555555536,-517,0.34444444444444444,tm_ccoeff,tm_ccoeff_normed
301.tiff,canine cutaneous mast cell tumor,True,0,,-3164.0,-3584.0,-0.009216589861751112,-330,0.39631336405529954,tm_ccoeff,tm_ccoeff_normed
301.tiff,canine cutaneous mast cell tumor,True,1,-2387.0,-3267.0,-1666.0,0.0,-68,0.28110599078341014,tm_ccoeff,tm_ccoeff_normed
301.tiff,canine cutaneous mast cell tumor,True,2,,-5139.0,-1184.0,0.01382488479262678,-158,0.23041474654377878,tm_ccoeff,tm_ccoeff_normed
301.tiff,canine cutaneous mast cell tumor,True,3,,-4076.0,-1338.0,0.004608294930875667,-9,0.2626728110599078,tm_ccoeff,tm_ccoeff_normed
301.tiff,canine cutaneous mast cell tumor,True,4,,-6752.0,-1133.0,0.004608294930875556,-397,0.20276497695852536,tm_ccoeff,tm_ccoeff_normed
201.tiff,canine lung cancer,True,0,-5935.0,-5935.0,-895.0,0.0,-442,0.5882352941176471,tm_ccoeff,tm_ccoeff_normed
201.tiff,canine lung cancer,True,1,,,-92.0,0.0,-439,0.23529411764705876,tm_ccoeff,tm_ccoeff_normed
201.tiff,canine lung cancer,True,2,,,-2153.0,0.0,-445,0.4117647058823529,tm_ccoeff,tm_ccoeff_normed
201.tiff,canine lung cancer,True,3,,,-629.0,0.05882352941176472,-498,0.29411764705882354,tm_ccoeff,tm_ccoeff_normed
201.tiff,canine lung cancer,True,4,-4528.0,-4528.0,-2021.0,0.0,-605,0.5294117647058824,tm_ccoeff,tm_ccoeff_normed
202.tiff,canine lung cancer,True,0,,,-2834.0,0.0,-373,0.5333333333333333,tm_ccoeff,tm_ccoeff_normed
202.tiff,canine lung cancer,True,1,-1458.0,-1458.0,-343.0,0.0,-903,0.4666666666666667,tm_ccoeff,tm_ccoeff_normed
202.tiff,canine lung cancer,True,2,-540.0,-540.0,-82.0,0.0,-583,0.2666666666666667,tm_ccoeff,tm_ccoeff_normed
202.tiff,canine lung cancer,True,3,-543.0,-543.0,-132.0,0.0,-748,0.20000000000000007,tm_ccoeff,tm_ccoeff_normed
245.tiff,canine lymphosarcoma,True,0,,-6240.0,-3054.0,0.011235955056179803,-35,0.0449438202247191,tm_ccoeff,tm_ccoeff_normed
245.tiff,canine lymphosarcoma,True,1,-722.0,-3697.0,-2260.0,0.0,-19,0.07865168539325842,tm_ccoeff,tm_ccoeff_normed
245.tiff,canine lymphosarcoma,True,2,,-2809.0,-2567.0,0.011235955056179803,-27,0.056179775280898875,tm_ccoeff,tm_ccoeff_normed
245.tiff,canine lymphosarcoma,True,3,,-2629.0,-2493.0,0.0,-87,0.056179775280898875,tm_ccoeff,tm_ccoeff_normed
245.tiff,canine lymphosarcoma,True,4,,-1332.0,-1559.0,0.0,9,0.11235955056179775,tm_ccoeff,tm_ccoeff_normed
246.tiff,canine lymphosarcoma,True,0,-950.0,-3508.0,-392.0,0.0,-198,0.208695652173913,tm_ccoeff,tm_ccoeff_normed
246.tiff,canine lymphosarcoma,True,1,,-5238.0,-322.0,0.0,-174,0.2695652173913044,tm_ccoeff,tm_ccoeff_normed
246.tiff,canine lymphosarcoma,True,2,,-5654.0,-162.0,0.008695652173913104,-227,0.17391304347826086,tm_ccoeff,tm_ccoeff_normed
246.tiff,canine lymphosarcoma,True,3,,-4426.0,-337.0,0.008695652173913104,-183,0.18260869565217397,tm_ccoeff,tm_ccoeff_normed
246.tiff,canine lymphosarcoma,True,4,,-3913.0,-121.0,0.008695652173913104,-244,0.14782608695652177,tm_ccoeff,tm_ccoeff_normed
405.tiff,canine soft tissue sarcoma,False,0,,,-2669.0,0.07692307692307687,-1533,0.5384615384615384,tm_ccoeff,tm_ccoeff_normed
405.tiff,canine soft tissue sarcoma,False,1,-3208.0,-3208.0,-1214.0,0.0,-1428,0.5384615384615385,tm_ccoeff,tm_ccoeff_normed
405.tiff,canine soft tissue sarcoma,False,2,-1262.0,-1262.0,-729.0,0.0,-1785,0.3846153846153846,tm_ccoeff,tm_ccoeff_normed
405.tiff,canine soft tissue sarcoma,False,3,-1930.0,-1930.0,-1560.0,0.0,-1320,0.5384615384615385,tm_ccoeff,tm_ccoeff_normed
405.tiff,canine soft tissue sarcoma,False,4,,,-4909.0,0.3076923076923077,-822,0.23076923076923078,tm_ccoeff,tm_ccoeff_normed
406.tiff,canine soft tissue sarcoma,False,0,,,-634.0,0.0,-421,0.2,tm_ccoeff,tm_ccoeff_normed
406.tiff,canine soft tissue sarcoma,False,1,,,-168.0,0.19999999999999996,-1138,0.39999999999999997,tm_ccoeff,tm_ccoeff_normed
406.tiff,canine soft tissue sarcoma,False,2,,,-2578.0,0.19999999999999996,-140,0.2,tm_ccoeff,tm_ccoeff_normed
406.tiff,canine soft tissue sarcoma,False,3,,,-926.0,0.0,-1056,0.0,tm_ccoeff,tm_ccoeff_normed
459.tiff,canine soft tissue sarcoma,True,0,3167.0,1620.0,-309.0,0.0,-420,0.223076923076923,tm_ccoeff,tm_ccoeff_normed
459.tiff,canine soft tissue sarcoma,True,1,1319.0,1200.0,-427.0,0.0,-449,0.2384615384615384,tm_ccoeff,tm_ccoeff_normed
459.tiff,canine soft tissue sarcoma,True,2,1029.0,372.0,-832.0,0.0,-525,0.36153846153846153,tm_ccoeff,tm_ccoeff_normed
459.tiff,canine soft tissue sarcoma,True,3,1362.0,2524.0,-747.0,0.0,-464,0.3,tm_ccoeff,tm_ccoeff_normed
459.tiff,canine soft tissue sarcoma,True,4,,2438.0,-429.0,0.0,-377,0.25384615384615383,tm_ccoeff,tm_ccoeff_normed
002.tiff,human breast cancer,False,0,-5291.0,-5291.0,-110.0,0.0,-1432,0.375,tm_ccoeff,tm_ccoeff_normed
002.tiff,human breast cancer,False,1,-3362.0,-3362.0,-355.0,0.0,-1504,0.75,tm_ccoeff,tm_ccoeff_normed
002.tiff,human breast cancer,False,2,-6023.0,-6023.0,-556.0,0.0,-1540,0.5,tm_ccoeff,tm_ccoeff_normed
002.tiff,human breast cancer,False,3,-2887.0,-2887.0,-814.0,0.0,-1558,0.875,tm_ccoeff,tm_ccoeff_normed
002.tiff,human breast cancer,False,4,-4944.0,-4944.0,-744.0,0.0,-1668,0.5,tm_ccoeff,tm_ccoeff_normed
094.tiff,human breast cancer,True,0,-5153.0,-2348.0,-212.0,0.0,-1289,0.22222222222222227,tm_ccoeff,tm_ccoeff_normed
094.tiff,human breast cancer,True,1,,-2547.0,-201.0,0.012345679012345734,-1217,0.25925925925925924,tm_ccoeff,tm_ccoeff_normed
094.tiff,human breast cancer,True,2,-3481.0,-5157.0,-328.0,0.0,-1262,0.38271604938271603,tm_ccoeff,tm_ccoeff_normed
094.tiff,human breast cancer,True,3,,-5439.0,-246.0,0.012345679012345734,-1396,0.345679012345679,tm_ccoeff,tm_ccoeff_normed
094.tiff,human breast cancer,True,4,-4581.0,-1943.0,-61.0,0.0,-1312,0.14814814814814814,tm_ccoeff,tm_ccoeff_normed
505.tiff,human melanoma,False,0,-378.0,-378.0,-378.0,0.0,-5317,0.0,tm_ccoeff,tm_ccoeff_normed
505.tiff,human melanoma,False,1,-1160.0,-1160.0,-1160.0,0.0,-5086,0.0,tm_ccoeff,tm_ccoeff_normed
506.tiff,human melanoma,False,0,-1685.0,-1685.0,-1781.0,0.0,-2674,0.18181818181818182,tm_ccoeff,tm_ccoeff_normed
506.tiff,human melanoma,False,1,-3965.0,-3965.0,-1102.0,0.0,-2461,0.36363636363636365,tm_ccoeff,tm_ccoeff_normed
506.tiff,human melanoma,False,2,,,-4729.0,-0.09090909090909094,-2758,0.2727272727272727,tm_ccoeff,tm_ccoeff_normed
506.tiff,human melanoma,False,3,-1693.0,-1693.0,-1694.0,0.0,-2620,0.36363636363636365,tm_ccoeff,tm_ccoeff_normed
506.tiff,human melanoma,False,4,-1675.0,-1675.0,-2114.0,0.0,-3090,0.2727272727272727,tm_ccoeff,tm_ccoeff_normed
548.tiff,human melanoma,True,0,,-2694.0,-361.0,0.004201680672268893,-790,0.32773109243697474,tm_ccoeff,tm_ccoeff_normed
548.tiff,human melanoma,True,1,,-2186.0,-936.0,0.004201680672268893,-716,0.3529411764705882,tm_ccoeff,tm_ccoeff_normed
548.tiff,human melanoma,True,2,,-3159.0,-482.0,0.008403361344537785,-617,0.32352941176470584,tm_ccoeff,tm_ccoeff_normed
548.tiff,human melanoma,True,3,,-5268.0,-538.0,0.004201680672268893,-736,0.2815126050420168,tm_ccoeff,tm_ccoeff_normed
548.tiff,human melanoma,True,4,,-3841.0,-1338.0,0.004201680672268893,-704,0.3739495798319328,tm_ccoeff,tm_ccoeff_normed
350.tiff,human neuroendocrine tumor,False,0,-2635.0,-2635.0,-534.0,0.0,-1702,0.6666666666666667,tm_ccoeff,tm_ccoeff_normed
350.tiff,human neuroendocrine tumor,False,1,-2080.0,-2080.0,-633.0,0.0,-1872,1.0,tm_ccoeff,tm_ccoeff_normed
350.tiff,human neuroendocrine tumor,False,2,-1306.0,-1306.0,-589.0,0.0,-1909,0.6666666666666667,tm_ccoeff,tm_ccoeff_normed
350.tiff,human neuroendocrine tumor,False,3,-3574.0,-3574.0,-3328.0,0.0,-1581,1.0,tm_ccoeff,tm_ccoeff_normed
351.tiff,human neuroendocrine tumor,False,0,-4702.0,-4702.0,-2037.0,0.0,-2596,1.0,tm_ccoeff,tm_ccoeff_normed
