file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14976,rgb,0.2533,35.0,binary,0.0,False,164.0,162.0,136.0,29.6,217,0.30414746543778803,2.0,0.02304147465437788,0.09216589861751152,0.11981566820276497,0.11981566820276497,0.15668202764976957,0.2350230414746544,0.2672811059907834,217,66,15,136,109,0.13761467889908258,217,0.30414746543778803,0.9174311926605505,0.9493087557603687,13353,163,0.3558282208588957,54,0.14814814814814814,0.950920245398773,0.9444444444444444,13353,206,100,13047,306,0.02291619860705288,0.015427244813898342,206,11,100,9,0.8357,29.61,1.0,7.34,16236.0,1.0,13354.0,1.0,1.0,13353.0,0.9043563008308411,0.57,8.0,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,rgb,0.2482,51.0,binary,0.0,False,7.0,7.0,6.0,30.2,17,0.11764705882352941,2.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,17,2,2,13,49,0.04081632653061224,17,0.11764705882352941,0.061224489795918366,0.17647058823529413,127,6,0.0,11,0.18181818181818182,0.16666666666666666,0.18181818181818182,127,3,3,121,6,0.047244094487816975,0.023622047243908487,3,14,3,46,0.0111,30.22,1.0,7.3,129.0,1.0,128.0,1.0,1.0,127.0,0.6358758807182312,0.44,7.8,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6549,rgb,0.2482,51.0,binary,0.0,False,100.0,97.0,87.0,30.2,115,0.017391304347826087,2.0,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,115,2,0,3,123,0.0,115,0.017391304347826087,0.0,0.017391304347826087,5,99,0.020202020202020204,16,0.0,0.020202020202020204,0.0,5,2,0,3,2,0.39999999992,0.39999999992,2,113,0,123,0.0005,30.22,1.0,8.4,6.0,1.0,6.0,1.0,1.0,5.0,0.5986713767051697,0.45,8.9,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,rgb,0.2482,51.0,binary,0.0,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3076923076923077,13,0,0,13,19,0.0,13,0.0,0.7894736842105263,1.0,4479,9,0.0,4,0.0,1.0,1.0,4479,13,15,4451,28,0.006251395400757702,0.0029024335789232187,13,0,15,4,0.3723,30.22,1.0,7.67,4669.0,1.0,4480.0,1.0,1.0,4479.0,0.8286733031272888,0.41,8.1,0.7831,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,rgb,0.2269,35.0,binary,0.0,False,7.0,7.0,7.0,33.1,8,0.25,2.01,0.0,0.25,0.25,0.25,0.25,0.25,0.25,8,2,0,6,7,0.0,8,0.25,0.8571428571428571,0.875,3621,6,0.3333333333333333,2,0.0,1.0,0.5,3621,7,6,3608,13,0.003590168461749906,0.0019331676332499494,7,1,6,1,0.2893,33.05,1.0,9.83,4030.0,1.0,3622.0,1.0,1.0,3621.0,0.8080393671989441,0.68,10.6,0.9488,human breast cancer,,,
506.tiff,find_and_suppress,24233,rgb,0.2274,43.0,binary,0.0,False,8.0,8.0,8.0,33.0,11,0.09090909090909091,2.02,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,1,0,10,12,0.0,11,0.09090909090909091,0.3333333333333333,0.45454545454545453,2067,7,0.14285714285714285,4,0.0,0.5714285714285714,0.25,2067,5,4,2058,9,0.0043541364296060215,0.002418964683114456,5,6,4,8,0.1683,32.98,1.0,34.74,2159.0,1.0,2068.0,1.0,1.0,2067.0,0.735553503036499,1.08,35.9,0.9194,human melanoma,,,
350.tiff,find_and_suppress,18164,rgb,0.2274,41.0,binary,0.0,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.4375,0.3333333333333333,1940,0,,3,0.0,,0.3333333333333333,1940,1,7,1932,8,0.00412371134020406,0.0005154639175255075,1,2,7,9,0.1605,32.98,1.0,11.14,2009.0,1.0,1941.0,1.0,1.0,1940.0,0.7779251337051392,0.54,11.7,0.9966,human neuroendocrine tumor,,,
301.tiff,find_and_suppress,14976,hematoxylin,0.2533,35.0,binary,0.0,False,164.0,162.0,136.0,29.6,217,0.2488479262672811,2.0,0.027649769585253458,0.06912442396313365,0.0967741935483871,0.11981566820276497,0.16129032258064516,0.19815668202764977,0.2304147465437788,217,54,13,150,109,0.11926605504587157,217,0.2488479262672811,0.963302752293578,0.9769585253456221,14428,163,0.2883435582822086,54,0.12962962962962962,0.9815950920245399,0.9629629629629629,14428,212,105,14111,317,0.021971167174936097,0.014693651233711207,212,5,105,4,0.8731,29.61,1.0,3.05,18442.0,1.0,14429.0,1.0,1.0,14428.0,0.9434542059898376,0.79,3.9,,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,hematoxylin,0.2482,51.0,binary,0.0,False,7.0,7.0,6.0,30.2,17,0.17647058823529413,2.0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.35294117647058826,17,3,2,12,49,0.04081632653061224,17,0.17647058823529413,0.4897959183673469,0.5882352941176471,513,6,0.0,11,0.2727272727272727,0.3333333333333333,0.7272727272727273,513,10,24,479,34,0.06627680311877919,0.01949317738787623,10,7,24,25,0.0448,30.22,1.0,2.75,515.0,1.0,514.0,1.0,1.0,513.0,0.6740785837173462,0.38,3.2,,canine lung cancer,,,
246.tiff,find_and_suppress,6549,hematoxylin,0.2482,51.0,binary,0.0,False,100.0,97.0,87.0,30.2,115,0.12173913043478261,2.0,0.017391304347826087,0.034782608695652174,0.05217391304347826,0.09565217391304348,0.12173913043478261,0.12173913043478261,0.12173913043478261,115,14,0,21,123,0.0,115,0.12173913043478261,0.0,0.12173913043478261,35,99,0.12121212121212122,16,0.125,0.12121212121212122,0.125,35,14,0,21,14,0.39999999998857144,0.39999999998857144,14,101,0,123,0.0031,30.22,1.0,2.16,36.0,0.9999995827674866,36.0,1.0,0.9999995827674866,35.0,0.584213137626648,0.32,2.5,,canine lymphosarcoma,,,
