subset,domain,file_name,image_id,seed_index,condition,terms,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,mass_only,mass only,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,80c2161b7289017c2970d09de75afa8f8787f9cc,100,100,2601,0,,0,1.888,8,15,23,,0.8,0.75,0.7666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,fill_alpha_1,shape + mass,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,100,99,2601,0,,0,1.797,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,fill_alpha_1,shape + mass,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,100,99,2601,0,,0,1.797,8,17,25,,0.8,0.85,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,untouched window,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,100,100,2601,0,,0,1.468,8,18,26,30.0,0.8,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,untouched window,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,100,100,2601,0,,0,1.468,7,13,20,,0.7,0.65,0.6666666666666666
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_0,shape only,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,ab8027f2327474ff008122668a3768249c7ab169,100,98,2601,0,,0,2.109,9,18,28,30.0,0.9,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_0,shape only,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,ab8027f2327474ff008122668a3768249c7ab169,100,98,2601,0,,0,2.109,9,17,27,,0.9,0.85,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,mass_only,mass only,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,3405c1e7cef4b66372c45a4676d804c687bd62bd,100,100,2601,0,,0,2.055,6,15,21,,0.6,0.75,0.7
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,mass_only,mass only,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,3405c1e7cef4b66372c45a4676d804c687bd62bd,100,100,2601,0,,0,2.055,2,2,7,,0.2,0.1,0.23333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_1,shape + mass,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,100,100,2601,0,,0,1.591,6,15,25,30.0,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_1,shape + mass,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,100,100,2601,0,,0,1.591,7,15,24,,0.7,0.75,0.8
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,default_51,untouched window,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,100,100,2601,0,,0,2.019,8,17,26,30.0,0.8,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,default_51,untouched window,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,100,100,2601,0,,0,2.019,9,19,29,,0.9,0.95,0.9666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,fill_alpha_0,shape only,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,2f0d5e58d897eb17a6e6ae0ef5dd9f1340443458,100,99,2601,0,,0,2.409,8,17,26,30.0,0.8,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,fill_alpha_0,shape only,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,2f0d5e58d897eb17a6e6ae0ef5dd9f1340443458,100,99,2601,0,,0,2.409,9,19,27,,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,mass_only,mass only,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,2ca2dbc0d73082deb7822010ada41dbab5585ced,100,100,2601,0,,0,1.751,8,18,28,,0.8,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,mass_only,mass only,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,2ca2dbc0d73082deb7822010ada41dbab5585ced,100,100,2601,0,,0,1.751,4,13,21,,0.4,0.65,0.7
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,fill_alpha_1,shape + mass,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,8f7bed1d9d17fcd00be33335551837e6bcc96921,100,100,2601,0,,0,1.706,8,17,27,30.0,0.8,0.85,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,fill_alpha_1,shape + mass,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,8f7bed1d9d17fcd00be33335551837e6bcc96921,100,100,2601,0,,0,1.706,9,19,28,,0.9,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,default_51,untouched window,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,9600ff68b2d3d3254f743b518d7c3969107d2226,100,94,2601,0,,0,1.792,6,13,21,30.0,0.6,0.65,0.7
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,default_51,untouched window,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,9600ff68b2d3d3254f743b518d7c3969107d2226,100,94,2601,0,,0,1.792,4,10,15,,0.4,0.5,0.5
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,fill_alpha_0,shape only,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,5c3b523f531b97ca73197b3df60b15443a250fff,100,94,2601,0,,0,1.695,10,20,29,30.0,1.0,1.0,0.9666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,fill_alpha_0,shape only,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,5c3b523f531b97ca73197b3df60b15443a250fff,100,94,2601,0,,0,1.695,5,13,20,,0.5,0.65,0.6666666666666666
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,mass_only,mass only,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,2918254e15e4e838cb84e67134b0ce5201b2b3ff,100,100,2601,0,,0,1.724,8,17,26,,0.8,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,mass_only,mass only,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,2918254e15e4e838cb84e67134b0ce5201b2b3ff,100,100,2601,0,,0,1.724,9,19,27,,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,fill_alpha_1,shape + mass,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,d13e958db108e84ddfec66d442d5085c81d7df54,100,98,2601,0,,0,1.684,8,18,28,30.0,0.8,0.9,0.9333333333333333
