file_name,condition,K,repo,hungarian_mitoses,mitoses_only_greedy,radius_minus_1px,radius_plus_1px
013.tiff,default_51,10,6,6,6,6,6
013.tiff,default_51,20,8,8,8,8,8
013.tiff,default_51,30,9,9,9,9,9
013.tiff,gray_bbox,10,6,6,6,6,6
013.tiff,gray_bbox,20,8,8,8,8,8
013.tiff,gray_bbox,30,9,9,9,9,9
013.tiff,hem_bbox,10,6,6,6,6,6
013.tiff,hem_bbox,20,9,9,9,9,9
013.tiff,hem_bbox,30,10,10,10,10,10
094.tiff,default_51,10,5,5,5,5,5
094.tiff,default_51,20,15,15,15,15,15
094.tiff,default_51,30,21,21,21,21,21
094.tiff,gray_bbox,10,5,5,5,5,5
094.tiff,gray_bbox,20,15,15,15,15,15
094.tiff,gray_bbox,30,22,22,22,22,22
094.tiff,hem_bbox,10,5,5,5,5,5
094.tiff,hem_bbox,20,14,14,14,14,14
094.tiff,hem_bbox,30,20,20,20,20,20
201.tiff,default_51,10,4,4,4,4,4
201.tiff,default_51,20,8,8,8,8,8
201.tiff,default_51,30,9,9,9,9,9
201.tiff,gray_bbox,10,4,4,4,4,4
201.tiff,gray_bbox,20,8,8,8,8,8
201.tiff,gray_bbox,30,9,9,9,9,9
201.tiff,hem_bbox,10,4,4,4,4,4
201.tiff,hem_bbox,20,6,6,6,6,6
201.tiff,hem_bbox,30,7,7,7,7,7
233.tiff,default_51,10,6,6,6,6,6
233.tiff,default_51,20,8,8,8,8,8
233.tiff,default_51,30,9,9,9,9,9
233.tiff,gray_bbox,10,7,7,7,7,7
233.tiff,gray_bbox,20,8,8,8,8,8
233.tiff,gray_bbox,30,10,10,10,10,10
233.tiff,hem_bbox,10,6,6,6,6,6
233.tiff,hem_bbox,20,7,7,7,7,7
233.tiff,hem_bbox,30,9,9,9,9,9
245.tiff,default_51,10,1,1,1,1,1
245.tiff,default_51,20,4,4,4,4,4
245.tiff,default_51,30,7,7,7,7,7
245.tiff,gray_bbox,10,1,1,1,1,1
245.tiff,gray_bbox,20,4,4,4,4,4
245.tiff,gray_bbox,30,7,7,7,7,7
245.tiff,hem_bbox,10,1,1,1,1,1
245.tiff,hem_bbox,20,2,2,2,2,2
245.tiff,hem_bbox,30,5,5,5,5,5
246.tiff,default_51,10,10,10,10,10,10
246.tiff,default_51,20,17,17,17,17,17
246.tiff,default_51,30,23,23,23,23,23
246.tiff,gray_bbox,10,10,10,10,10,10
246.tiff,gray_bbox,20,14,14,14,14,14
246.tiff,gray_bbox,30,21,21,21,21,21
246.tiff,hem_bbox,10,10,10,10,10,10
246.tiff,hem_bbox,20,16,16,16,16,16
246.tiff,hem_bbox,30,22,22,22,22,22
300.tiff,default_51,10,9,9,9,9,9
300.tiff,default_51,20,19,19,19,19,19
300.tiff,default_51,30,27,27,27,27,27
300.tiff,gray_bbox,10,9,9,9,9,9
300.tiff,gray_bbox,20,19,19,19,19,19
300.tiff,gray_bbox,30,27,27,27,27,27
300.tiff,hem_bbox,10,8,8,8,8,8
300.tiff,hem_bbox,20,17,17,17,17,17
300.tiff,hem_bbox,30,27,27,27,27,27
301.tiff,default_51,10,8,8,8,8,8
301.tiff,default_51,20,18,18,18,18,18
301.tiff,default_51,30,26,26,26,26,26
301.tiff,gray_bbox,10,8,8,8,8,8
301.tiff,gray_bbox,20,18,18,18,18,18
301.tiff,gray_bbox,30,27,27,27,27,27
301.tiff,hem_bbox,10,8,8,8,8,8
301.tiff,hem_bbox,20,17,17,17,17,17
301.tiff,hem_bbox,30,26,26,26,26,26
402.tiff,default_51,10,8,8,8,8,8
402.tiff,default_51,20,14,14,14,14,14
402.tiff,default_51,30,19,19,19,19,19
402.tiff,gray_bbox,10,7,7,7,7,7
402.tiff,gray_bbox,20,12,12,12,12,12
402.tiff,gray_bbox,30,15,15,15,15,15
402.tiff,hem_bbox,10,7,7,7,7,7
402.tiff,hem_bbox,20,11,11,11,11,11
402.tiff,hem_bbox,30,15,15,15,15,15
403.tiff,default_51,10,5,5,5,5,5
403.tiff,default_51,20,10,10,10,10,10
403.tiff,default_51,30,14,14,14,14,14
403.tiff,gray_bbox,10,5,5,5,5,5
403.tiff,gray_bbox,20,10,10,10,10,10
403.tiff,gray_bbox,30,14,14,14,14,14
403.tiff,hem_bbox,10,4,4,4,4,4
403.tiff,hem_bbox,20,7,7,7,7,7
403.tiff,hem_bbox,30,10,10,10,10,10
459.tiff,default_51,10,9,9,9,9,9
459.tiff,default_51,20,17,17,17,17,17
459.tiff,default_51,30,26,26,26,26,26
459.tiff,gray_bbox,10,9,9,9,9,9
459.tiff,gray_bbox,20,17,17,17,17,17
459.tiff,gray_bbox,30,25,25,25,25,25
459.tiff,hem_bbox,10,9,9,9,9,9
459.tiff,hem_bbox,20,17,17,17,17,17
459.tiff,hem_bbox,30,25,25,25,25,25
460.tiff,default_51,10,7,7,7,7,7
460.tiff,default_51,20,16,16,16,16,16
460.tiff,default_51,30,17,17,17,17,17
460.tiff,gray_bbox,10,7,7,7,7,7
460.tiff,gray_bbox,20,16,16,16,16,16
