arm,n_roi,mean_delta_K10,mean_delta_K20,mean_delta_K30,mean_delta_K50
tm_score,11,-0.0455,-0.0545,-0.0576,-0.0364
chromatin_od,11,-0.0091,0.0,-0.003,0.0073
