file_name,arm,n_detections_new,coverage_frac_new,full_list_recall_new,read_95_new,read_100_new,n_lookalike_in_list_new,largest_tie_block_new,nan_rate_new,n_gt_mitotic_new,n_detections_old,coverage_frac_old,full_list_recall_old,read_95_old,read_100_old,n_lookalike_in_list_old,largest_tie_block_old,nan_rate_old,n_gt_mitotic_old,delta_n_detections,delta_coverage_frac,delta_full_list_recall,delta_read_95,delta_read_100,delta_n_lookalike_in_list,delta_largest_tie_block,delta_nan_rate,delta_n_gt_mitotic
013.tiff,tm_score,18412,0.9742,1.0,963.0,963.0,15,2,0.0,17,17724,0.9636,1.0,1250.0,1250.0,15,2,0.0,17,688,0.010599999999999943,0.0,-287.0,-287.0,0,0,0.0,0
013.tiff,chromatin_od,18412,0.9742,1.0,159.0,159.0,15,2,0.0,17,17724,0.9636,1.0,171.0,171.0,15,2,0.0,17,688,0.010599999999999943,0.0,-12.0,-12.0,0,0,0.0,0
094.tiff,tm_score,18813,0.9766,1.0,1805.0,2594.0,102,2,0.0,81,18628,0.9748,1.0,1431.0,2645.0,102,2,0.0,81,185,0.0018000000000000238,0.0,374.0,-51.0,0,0,0.0,0
094.tiff,chromatin_od,18813,0.9766,1.0,928.0,5304.0,102,2,0.0,81,18628,0.9748,1.0,881.0,5358.0,102,2,0.0,81,185,0.0018000000000000238,0.0,47.0,-54.0,0,0,0.0,0
201.tiff,tm_score,17139,0.9572,1.0,714.0,714.0,49,2,0.0,17,15848,0.9379,1.0,662.0,662.0,49,2,0.0,17,1291,0.019300000000000095,0.0,52.0,52.0,0,0,0.0,0
201.tiff,chromatin_od,17139,0.9572,1.0,672.0,672.0,49,2,0.0,17,15848,0.9379,1.0,644.0,644.0,49,2,0.0,17,1291,0.019300000000000095,0.0,28.0,28.0,0,0,0.0,0
233.tiff,tm_score,17900,0.9681,1.0,1257.0,1257.0,22,2,0.0,17,17449,0.9608,1.0,1463.0,1463.0,23,2,0.0,17,451,0.007299999999999973,0.0,-206.0,-206.0,-1,0,0.0,0
233.tiff,chromatin_od,17900,0.9681,1.0,2536.0,2536.0,22,2,0.0,17,17449,0.9608,1.0,2533.0,2533.0,23,2,0.0,17,451,0.007299999999999973,0.0,3.0,3.0,-1,0,0.0,0
245.tiff,tm_score,17603,0.9668,0.9887640449438202,7533.0,,70,2,0.0,89,17678,0.9683,0.9887640449438202,10799.0,,68,2,0.0,89,-75,-0.0015000000000000568,0.0,-3266.0,,2,0,0.0,0
245.tiff,chromatin_od,17603,0.9668,0.9887640449438202,9332.0,,70,2,0.0,89,17678,0.9683,0.9887640449438202,10561.0,,68,2,0.0,89,-75,-0.0015000000000000568,0.0,-1229.0,,2,0,0.0,0
246.tiff,tm_score,17845,0.9662,1.0,2281.0,7149.0,121,2,0.0,115,18013,0.9646,1.0,3196.0,7211.0,123,2,0.0,115,-168,0.0015999999999999348,0.0,-915.0,-62.0,-2,0,0.0,0
246.tiff,chromatin_od,17845,0.9662,1.0,2387.0,8354.0,121,2,0.0,115,18013,0.9646,1.0,2114.0,6808.0,123,2,0.0,115,-168,0.0015999999999999348,0.0,273.0,1546.0,-2,0,0.0,0
300.tiff,tm_score,17834,0.9629,1.0,3160.0,7189.0,84,2,0.0,180,17940,0.9672,0.9944444444444444,7558.0,,85,2,0.0,180,-106,-0.0042999999999999705,0.005555555555555647,-4398.0,,-1,0,0.0,0
300.tiff,chromatin_od,17834,0.9629,1.0,4315.0,11823.0,84,2,0.0,180,17940,0.9672,0.9944444444444444,3858.0,,85,2,0.0,180,-106,-0.0042999999999999705,0.005555555555555647,457.0,,-1,0,0.0,0
301.tiff,tm_score,18394,0.9666,1.0,7301.0,15119.0,107,2,0.0,217,17710,0.958,0.9953917050691244,8172.0,,108,2,0.0,217,684,0.008600000000000052,0.004608294930875556,-871.0,,-1,0,0.0,0
