file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
246.tiff,canine lymphosarcoma,gray_bbox,tm_score,30,30,24,3,0.8,24,3,0.8
246.tiff,canine lymphosarcoma,gray_bbox,tm_score,50,50,31,6,0.62,31,6,0.62
246.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,10,10,10,0,1.0,10,0,1.0
246.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,20,20,14,2,0.7,14,2,0.7
246.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,30,30,21,5,0.7,21,5,0.7
246.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,50,50,33,6,0.66,33,6,0.66
246.tiff,canine lymphosarcoma,gray_bbox,od_contrast,10,10,10,0,1.0,10,0,1.0
246.tiff,canine lymphosarcoma,gray_bbox,od_contrast,20,20,15,3,0.75,15,3,0.75
246.tiff,canine lymphosarcoma,gray_bbox,od_contrast,30,30,21,4,0.7,21,4,0.7
246.tiff,canine lymphosarcoma,gray_bbox,od_contrast,50,50,34,6,0.68,34,6,0.68
300.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,10,10,10,0,1.0,10,0,1.0
300.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,20,20,16,1,0.8,16,1,0.8
300.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,30,30,23,2,0.7666666666666667,23,2,0.7666666666666667
300.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,50,50,34,2,0.68,34,2,0.68
300.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,10,10,8,1,0.8,8,1,0.8
300.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,20,20,17,2,0.85,17,2,0.85
300.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,30,30,27,2,0.9,27,2,0.9
300.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,50,50,40,4,0.8,40,4,0.8
300.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,10,10,8,1,0.8,8,1,0.8
