subset,domain,file_name,image_id,seed_index,condition,alpha,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,fill_value,ring_share,mass_to_shape,n_peaks,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,default_51,,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,9b97486771e4d1e64d8f23bf9a699769d9b79586,,,,100,100,2601,0,,0,True,1.35,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,fill_alpha_m1,-1.0,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,3dccea72723a863fb1c1abbdd9487f8ab893927b,0.2367926388978958,0.49963416078678313,-2.276732764717782,100,97,2601,0,,0,True,1.373,8,8,8,,0.8,0.4,0.26666666666666666
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,fill_alpha_0,0.0,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,3a1c6a767048928f4f72d0a0cd8e44975d386109,0.12952299416065216,4.012870904267388e-08,0.0,100,100,2601,0,,0,True,1.373,8,18,27,,0.8,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,fill_alpha_1,1.0,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,3f38c1d5894fd143169e2372b0f2005ea9396ec2,0.022253340110182762,0.49805784994028096,2.276732764717782,100,100,2601,0,,0,True,1.343,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,fill_alpha_2,2.0,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,6bf4d5ac64332a9e8b2676e61a279cfa0ea7b089,-0.08501631021499634,0.5,4.553465529435564,100,100,2601,0,,0,True,1.375,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,default_51,,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,,,,100,100,2601,0,,0,True,1.36,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,fill_alpha_m1,-1.0,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,48599eef729f666b5d396bc5d8707a876fe0f6e4,0.1557798981666565,0.4596086523348116,-1.3224422866215408,100,96,2601,0,,0,True,1.359,8,13,13,,0.8,0.65,0.43333333333333335
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,fill_alpha_0,0.0,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,97a07bd2f12028e5c214e3eadea299d8b38ce3e8,0.08689817786216736,4.803598208910006e-08,0.0,100,93,2601,0,,0,True,1.389,9,19,29,,0.9,0.95,0.9666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,fill_alpha_1,1.0,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,2299902a3f36249c4457cf4d831d90c16e471894,0.018016451969742775,0.4706223164193941,1.3224422866215408,100,99,2601,0,,0,True,1.392,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,fill_alpha_2,2.0,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,c08a9a2150fccaf79333828e86137f92848a43d0,-0.05086527019739151,0.5,2.6448845732430817,100,100,2601,0,,0,True,1.404,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,default_51,,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,7707a565945709dcb6075d4dca17c2b287cc266b,,,,100,100,2601,0,,0,True,1.472,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,fill_alpha_m1,-1.0,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,796cce5dbabbd1ccae6aa44844a9691a71e0a650,0.17994888126850128,0.4893615164426389,-2.1051355663553597,100,98,2601,0,,0,True,1.439,9,15,19,,0.9,0.75,0.6333333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,fill_alpha_0,0.0,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,a592aa31ddfd6e42b6ededa837990ec617530ca9,0.09764135628938675,4.828141188536353e-08,0.0,100,98,2601,0,,0,True,1.469,9,17,27,,0.9,0.85,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,fill_alpha_1,1.0,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,0.015333840623497963,0.485374211463377,2.1051355663553597,100,99,2601,0,,0,True,1.466,9,18,27,,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,fill_alpha_2,2.0,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,bb832541e203843f430aee32f7c4be53312ae1c6,-0.06697367876768112,0.5,4.210271132710719,100,100,2601,0,,0,True,1.552,8,17,26,,0.8,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,,,,100,100,2601,0,,0,True,1.725,8,18,26,30.0,0.8,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_m1,-1.0,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,e67758604bf86b02a7e878c896a119851df1bfe4,0.0766414925456047,0.3522837996267008,-0.9278750335348948,100,96,2601,0,,0,True,2.222,5,10,13,,0.5,0.5,0.43333333333333335
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_0,0.0,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,ab8027f2327474ff008122668a3768249c7ab169,0.05256345123052597,4.6731240689932754e-08,0.0,100,98,2601,0,,0,True,1.831,9,18,28,,0.9,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_1,1.0,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,0.028485409915447235,0.3694683845761615,0.9278750335348948,100,100,2601,0,,0,True,1.945,6,15,25,,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,fill_alpha_2,2.0,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,af55696ee6ed832cb3e6a0ec59fb47af2db95a0c,0.004407367203384638,0.48255157230428014,1.8557500670697895,100,100,2601,0,,0,True,1.98,6,16,24,,0.6,0.8,0.8
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,default_51,,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,,,,100,100,2601,0,,0,True,2.285,8,17,26,30.0,0.8,0.85,0.8666666666666667
