file_name,arm,n_gt_mitotic,n_captured,ceiling,n_pool,quantile,depth,frac_of_pool
245.tiff,watershed,90,90,1.0,60609,0.98,21142,0.3488
245.tiff,watershed,90,90,1.0,60609,0.99,21500,0.3547
245.tiff,watershed,90,90,1.0,60609,1.0,21500,0.3547
245.tiff,watershed_maxarea10k,90,90,1.0,60609,0.5,785,0.013
245.tiff,watershed_maxarea10k,90,90,1.0,60609,0.9,7025,0.1159
245.tiff,watershed_maxarea10k,90,90,1.0,60609,0.95,11514,0.19
245.tiff,watershed_maxarea10k,90,90,1.0,60609,0.98,21142,0.3488
245.tiff,watershed_maxarea10k,90,90,1.0,60609,0.99,21500,0.3547
245.tiff,watershed_maxarea10k,90,90,1.0,60609,1.0,21500,0.3547
201.tiff,connected_components,18,16,0.8889,12446,0.5,49,0.0039
201.tiff,connected_components,18,16,0.8889,12446,0.9,2712,0.2179
201.tiff,connected_components,18,16,0.8889,12446,0.95,4794,0.3852
201.tiff,connected_components,18,16,0.8889,12446,0.98,4794,0.3852
201.tiff,connected_components,18,16,0.8889,12446,0.99,4794,0.3852
201.tiff,connected_components,18,16,0.8889,12446,1.0,4794,0.3852
201.tiff,cc_maxarea10k,18,17,0.9444,12617,0.5,70,0.0055
201.tiff,cc_maxarea10k,18,17,0.9444,12617,0.9,2742,0.2173
201.tiff,cc_maxarea10k,18,17,0.9444,12617,0.95,4891,0.3877
201.tiff,cc_maxarea10k,18,17,0.9444,12617,0.98,4891,0.3877
201.tiff,cc_maxarea10k,18,17,0.9444,12617,0.99,4891,0.3877
201.tiff,cc_maxarea10k,18,17,0.9444,12617,1.0,4891,0.3877
201.tiff,watershed,18,18,1.0,40829,0.5,101,0.0025
201.tiff,watershed,18,18,1.0,40829,0.9,1275,0.0312
201.tiff,watershed,18,18,1.0,40829,0.95,3087,0.0756
201.tiff,watershed,18,18,1.0,40829,0.98,3087,0.0756
201.tiff,watershed,18,18,1.0,40829,0.99,3087,0.0756
201.tiff,watershed,18,18,1.0,40829,1.0,3087,0.0756
201.tiff,watershed_maxarea10k,18,18,1.0,40829,0.5,101,0.0025
201.tiff,watershed_maxarea10k,18,18,1.0,40829,0.9,1275,0.0312
201.tiff,watershed_maxarea10k,18,18,1.0,40829,0.95,3087,0.0756
201.tiff,watershed_maxarea10k,18,18,1.0,40829,0.98,3087,0.0756
201.tiff,watershed_maxarea10k,18,18,1.0,40829,0.99,3087,0.0756
201.tiff,watershed_maxarea10k,18,18,1.0,40829,1.0,3087,0.0756
202.tiff,connected_components,16,16,1.0,13440,0.5,27,0.002
202.tiff,connected_components,16,16,1.0,13440,0.9,1020,0.0759
202.tiff,connected_components,16,16,1.0,13440,0.95,2304,0.1714
202.tiff,connected_components,16,16,1.0,13440,0.98,2304,0.1714
202.tiff,connected_components,16,16,1.0,13440,0.99,2304,0.1714
202.tiff,connected_components,16,16,1.0,13440,1.0,2304,0.1714
202.tiff,cc_maxarea10k,16,16,1.0,13462,0.5,27,0.002
202.tiff,cc_maxarea10k,16,16,1.0,13462,0.9,1020,0.0758
