file_name,tumor_type,image_id,condition,tighten_channel,base_size,tpl_cx,tpl_cy,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
013.tiff,human breast cancer,13,gray_bbox,gray_inverted,39,1712.0,2859.5,-0.01224,0.15139,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,97,0.0084,9,1,0.0,0.5294117647058824,33.139,33.0,,,,,,10,10,5,2,0.29411764705882354,0.5
013.tiff,human breast cancer,13,gray_bbox,gray_inverted,39,1712.0,2859.5,-0.01224,0.15139,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,97,0.0084,9,1,0.0,0.5294117647058824,33.139,33.0,,,,,,20,20,8,4,0.47058823529411764,0.4
013.tiff,human breast cancer,13,gray_bbox,gray_inverted,39,1712.0,2859.5,-0.01224,0.15139,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,97,0.0084,9,1,0.0,0.5294117647058824,33.139,33.0,,,,,,30,30,8,4,0.47058823529411764,0.26666666666666666
013.tiff,human breast cancer,13,gray_bbox,gray_inverted,39,1712.0,2859.5,-0.01224,0.15139,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,97,0.0084,9,1,0.0,0.5294117647058824,33.139,33.0,,,,,,50,50,9,7,0.5294117647058824,0.18
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,10,10,5,4,0.06172839506172839,0.5
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,20,20,9,7,0.1111111111111111,0.45
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,30,30,15,9,0.18518518518518517,0.5
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,50,50,21,13,0.25925925925925924,0.42
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,10,10,5,5,0.06172839506172839,0.5
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,20,20,14,5,0.1728395061728395,0.7
