table,compared,divergences
TIES,47,0
by_domain,126,0
contested_sensitivity,135,0
delta_per_roi,126,0
delta_stats,72,0
f1_invariants,8,0
identity,8,0
per_roi,252,0
production_seed,29,0
refusals,16,0
summary,45,0
tier_c_csv,8,0
tier_c_figures,3,0
tier_c_outputs,20,0
top30,42,0
