subset,domain,file_name,condition,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine lung cancer,233.tiff,fill_alpha_2,3,22,24,29,0.7333333333333333,0.4,0.32222222222222224
testing_35,canine lung cancer,211.tiff,default_51,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_m1,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_0,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_1,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_2,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,220.tiff,default_51,3,13,25,35,0.43333333333333335,0.4166666666666667,0.3888888888888889
testing_35,canine lung cancer,220.tiff,fill_alpha_m1,3,2,3,3,0.06666666666666667,0.05,0.03333333333333333
testing_35,canine lung cancer,220.tiff,fill_alpha_0,3,15,25,31,0.5,0.4166666666666667,0.34444444444444444
testing_35,canine lung cancer,220.tiff,fill_alpha_1,3,16,27,39,0.5333333333333333,0.45,0.43333333333333335
testing_35,canine lung cancer,220.tiff,fill_alpha_2,3,15,27,39,0.5,0.45,0.43333333333333335
testing_35,canine lung cancer,230.tiff,default_51,3,18,34,37,0.6,0.5666666666666667,0.4111111111111111
testing_35,canine lung cancer,230.tiff,fill_alpha_m1,3,5,5,5,0.16666666666666666,0.08333333333333333,0.05555555555555555
testing_35,canine lung cancer,230.tiff,fill_alpha_0,3,18,37,39,0.6,0.6166666666666667,0.43333333333333335
testing_35,canine lung cancer,230.tiff,fill_alpha_1,3,18,37,41,0.6,0.6166666666666667,0.45555555555555555
testing_35,canine lung cancer,230.tiff,fill_alpha_2,3,17,32,34,0.5666666666666667,0.5333333333333333,0.37777777777777777
testing_35,canine lung cancer,235.tiff,default_51,3,10,11,17,0.3333333333333333,0.18333333333333332,0.18888888888888888
testing_35,canine lung cancer,235.tiff,fill_alpha_m1,3,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
testing_35,canine lung cancer,235.tiff,fill_alpha_0,3,9,9,13,0.3,0.15,0.14444444444444443
testing_35,canine lung cancer,235.tiff,fill_alpha_1,3,11,12,20,0.36666666666666664,0.2,0.2222222222222222
testing_35,canine lung cancer,235.tiff,fill_alpha_2,3,11,15,21,0.36666666666666664,0.25,0.23333333333333334
testing_35,canine lung cancer,242.tiff,default_51,3,1,3,3,0.03333333333333333,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,fill_alpha_m1,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,242.tiff,fill_alpha_0,3,2,3,3,0.06666666666666667,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,fill_alpha_1,3,1,3,3,0.03333333333333333,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,fill_alpha_2,3,1,3,3,0.03333333333333333,0.05,0.03333333333333333
original_14,canine lymphosarcoma,245.tiff,default_51,3,2,5,9,0.06666666666666667,0.08333333333333333,0.1
original_14,canine lymphosarcoma,245.tiff,fill_alpha_m1,3,3,7,10,0.1,0.11666666666666667,0.1111111111111111
original_14,canine lymphosarcoma,245.tiff,fill_alpha_0,3,4,9,12,0.13333333333333333,0.15,0.13333333333333333
original_14,canine lymphosarcoma,245.tiff,fill_alpha_1,3,4,8,13,0.13333333333333333,0.13333333333333333,0.14444444444444443
original_14,canine lymphosarcoma,245.tiff,fill_alpha_2,3,5,10,12,0.16666666666666666,0.16666666666666666,0.13333333333333333
original_14,canine lymphosarcoma,246.tiff,default_51,3,30,55,76,1.0,0.9166666666666666,0.8444444444444444
original_14,canine lymphosarcoma,246.tiff,fill_alpha_m1,3,21,26,33,0.7,0.43333333333333335,0.36666666666666664
original_14,canine lymphosarcoma,246.tiff,fill_alpha_0,3,28,46,59,0.9333333333333333,0.7666666666666667,0.6555555555555556
original_14,canine lymphosarcoma,246.tiff,fill_alpha_1,3,30,54,72,1.0,0.9,0.8
original_14,canine lymphosarcoma,246.tiff,fill_alpha_2,3,30,56,74,1.0,0.9333333333333333,0.8222222222222222
testing_35,canine lymphosarcoma,249.tiff,default_51,3,21,47,71,0.7,0.7833333333333333,0.7888888888888889
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_m1,3,12,16,18,0.4,0.26666666666666666,0.2
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_0,3,19,44,67,0.6333333333333333,0.7333333333333333,0.7444444444444445
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_1,3,21,45,72,0.7,0.75,0.8
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_2,3,20,45,71,0.6666666666666666,0.75,0.7888888888888889
testing_35,canine lymphosarcoma,284.tiff,default_51,3,24,47,58,0.8,0.7833333333333333,0.6444444444444445
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_m1,3,4,5,5,0.13333333333333333,0.08333333333333333,0.05555555555555555
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0,3,20,40,51,0.6666666666666666,0.6666666666666666,0.5666666666666667
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_1,3,22,46,60,0.7333333333333333,0.7666666666666667,0.6666666666666666
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_2,3,23,48,59,0.7666666666666667,0.8,0.6555555555555556
testing_35,canine lymphosarcoma,289.tiff,default_51,3,12,16,17,0.4,0.26666666666666666,0.18888888888888888
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_m1,3,5,6,6,0.16666666666666666,0.1,0.06666666666666667
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0,3,8,11,14,0.26666666666666666,0.18333333333333332,0.15555555555555556
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_1,3,7,13,14,0.23333333333333334,0.21666666666666667,0.15555555555555556
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_2,3,8,15,15,0.26666666666666666,0.25,0.16666666666666666
testing_35,canine lymphosarcoma,291.tiff,default_51,3,8,19,34,0.26666666666666666,0.31666666666666665,0.37777777777777777
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_m1,3,2,4,5,0.06666666666666667,0.06666666666666667,0.05555555555555555
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0,3,15,21,30,0.5,0.35,0.3333333333333333
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_1,3,14,32,50,0.4666666666666667,0.5333333333333333,0.5555555555555556
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_2,3,14,32,50,0.4666666666666667,0.5333333333333333,0.5555555555555556
testing_35,canine lymphosarcoma,293.tiff,default_51,3,14,41,65,0.4666666666666667,0.6833333333333333,0.7222222222222222
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_m1,3,2,8,14,0.06666666666666667,0.13333333333333333,0.15555555555555556
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0,3,26,52,73,0.8666666666666667,0.8666666666666667,0.8111111111111111
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_1,3,14,42,66,0.4666666666666667,0.7,0.7333333333333333
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_2,3,7,32,58,0.23333333333333334,0.5333333333333333,0.6444444444444445
original_14,canine soft tissue sarcoma,459.tiff,default_51,3,28,52,79,0.9333333333333333,0.8666666666666667,0.8777777777777778
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_m1,3,8,8,8,0.26666666666666666,0.13333333333333333,0.08888888888888889
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_0,3,27,50,69,0.9,0.8333333333333334,0.7666666666666667
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_1,3,28,53,80,0.9333333333333333,0.8833333333333333,0.8888888888888888
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_2,3,27,53,81,0.9,0.8833333333333333,0.9
original_14,canine soft tissue sarcoma,460.tiff,default_51,3,24,49,53,0.8,0.8166666666666667,0.5888888888888889
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_m1,3,8,11,12,0.26666666666666666,0.18333333333333332,0.13333333333333333
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_0,3,17,22,24,0.5666666666666667,0.36666666666666664,0.26666666666666666
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_1,3,25,48,52,0.8333333333333334,0.8,0.5777777777777777
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_2,3,26,49,53,0.8666666666666667,0.8166666666666667,0.5888888888888889
testing_35,canine soft tissue sarcoma,410.tiff,default_51,3,10,13,13,0.3333333333333333,0.21666666666666667,0.14444444444444443
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_m1,3,2,3,5,0.06666666666666667,0.05,0.05555555555555555
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_0,3,6,6,6,0.2,0.1,0.06666666666666667
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_1,3,9,14,14,0.3,0.23333333333333334,0.15555555555555556
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_2,3,8,15,15,0.26666666666666666,0.25,0.16666666666666666
