file_name,variant,n_templates,n_mitotic,n_nuclei_all_blobs,n_nuclei,mitotic_base_rate_pct,seed_self_score,median_score_mitotic,median_score_lookalike,median_score_nucleus,median_score_random,p90_mitotic,p99.9_nucleus,auc_mitosis_vs_nucleus,auc_lookalike_vs_nucleus,discrimination,mean_mitosis_rank,median_mitosis_rank,K
301.tiff,rgb,1,217,20370,19829,1.065,1.0,0.5211,0.4091,0.3478,0.1748,0.6868,0.6744,0.743,0.603,0.14,5091,1753,217
301.tiff,hematoxylin,1,217,20370,19829,1.065,1.0,0.634,0.5408,0.3982,0.1718,0.7827,0.758,0.762,0.691,0.07,4729,723,217
301.tiff,gray_inverted,1,217,20370,19829,1.065,1.0,0.5253,0.4003,0.3505,0.1775,0.6852,0.6876,0.735,0.587,0.148,5259,1788,217
201.tiff,rgb,1,17,12446,12383,0.137,1.0,0.4168,0.4028,0.2101,0.1313,0.5204,0.5472,0.827,0.861,-0.034,2137,392,17
201.tiff,hematoxylin,1,17,12446,12383,0.137,1.0,0.5235,0.4945,0.2579,0.138,0.6226,0.6144,0.861,0.899,-0.038,1721,175,17
201.tiff,gray_inverted,1,17,12446,12383,0.137,1.0,0.3797,0.3858,0.2116,0.1392,0.522,0.5636,0.805,0.837,-0.032,2417,866,17
246.tiff,rgb,1,115,21059,20609,0.546,1.0,0.3009,0.2379,0.1647,0.1074,0.4324,0.452,0.797,0.701,0.096,4180,1488,115
246.tiff,hematoxylin,1,115,21059,20609,0.546,1.0,0.3709,0.3091,0.1888,0.1201,0.4991,0.498,0.843,0.785,0.058,3228,595,115
246.tiff,gray_inverted,1,115,21059,20609,0.546,1.0,0.2971,0.23,0.1707,0.1153,0.4355,0.4747,0.761,0.667,0.093,4932,2072,115
405.tiff,rgb,1,13,7577,7535,0.172,1.0,0.6186,0.5847,0.4854,0.2021,0.7382,0.7898,0.702,0.734,-0.032,2248,1114,13
405.tiff,hematoxylin,1,13,7577,7535,0.172,1.0,0.6288,0.6616,0.578,0.1671,0.7228,0.8135,0.592,0.759,-0.167,3071,2593,13
405.tiff,gray_inverted,1,13,7577,7535,0.172,1.0,0.6078,0.5806,0.4874,0.2151,0.7527,0.8019,0.719,0.717,0.002,2120,1419,13
002.tiff,rgb,1,8,8814,8796,0.091,1.0,0.6338,0.6253,0.3578,0.1186,0.7718,0.7199,0.923,0.878,0.045,674,200,8
002.tiff,hematoxylin,1,8,8814,8796,0.091,1.0,0.6882,0.6427,0.4136,0.086,0.788,0.8072,0.895,0.851,0.043,928,315,8
002.tiff,gray_inverted,1,8,8814,8796,0.091,1.0,0.6391,0.6367,0.3763,0.1426,0.7714,0.7309,0.914,0.87,0.044,758,217,8
506.tiff,rgb,1,11,8754,8724,0.126,1.0,0.4028,0.4288,0.3183,0.1177,0.561,0.6427,0.773,0.681,0.092,1984,2396,11
506.tiff,hematoxylin,1,11,8754,8724,0.126,1.0,0.4654,0.4743,0.3792,0.1043,0.6153,0.7138,0.748,0.66,0.088,2202,2556,11
506.tiff,gray_inverted,1,11,8754,8724,0.126,1.0,0.4094,0.4198,0.3272,0.131,0.5679,0.6615,0.744,0.668,0.076,2233,2496,11
350.tiff,rgb,1,3,8173,8157,0.037,1.0,0.4406,0.4344,0.3311,0.1138,0.4975,0.6732,0.796,0.715,0.08,1666,1390,3
350.tiff,hematoxylin,1,3,8173,8157,0.037,1.0,0.5512,0.4663,0.3977,0.1126,0.6293,0.7226,0.859,0.687,0.172,1151,823,3
350.tiff,gray_inverted,1,3,8173,8157,0.037,1.0,0.4289,0.4414,0.3353,0.1218,0.4791,0.6873,0.738,0.704,0.034,2137,1747,3
