file_name,domain,n_gt_mitotic,n_detections,z_at_rank_10,budget_delivered_10,tp_at_10,precision_at_10,z_at_rank_20,budget_delivered_20,tp_at_20,precision_at_20,z_at_rank_30,budget_delivered_30,tp_at_30,precision_at_30,z_at_rank_50,budget_delivered_50,tp_at_50,precision_at_50
300.tiff,canine cutaneous mast cell tumor,180,17776,7.782,10,8,0.8,7.117,20,14,0.7,6.866,30,23,0.7667,6.569,50,35,0.7
301.tiff,canine cutaneous mast cell tumor,217,17970,7.481,10,5,0.5,7.077,20,12,0.6,6.77,30,21,0.7,6.515,50,34,0.68
201.tiff,canine lung cancer,17,15532,6.964,10,3,0.3,6.506,20,6,0.3,6.148,30,7,0.2333,5.827,50,10,0.2
233.tiff,canine lung cancer,17,17070,9.69,10,4,0.4,9.156,20,7,0.35,8.827,30,9,0.3,8.508,50,11,0.22
245.tiff,canine lymphosarcoma,89,18790,6.415,10,1,0.1,6.124,20,1,0.05,5.918,30,1,0.0333,5.689,50,1,0.02
246.tiff,canine lymphosarcoma,115,18114,12.212,10,10,1.0,11.006,20,19,0.95,10.088,30,29,0.9667,9.071,50,43,0.86
459.tiff,canine soft tissue sarcoma,130,17827,7.845,10,7,0.7,7.425,20,11,0.55,7.029,30,15,0.5,6.682,50,25,0.5
460.tiff,canine soft tissue sarcoma,35,14689,6.816,10,9,0.9,6.364,20,12,0.6,6.109,30,16,0.5333,5.752,50,18,0.36
013.tiff,human breast cancer,17,17663,20.693,10,5,0.5,17.635,20,7,0.35,16.738,30,10,0.3333,15.918,50,10,0.2
094.tiff,human breast cancer,81,18317,21.427,10,5,0.5,20.291,20,10,0.5,19.752,30,15,0.5,18.076,50,22,0.44
529.tiff,human melanoma,19,16333,12.675,10,3,0.3,12.17,20,4,0.2,11.891,30,6,0.2,11.425,50,10,0.2
548.tiff,human melanoma,238,17632,16.011,10,6,0.6,15.062,20,12,0.6,14.234,30,17,0.5667,13.336,50,30,0.6
402.tiff,human neuroendocrine tumor,104,17324,11.949,10,5,0.5,11.378,20,10,0.5,11.111,30,15,0.5,10.424,50,27,0.54
403.tiff,human neuroendocrine tumor,52,16406,16.101,10,4,0.4,14.62,20,8,0.4,13.844,30,11,0.3667,12.884,50,14,0.28
