file_name,seed,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
201.tiff,1,blob_score,0.5,69,15,17,0.8824,0.0055
201.tiff,1,blob_score,0.9,2711,15,17,0.8824,0.2178
201.tiff,1,blob_score,0.95,4793,15,17,0.8824,0.3851
201.tiff,1,blob_score,0.98,4793,15,17,0.8824,0.3851
201.tiff,1,blob_score,0.99,4793,15,17,0.8824,0.3851
201.tiff,1,blob_score,1.0,4793,15,17,0.8824,0.3851
201.tiff,1,tm_single,0.5,911,15,17,0.8824,0.0732
201.tiff,1,tm_single,0.9,10426,15,17,0.8824,0.8378
201.tiff,1,tm_single,0.95,11731,15,17,0.8824,0.9426
201.tiff,1,tm_single,0.98,11731,15,17,0.8824,0.9426
201.tiff,1,tm_single,0.99,11731,15,17,0.8824,0.9426
201.tiff,1,tm_single,1.0,11731,15,17,0.8824,0.9426
201.tiff,1,tm_rot24,0.5,683,15,17,0.8824,0.0549
201.tiff,1,tm_rot24,0.9,9679,15,17,0.8824,0.7777
201.tiff,1,tm_rot24,0.95,10360,15,17,0.8824,0.8325
201.tiff,1,tm_rot24,0.98,10360,15,17,0.8824,0.8325
201.tiff,1,tm_rot24,0.99,10360,15,17,0.8824,0.8325
201.tiff,1,tm_rot24,1.0,10360,15,17,0.8824,0.8325
201.tiff,2,blob_score,0.5,69,15,17,0.8824,0.0055
201.tiff,2,blob_score,0.9,2711,15,17,0.8824,0.2178
201.tiff,2,blob_score,0.95,4793,15,17,0.8824,0.3851
201.tiff,2,blob_score,0.98,4793,15,17,0.8824,0.3851
201.tiff,2,blob_score,0.99,4793,15,17,0.8824,0.3851
201.tiff,2,blob_score,1.0,4793,15,17,0.8824,0.3851
201.tiff,2,tm_single,0.5,1831,15,17,0.8824,0.1471
201.tiff,2,tm_single,0.9,8692,15,17,0.8824,0.6984
201.tiff,2,tm_single,0.95,9606,15,17,0.8824,0.7719
201.tiff,2,tm_single,0.98,9606,15,17,0.8824,0.7719
201.tiff,2,tm_single,0.99,9606,15,17,0.8824,0.7719
201.tiff,2,tm_single,1.0,9606,15,17,0.8824,0.7719
201.tiff,2,tm_rot24,0.5,1079,15,17,0.8824,0.0867
201.tiff,2,tm_rot24,0.9,8228,15,17,0.8824,0.6611
201.tiff,2,tm_rot24,0.95,8794,15,17,0.8824,0.7066
201.tiff,2,tm_rot24,0.98,8794,15,17,0.8824,0.7066
201.tiff,2,tm_rot24,0.99,8794,15,17,0.8824,0.7066
201.tiff,2,tm_rot24,1.0,8794,15,17,0.8824,0.7066
201.tiff,3,blob_score,0.5,49,15,17,0.8824,0.0039
201.tiff,3,blob_score,0.9,1560,15,17,0.8824,0.1254
201.tiff,3,blob_score,0.95,2712,15,17,0.8824,0.2179
201.tiff,3,blob_score,0.98,2712,15,17,0.8824,0.2179
201.tiff,3,blob_score,0.99,2712,15,17,0.8824,0.2179
201.tiff,3,blob_score,1.0,2712,15,17,0.8824,0.2179
201.tiff,3,tm_single,0.5,4832,15,17,0.8824,0.3883
201.tiff,3,tm_single,0.9,10106,15,17,0.8824,0.8121
201.tiff,3,tm_single,0.95,11904,15,17,0.8824,0.9565
201.tiff,3,tm_single,0.98,11904,15,17,0.8824,0.9565
201.tiff,3,tm_single,0.99,11904,15,17,0.8824,0.9565
201.tiff,3,tm_single,1.0,11904,15,17,0.8824,0.9565
201.tiff,3,tm_rot24,0.5,3827,15,17,0.8824,0.3075
201.tiff,3,tm_rot24,0.9,8730,15,17,0.8824,0.7015
201.tiff,3,tm_rot24,0.95,9021,15,17,0.8824,0.7249
201.tiff,3,tm_rot24,0.98,9021,15,17,0.8824,0.7249
201.tiff,3,tm_rot24,0.99,9021,15,17,0.8824,0.7249
201.tiff,3,tm_rot24,1.0,9021,15,17,0.8824,0.7249
201.tiff,4,blob_score,0.5,49,15,17,0.8824,0.0039
201.tiff,4,blob_score,0.9,2711,15,17,0.8824,0.2178
201.tiff,4,blob_score,0.95,4793,15,17,0.8824,0.3851
201.tiff,4,blob_score,0.98,4793,15,17,0.8824,0.3851
201.tiff,4,blob_score,0.99,4793,15,17,0.8824,0.3851
201.tiff,4,blob_score,1.0,4793,15,17,0.8824,0.3851
201.tiff,4,tm_single,0.5,7090,15,17,0.8824,0.5697
201.tiff,4,tm_single,0.9,8974,15,17,0.8824,0.7211
201.tiff,4,tm_single,0.95,10654,15,17,0.8824,0.8561
201.tiff,4,tm_single,0.98,10654,15,17,0.8824,0.8561
201.tiff,4,tm_single,0.99,10654,15,17,0.8824,0.8561
201.tiff,4,tm_single,1.0,10654,15,17,0.8824,0.8561
201.tiff,4,tm_rot24,0.5,4923,15,17,0.8824,0.3956
201.tiff,4,tm_rot24,0.9,6875,15,17,0.8824,0.5524
201.tiff,4,tm_rot24,0.95,9482,15,17,0.8824,0.7619
201.tiff,4,tm_rot24,0.98,9482,15,17,0.8824,0.7619
201.tiff,4,tm_rot24,0.99,9482,15,17,0.8824,0.7619
201.tiff,4,tm_rot24,1.0,9482,15,17,0.8824,0.7619
202.tiff,0,blob_score,0.5,27,15,15,1.0,0.002
202.tiff,0,blob_score,0.9,1019,15,15,1.0,0.0758
202.tiff,0,blob_score,0.95,2303,15,15,1.0,0.1714
202.tiff,0,blob_score,0.98,2303,15,15,1.0,0.1714
202.tiff,0,blob_score,0.99,2303,15,15,1.0,0.1714
202.tiff,0,blob_score,1.0,2303,15,15,1.0,0.1714
202.tiff,0,tm_single,0.5,227,15,15,1.0,0.0169
202.tiff,0,tm_single,0.9,5735,15,15,1.0,0.4267
202.tiff,0,tm_single,0.95,13068,15,15,1.0,0.9724
202.tiff,0,tm_single,0.98,13068,15,15,1.0,0.9724
202.tiff,0,tm_single,0.99,13068,15,15,1.0,0.9724
202.tiff,0,tm_single,1.0,13068,15,15,1.0,0.9724
202.tiff,0,tm_rot24,0.5,286,15,15,1.0,0.0213
202.tiff,0,tm_rot24,0.9,7834,15,15,1.0,0.5829
202.tiff,0,tm_rot24,0.95,13031,15,15,1.0,0.9696
