K,contrast,mean,lo,hi,p,n,up,down,tie,cap50_pooled,cap100_pooled,cap,n_detections_mean,pad_ms,od51_loop_ms,overhead_ms,shared_stages_ms,pad_share_of_overhead
10,chromatin_od cap100 - cap50,-0.00714285714285715,-0.049294453135035526,0.03500873884932122,0.7201878150422731,14,3,4,7,0.6714285714285715,0.6642857142857145,cap50,48.07142857142857,36.93085714285714,2.464142857142857,39.74135714285714,1484.8649285714284,0.9292802208566463
10,chromatin_od cap100 - cap50,-0.00714285714285715,-0.049294453135035526,0.03500873884932122,0.7201878150422731,14,3,4,7,0.6714285714285715,0.6642857142857145,cap100,97.0,40.09499999999999,4.618571428571429,45.09357142857144,1371.0757142857144,0.8891511301896053
20,chromatin_od cap100 - cap50,0.03571428571428571,-0.0008527356881966597,0.07228130711676808,0.05480918528357122,14,8,1,5,0.5607142857142857,0.5964285714285713,cap50,48.07142857142857,36.93085714285714,2.464142857142857,39.74135714285714,1484.8649285714284,0.9292802208566463
20,chromatin_od cap100 - cap50,0.03571428571428571,-0.0008527356881966597,0.07228130711676808,0.05480918528357122,14,8,1,5,0.5607142857142857,0.5964285714285713,cap100,97.0,40.09499999999999,4.618571428571429,45.09357142857144,1371.0757142857144,0.8891511301896053
30,chromatin_od cap100 - cap50,0.03809523809523809,-0.0031534404473638547,0.07934391663784005,0.06741599013494651,14,10,4,0,0.4976190476190476,0.5357142857142857,cap50,48.07142857142857,36.93085714285714,2.464142857142857,39.74135714285714,1484.8649285714284,0.9292802208566463
30,chromatin_od cap100 - cap50,0.03809523809523809,-0.0031534404473638547,0.07934391663784005,0.06741599013494651,14,10,4,0,0.4976190476190476,0.5357142857142857,cap100,97.0,40.09499999999999,4.618571428571429,45.09357142857144,1371.0757142857144,0.8891511301896053
