file_name,condition,radius_px,mpp,n_gt_mitotic,n_gt_lookalike,exact_distance_ties,min_abs_margin_to_radius_px,od_descending,top30_within_r_of_click
013.tiff,default_51,33.13877952755905,0.22632094805310524,17,15,0,20.100374717153755,True,0
013.tiff,gray_bbox,33.13877952755905,0.22632094805310524,17,15,0,23.651946547053914,True,0
013.tiff,hem_bbox,33.13877952755905,0.22632094805310524,17,15,0,22.84314938657205,True,0
094.tiff,default_51,32.63031496062992,0.22984761284250915,81,102,0,25.37830508846279,True,0
094.tiff,gray_bbox,32.63031496062992,0.22984761284250915,81,102,0,19.902392899272062,True,0
094.tiff,hem_bbox,32.63031496062992,0.22984761284250915,81,102,0,24.568057212331368,True,0
201.tiff,default_51,30.221751968503938,0.24816562612969095,17,49,0,17.871906657140258,True,0
201.tiff,gray_bbox,30.221751968503938,0.24816562612969095,17,49,0,17.871906657140258,True,0
201.tiff,hem_bbox,30.221751968503938,0.24816562612969095,17,49,0,1.3773417647920247,True,0
233.tiff,default_51,30.221751968503938,0.24816562612969095,17,23,0,1.2822160355427918,True,0
233.tiff,gray_bbox,30.221751968503938,0.24816562612969095,17,23,0,11.540210276234532,True,0
233.tiff,hem_bbox,30.221751968503938,0.24816562612969095,17,23,0,10.805264129556338,True,0
245.tiff,default_51,30.221751968503938,0.24816562612969095,89,70,0,2.2039005162601377,True,0
245.tiff,gray_bbox,30.221751968503938,0.24816562612969095,89,70,0,2.2039005162601377,True,0
245.tiff,hem_bbox,30.221751968503938,0.24816562612969095,89,70,0,4.923530687156902,True,0
246.tiff,default_51,30.221751968503938,0.24816562612969095,115,123,0,15.355683221185432,True,0
246.tiff,gray_bbox,30.221751968503938,0.24816562612969095,115,123,0,6.452023320494511,True,0
246.tiff,hem_bbox,30.221751968503938,0.24816562612969095,115,123,0,6.684547376624298,True,0
300.tiff,default_51,29.609055118110238,0.2533008895448562,180,85,0,17.947151328419636,True,0
300.tiff,gray_bbox,29.609055118110238,0.2533008895448562,180,85,0,17.904355207390612,True,0
300.tiff,hem_bbox,29.609055118110238,0.2533008895448562,180,85,0,15.078750824898425,True,0
301.tiff,default_51,29.609055118110238,0.2533008895448562,217,109,0,2.701933724696783,True,0
301.tiff,gray_bbox,29.609055118110238,0.2533008895448562,217,109,0,5.74628394121714,True,0
301.tiff,hem_bbox,29.609055118110238,0.2533008895448562,217,109,0,2.1557052304269426,True,0
402.tiff,default_51,33.13877952755905,0.22632094805310524,104,79,0,11.638446826917168,True,0
402.tiff,gray_bbox,33.13877952755905,0.22632094805310524,104,79,0,10.323848096642408,True,0
402.tiff,hem_bbox,33.13877952755905,0.22632094805310524,104,79,0,12.741499460258794,True,0
403.tiff,default_51,33.059940944881895,0.22686065932495555,52,47,0,12.19489305105715,True,0
403.tiff,gray_bbox,33.059940944881895,0.22686065932495555,52,47,0,13.630529174833114,True,0
403.tiff,hem_bbox,33.059940944881895,0.22686065932495555,52,47,0,0.36160898925491125,True,0
459.tiff,default_51,30.221751968503938,0.24816562612969095,130,90,0,22.60597886264003,True,0
459.tiff,gray_bbox,30.221751968503938,0.24816562612969095,130,90,0,17.572641327830418,True,0
459.tiff,hem_bbox,30.221751968503938,0.24816562612969095,130,90,0,18.517052057784312,True,0
460.tiff,default_51,30.221751968503938,0.24816562612969095,35,40,0,21.975540717268615,True,0
460.tiff,gray_bbox,30.221751968503938,0.24816562612969095,35,40,0,18.0562269079075,True,0
460.tiff,hem_bbox,30.221751968503938,0.24816562612969095,35,40,0,19.078349451270036,True,0
529.tiff,default_51,33.0639829123214,0.2268329263261596,19,25,0,22.43383709958675,True,0
529.tiff,gray_bbox,33.0639829123214,0.2268329263261596,19,25,0,20.41487227164788,True,0
529.tiff,hem_bbox,33.0639829123214,0.2268329263261596,19,25,0,18.746161849045045,True,0
548.tiff,default_51,32.975303229224245,0.22744294261267478,238,118,0,22.59447272857497,True,0
548.tiff,gray_bbox,32.975303229224245,0.22744294261267478,238,118,0,20.326192588550725,True,0
548.tiff,hem_bbox,32.975303229224245,0.22744294261267478,238,118,0,19.82235679125834,True,0
