file_name,seed,seed_ann_id,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
201.tiff,2,4453,od51_sim,0.9,350,15,17,0.8824,0.0281
201.tiff,2,4453,od51_sim,0.95,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,0.98,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,0.99,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,1.0,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_onesided,0.5,36,15,17,0.8824,0.0029
201.tiff,2,4453,od51_onesided,0.9,350,15,17,0.8824,0.0281
201.tiff,2,4453,od51_onesided,0.95,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_onesided,0.98,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_onesided,0.99,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_onesided,1.0,822,15,17,0.8824,0.0661
201.tiff,2,4453,feat_sim,0.5,195,15,17,0.8824,0.0157
201.tiff,2,4453,feat_sim,0.9,8205,15,17,0.8824,0.6593
201.tiff,2,4453,feat_sim,0.95,10698,15,17,0.8824,0.8596
201.tiff,2,4453,feat_sim,0.98,10698,15,17,0.8824,0.8596
201.tiff,2,4453,feat_sim,0.99,10698,15,17,0.8824,0.8596
201.tiff,2,4453,feat_sim,1.0,10698,15,17,0.8824,0.8596
201.tiff,3,4481,blob_abs,0.5,49,15,17,0.8824,0.0039
201.tiff,3,4481,blob_abs,0.9,1560,15,17,0.8824,0.1254
201.tiff,3,4481,blob_abs,0.95,2712,15,17,0.8824,0.2179
201.tiff,3,4481,blob_abs,0.98,2712,15,17,0.8824,0.2179
201.tiff,3,4481,blob_abs,0.99,2712,15,17,0.8824,0.2179
201.tiff,3,4481,blob_abs,1.0,2712,15,17,0.8824,0.2179
201.tiff,3,4481,od51_abs,0.5,17,15,17,0.8824,0.0014
201.tiff,3,4481,od51_abs,0.9,350,15,17,0.8824,0.0281
201.tiff,3,4481,od51_abs,0.95,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_abs,0.98,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_abs,0.99,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_abs,1.0,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_sim,0.5,807,15,17,0.8824,0.0648
201.tiff,3,4481,od51_sim,0.9,2986,15,17,0.8824,0.2399
201.tiff,3,4481,od51_sim,0.95,3214,15,17,0.8824,0.2583
201.tiff,3,4481,od51_sim,0.98,3214,15,17,0.8824,0.2583
201.tiff,3,4481,od51_sim,0.99,3214,15,17,0.8824,0.2583
201.tiff,3,4481,od51_sim,1.0,3214,15,17,0.8824,0.2583
201.tiff,3,4481,od51_onesided,0.5,17,15,17,0.8824,0.0014
201.tiff,3,4481,od51_onesided,0.9,350,15,17,0.8824,0.0281
201.tiff,3,4481,od51_onesided,0.95,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_onesided,0.98,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_onesided,0.99,822,15,17,0.8824,0.0661
201.tiff,3,4481,od51_onesided,1.0,822,15,17,0.8824,0.0661
201.tiff,3,4481,feat_sim,0.5,5200,15,17,0.8824,0.4178
201.tiff,3,4481,feat_sim,0.9,7681,15,17,0.8824,0.6172
201.tiff,3,4481,feat_sim,0.95,10659,15,17,0.8824,0.8565
201.tiff,3,4481,feat_sim,0.98,10659,15,17,0.8824,0.8565
201.tiff,3,4481,feat_sim,0.99,10659,15,17,0.8824,0.8565
201.tiff,3,4481,feat_sim,1.0,10659,15,17,0.8824,0.8565
201.tiff,4,4493,blob_abs,0.5,49,15,17,0.8824,0.0039
201.tiff,4,4493,blob_abs,0.9,2711,15,17,0.8824,0.2178
201.tiff,4,4493,blob_abs,0.95,4793,15,17,0.8824,0.3851
201.tiff,4,4493,blob_abs,0.98,4793,15,17,0.8824,0.3851
201.tiff,4,4493,blob_abs,0.99,4793,15,17,0.8824,0.3851
201.tiff,4,4493,blob_abs,1.0,4793,15,17,0.8824,0.3851
201.tiff,4,4493,od51_abs,0.5,36,15,17,0.8824,0.0029
201.tiff,4,4493,od51_abs,0.9,350,15,17,0.8824,0.0281
201.tiff,4,4493,od51_abs,0.95,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_abs,0.98,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_abs,0.99,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_abs,1.0,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_sim,0.5,41,15,17,0.8824,0.0033
201.tiff,4,4493,od51_sim,0.9,349,15,17,0.8824,0.028
201.tiff,4,4493,od51_sim,0.95,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_sim,0.98,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_sim,0.99,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_sim,1.0,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_onesided,0.5,36,15,17,0.8824,0.0029
201.tiff,4,4493,od51_onesided,0.9,350,15,17,0.8824,0.0281
201.tiff,4,4493,od51_onesided,0.95,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_onesided,0.98,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_onesided,0.99,822,15,17,0.8824,0.0661
201.tiff,4,4493,od51_onesided,1.0,822,15,17,0.8824,0.0661
201.tiff,4,4493,feat_sim,0.5,4280,15,17,0.8824,0.3439
201.tiff,4,4493,feat_sim,0.9,8522,15,17,0.8824,0.6848
201.tiff,4,4493,feat_sim,0.95,11867,15,17,0.8824,0.9536
201.tiff,4,4493,feat_sim,0.98,11867,15,17,0.8824,0.9536
201.tiff,4,4493,feat_sim,0.99,11867,15,17,0.8824,0.9536
201.tiff,4,4493,feat_sim,1.0,11867,15,17,0.8824,0.9536
202.tiff,0,4514,blob_abs,0.5,27,15,15,1.0,0.002
202.tiff,0,4514,blob_abs,0.9,1019,15,15,1.0,0.0758
202.tiff,0,4514,blob_abs,0.95,2303,15,15,1.0,0.1714
202.tiff,0,4514,blob_abs,0.98,2303,15,15,1.0,0.1714
202.tiff,0,4514,blob_abs,0.99,2303,15,15,1.0,0.1714
202.tiff,0,4514,blob_abs,1.0,2303,15,15,1.0,0.1714
202.tiff,0,4514,od51_abs,0.5,26,15,15,1.0,0.0019
202.tiff,0,4514,od51_abs,0.9,4637,15,15,1.0,0.345
202.tiff,0,4514,od51_abs,0.95,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_abs,0.98,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_abs,0.99,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_abs,1.0,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_sim,0.5,269,15,15,1.0,0.02
