file_name,arm,n_gt_mitotic,n_captured,ceiling,n_pool,quantile,depth,frac_of_pool
246.tiff,watershed_md7,116,116,1.0,57156,1.0,3082,0.0539
246.tiff,watershed_md9,116,116,1.0,52755,0.5,205,0.0039
246.tiff,watershed_md9,116,116,1.0,52755,0.9,778,0.0147
246.tiff,watershed_md9,116,116,1.0,52755,0.95,1447,0.0274
246.tiff,watershed_md9,116,116,1.0,52755,0.98,1976,0.0375
246.tiff,watershed_md9,116,116,1.0,52755,0.99,2377,0.0451
246.tiff,watershed_md9,116,116,1.0,52755,1.0,6435,0.122
246.tiff,watershed_md11,116,116,1.0,45234,0.5,200,0.0044
246.tiff,watershed_md11,116,116,1.0,45234,0.9,722,0.016
246.tiff,watershed_md11,116,116,1.0,45234,0.95,1361,0.0301
246.tiff,watershed_md11,116,116,1.0,45234,0.98,1861,0.0411
246.tiff,watershed_md11,116,116,1.0,45234,0.99,2396,0.053
246.tiff,watershed_md11,116,116,1.0,45234,1.0,4957,0.1096
246.tiff,watershed_md15,116,116,1.0,35066,0.5,197,0.0056
246.tiff,watershed_md15,116,116,1.0,35066,0.9,945,0.0269
246.tiff,watershed_md15,116,116,1.0,35066,0.95,1428,0.0407
246.tiff,watershed_md15,116,116,1.0,35066,0.98,2620,0.0747
246.tiff,watershed_md15,116,116,1.0,35066,0.99,3214,0.0917
246.tiff,watershed_md15,116,116,1.0,35066,1.0,3477,0.0992
